filename,zip_path,matched_sku,matched_product_name,confidence,placed,stored_as
Happy_Soil_Humic_500ml.webp,Dayjoy All Product Images/AGRICULTURE & VETERINARY/Happy_Soil_Humic_500ml.webp,DJ-AGR-0124,Happy Soil - Humic (500ml),auto_1.3,True,DJ-AGR-0124_1.webp
Joycalcium.jpeg,Dayjoy All Product Images/AGRICULTURE & VETERINARY/Joycalcium.jpeg,DJ-AGR-0136,JoyCalcium (2 Litre),auto_1.1,True,DJ-AGR-0136_1.jpeg
Joygrow 2x.jpeg,Dayjoy All Product Images/AGRICULTURE & VETERINARY/Joygrow 2x.jpeg,DJ-AGR-0134,JoyGrow 2X (Granules) (2kg),auto_1.1,True,DJ-AGR-0134_1.jpeg
Joyspread_80l.webp,Dayjoy All Product Images/AGRICULTURE & VETERINARY/Joyspread_80l.webp,DJ-AGR-0133,JoySpread 80+ Gold (100ml),auto_0.792,True,DJ-AGR-0133_1.webp
Joy_1.jpg,Dayjoy All Product Images/AGRICULTURE & VETERINARY/Joy_1.jpg,DJ-AGR-0135,JoyProtect (500ml),visual_match_T002B_2026-08-10,True,DJ-AGR-0135.jpg
Joy_o_zyme_1.jpg,Dayjoy All Product Images/AGRICULTURE & VETERINARY/Joy_o_zyme_1.jpg,DJ-AGR-0131,Joy-O-Zyme (500ml),auto_1.209,True,DJ-AGR-0131_1.jpg
NanoTech19_500ml.webp,Dayjoy All Product Images/AGRICULTURE & VETERINARY/NanoTech19_500ml.webp,DJ-AGR-0125,Nano Tech-19 (500ml),auto_0.909,True,DJ-AGR-0125_1.webp
NanoTech46_500ml.webp,Dayjoy All Product Images/AGRICULTURE & VETERINARY/NanoTech46_500ml.webp,DJ-AGR-0126,Nano Tech-46 (500ml),auto_0.909,True,DJ-AGR-0126_1.webp
Prosperous1ltr.webp,Dayjoy All Product Images/AGRICULTURE & VETERINARY/Prosperous1ltr.webp,DJ-AGR-0129,Prosperous+ (1 L),manual_review,True,DJ-AGR-0129_2.webp
AquaEnergiser Mockup (1).png,Dayjoy All Product Images/AQUA ESSENTIALS/AquaEnergiser Mockup (1).png,DJ-AQU-0140,Aqua Energiser (Single),auto_0.765,True,DJ-AQU-0140_1.png
Perfect-ion (2).jpeg,Dayjoy All Product Images/AQUA ESSENTIALS/Perfect-ion (2).jpeg,DJ-AQU-0141,New Perfect-Ion,auto_1.046,True,DJ-AQU-0141_1.jpeg
DayjoyNecktie.webp,Dayjoy All Product Images/CLOTH/DayjoyNecktie.webp,DJ-CLO-0122,Dayjoy Necktie,auto_0.963,True,DJ-CLO-0122_1.webp
Mask.webp,Dayjoy All Product Images/CLOTH/Mask.webp,DJ-CLO-0121,Designer Mask (Pack of 5),manual_review,True,DJ-CLO-0121.webp
