chunk_id,document_id,source_page,product_code,sku,category,role_scope,risk_level,confidence,effective_from,approval_status,chunk_type
product_core::DJP1000::DJ-FOO-0001,canonical-product-master,,DJP1000,DJ-FOO-0001,,"public, distributor, internal",medium,high,2026-05-05,approved,product_core
pricing_row::DJP1000::DJ-FOO-0001,India-BV-Price-May-2026,,DJP1000,DJ-FOO-0001,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1001::DJ-FOO-0002,canonical-product-master,,DJP1001,DJ-FOO-0002,,"public, distributor, internal",medium,high,2026-05-05,approved,product_core
pricing_row::DJP1001::DJ-FOO-0002,India-BV-Price-May-2026,,DJP1001,DJ-FOO-0002,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1002::DJ-FOO-0003,canonical-product-master,,DJP1002,DJ-FOO-0003,,"public, distributor, internal",medium,high,2026-05-05,approved,product_core
pricing_row::DJP1002::DJ-FOO-0003,India-BV-Price-May-2026,,DJP1002,DJ-FOO-0003,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1003::DJ-FOO-0004,canonical-product-master,,DJP1003,DJ-FOO-0004,,"public, distributor, internal",medium,high,2026-05-05,approved,product_core
pricing_row::DJP1003::DJ-FOO-0004,India-BV-Price-May-2026,,DJP1003,DJ-FOO-0004,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1004::DJ-FOO-0005,canonical-product-master,,DJP1004,DJ-FOO-0005,,"public, distributor, internal",medium,high,2026-05-05,approved,product_core
pricing_row::DJP1004::DJ-FOO-0005,India-BV-Price-May-2026,,DJP1004,DJ-FOO-0005,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1005::DJ-FOO-0006,canonical-product-master,,DJP1005,DJ-FOO-0006,,"public, distributor, internal",medium,high,2026-05-05,approved,product_core
pricing_row::DJP1005::DJ-FOO-0006,India-BV-Price-May-2026,,DJP1005,DJ-FOO-0006,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1006::DJ-FOO-0007,canonical-product-master,,DJP1006,DJ-FOO-0007,,"public, distributor, internal",medium,high,2026-05-05,approved,product_core
pricing_row::DJP1006::DJ-FOO-0007,India-BV-Price-May-2026,,DJP1006,DJ-FOO-0007,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1007::DJ-FOO-0008,canonical-product-master,,DJP1007,DJ-FOO-0008,,"public, distributor, internal",medium,high,2026-05-05,approved,product_core
pricing_row::DJP1007::DJ-FOO-0008,India-BV-Price-May-2026,,DJP1007,DJ-FOO-0008,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1008::DJ-FOO-0009,canonical-product-master,,DJP1008,DJ-FOO-0009,,"public, distributor, internal",medium,high,2026-05-05,approved,product_core
pricing_row::DJP1008::DJ-FOO-0009,India-BV-Price-May-2026,,DJP1008,DJ-FOO-0009,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1009::DJ-FOO-0010,canonical-product-master,,DJP1009,DJ-FOO-0010,,"public, distributor, internal",medium,high,2026-05-05,approved,product_core
pricing_row::DJP1009::DJ-FOO-0010,India-BV-Price-May-2026,,DJP1009,DJ-FOO-0010,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
