chunk_id,parent_doc_id,chunk_index,chunk_text,doc_type,source_document,source_section,product_name,product_code,sku,tags,keywords,category,confidence,source_reference,notes
intent_1,dayjoy_master_intent_dataset,1,Q: What is Multivitamins Tablets? A: Multivitamins Tablets is a HEALTH CARE product by Dayjoy.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Multivitamins Tablets,DJP1094,DJ-HEA-0095,informational;product_info,what is multivitamins tablets,informational,high,Products Master,
intent_2,dayjoy_master_intent_dataset,2,Q: What is Perfect-Ion Testing Solutions? A: Perfect-Ion Testing Solutions is a AQUA ESSENTIALS product by Dayjoy.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Perfect-Ion Testing Solutions,DJP1141,DJ-AQU-0142,informational;product_info,what is perfect ion testing solutions,informational,high,Products Master,
intent_3,dayjoy_master_intent_dataset,3,"Q: I have Irregular Heartbeats, what should I take? A: Dayjoy suggests MULTI VITAMINS TABLETS for Irregular Heartbeats. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have irregular heartbeats what should i take,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_4,dayjoy_master_intent_dataset,4,"Q: Which product is good for Mental Disorder? A: Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for mental disorder,recommendation,high,Recommendation Chart,
intent_5,dayjoy_master_intent_dataset,5,Q: DP of DJP1158 A: The Distributor Price (DP) is ₹75.0.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,pricing,Hindi One-Page Compensation Plan (Set of 25 Leaflets),DJP1158,DJ-PRO-0159,pricing;dp,dp of djp1158,pricing,high,Price List,
intent_6,dayjoy_master_intent_dataset,6,Q: Is Kasuri Methi (50g) a food product? A: It is categorized under FOOD PRODUCTS.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Kasuri Methi (50g),DJP1015,DJ-FOO-0016,informational;product_category,is kasuri methi 50g a food product,informational,high,Products Master,
intent_7,dayjoy_master_intent_dataset,7,"Q: What awards has Dayjoy won? A: Dayjoy won Startup of the Year (2020), 4th Annual Direct Selling Today Award (2021), and Entrepreneurship Excellence Award (2023).",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,company,,,,company;info,what awards has dayjoy won,company,high,Dayjoy Brochure,
intent_8,dayjoy_master_intent_dataset,8,"Q: Which product is good for Difficulty in Planning and Carrying out tasks? A: Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for difficulty in planning,recommendation,high,Recommendation Chart,
intent_9,dayjoy_master_intent_dataset,9,Q: How much is in one pack of Haldi Powder (500g)? A: The pack size is 500g.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Haldi Powder (500g),DJP1011,DJ-FOO-0012,informational;pack_size,how much is in one pack of haldi,informational,high,Products Master,
intent_10,dayjoy_master_intent_dataset,10,"Q: I have Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom, what should I take? A: Dayjoy suggests GO PILES TABLETS for Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have slimy mucus in your underwear or,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_11,dayjoy_master_intent_dataset,11,"Q: Which product is good for Itchy Skin? A: Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for itchy skin,recommendation,high,Recommendation Chart,
intent_12,dayjoy_master_intent_dataset,12,Q: How do I get a refund? A: Refunds for returned products are processed to the original bank account or payment method after inspection.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,policy,,,,policy;shipping_refund,how do i get a refund,policy,high,Shipping/Refund Policy,
intent_13,dayjoy_master_intent_dataset,13,"Q: Which product is good for Increased errors or accidents? A: Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for increased errors or,recommendation,high,Recommendation Chart,
intent_14,dayjoy_master_intent_dataset,14,"Q: Which product is good for Yellow Skin and Eyes? A: Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for yellow skin and,recommendation,high,Recommendation Chart,
intent_15,dayjoy_master_intent_dataset,15,Q: What is Garam Masala (100g)? A: Garam Masala (100g) is a FOOD PRODUCTS product by Dayjoy.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Garam Masala (100g),DJP1008,DJ-FOO-0009,informational;product_info,what is garam masala 100g,informational,high,Products Master,
intent_16,dayjoy_master_intent_dataset,16,"Q: Which product is good for Pain? A: Based on Dayjoy recommendations, you may consider ASTHPRASH OR N-ASTHEAL TABLET. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for pain,recommendation,high,Recommendation Chart,
intent_17,dayjoy_master_intent_dataset,17,Q: How much is in one pack of Sandalwood & Shahi Gulab Body Lotion (150ml)? A: The pack size is 150ml.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,informational,Sandalwood & Shahi Gulab Body Lotion (150ml),DJP1042,DJ-PER-0043,informational;pack_size,how much is in one pack of sandalwood,informational,high,Products Master,
intent_18,dayjoy_master_intent_dataset,18,"Q: I have Fatigue, what should I take? A: Dayjoy suggests DIBEAT TABLETS for Fatigue. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have fatigue what should i take,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_19,dayjoy_master_intent_dataset,19,"Q: Which product is good for Shortness of Breath? A: Based on Dayjoy recommendations, you may consider AMPLE MEAL. Consult a physician for medical advice.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,recommendation,,,,recommendation;health_need,which product is good for shortness of breath,recommendation,high,Recommendation Chart,
intent_20,dayjoy_master_intent_dataset,20,Q: What is the Loyalty Offer? A: Distributors buying Rs. 2500+ from 2nd-15th for 4 months get free products in the 5th month.,intent_dataset,Dayjoy_Master_Intent_Dataset.csv,business,,,,business;joining,what is the loyalty offer,business,high,Dayjoy Brochure / Loyalty Program,
intent_21,dayjoy_master_intent_dataset,21,"Q: I have Constipation, what should I take? A: Dayjoy suggests LIVEASE SYRUP OR GAS-O-FREE SYRUP for Constipation. This is a supplement, not a cure.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,health-condition,,,,health-condition;consultation,i have constipation what should i take,health-condition,medium,Recommendation Chart,Medical disclaimer included
intent_22,dayjoy_master_intent_dataset,22,"Q: Can I sell Dayjoy products part-time? A: Yes, you can set your own work hours and commitment levels, full-time or part-time.",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,business,,,,business;joining,can i sell dayjoy products part time,business,high,Dayjoy Brochure / Loyalty Program,
intent_23,dayjoy_master_intent_dataset,23,"Q: Do you have Sanitary Pad (XXL) (Pack of 10)? A: Yes, Sanitary Pad (XXL) (Pack of 10) is available. Code: DJP1044",intent_dataset,Dayjoy_Master_Intent_Dataset.csv,transactional,Sanitary Pad (XXL) (Pack of 10),DJP1044,DJ-PER-0045,transactional;availability,do you have sanitary pad xxl pack of,transactional,high,Products Master,
