relationship_id,product_a_id,product_a_name,product_b_id,product_b_name,relationship_type,co_occurrence_count,source,approved,notes
1,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),106,Super Food Capsule,recommended_combination,118.0,recommendation_chart,,
2,106,Super Food Capsule,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,118.0,recommendation_chart,,
3,103,Super Rich Berry Juice (1 Ltr.),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,114.0,recommendation_chart,,
4,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,114.0,recommendation_chart,,
5,106,Super Food Capsule,103,Super Rich Berry Juice (1 Ltr.),recommended_combination,94.0,recommendation_chart,,
6,103,Super Rich Berry Juice (1 Ltr.),106,Super Food Capsule,recommended_combination,94.0,recommendation_chart,,
7,106,Super Food Capsule,107,Premium Tulsi Max (30ml),recommended_combination,36.0,recommendation_chart,,
8,107,Premium Tulsi Max (30ml),106,Super Food Capsule,recommended_combination,36.0,recommendation_chart,,
9,107,Premium Tulsi Max (30ml),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,36.0,recommendation_chart,,
10,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),107,Premium Tulsi Max (30ml),recommended_combination,36.0,recommendation_chart,,
11,101,Omega 3-6-9,106,Super Food Capsule,recommended_combination,33.0,recommendation_chart,,
12,106,Super Food Capsule,101,Omega 3-6-9,recommended_combination,33.0,recommendation_chart,,
13,101,Omega 3-6-9,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,33.0,recommendation_chart,,
14,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),101,Omega 3-6-9,recommended_combination,33.0,recommendation_chart,,
15,96,Nonima (500ml),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,32.0,recommendation_chart,,
16,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),96,Nonima (500ml),recommended_combination,32.0,recommendation_chart,,
17,96,Nonima (500ml),93,Liv-Ease (200ml),recommended_combination,32.0,recommendation_chart,,
18,93,Liv-Ease (200ml),96,Nonima (500ml),recommended_combination,32.0,recommendation_chart,,
19,103,Super Rich Berry Juice (1 Ltr.),82,Gas-O-Free (200ml),recommended_combination,30.0,recommendation_chart,,
20,82,Gas-O-Free (200ml),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,30.0,recommendation_chart,,
21,103,Super Rich Berry Juice (1 Ltr.),107,Premium Tulsi Max (30ml),recommended_combination,30.0,recommendation_chart,,
22,107,Premium Tulsi Max (30ml),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,30.0,recommendation_chart,,
23,106,Super Food Capsule,96,Nonima (500ml),recommended_combination,29.0,recommendation_chart,,
24,96,Nonima (500ml),106,Super Food Capsule,recommended_combination,29.0,recommendation_chart,,
25,103,Super Rich Berry Juice (1 Ltr.),96,Nonima (500ml),recommended_combination,26.0,recommendation_chart,,
26,96,Nonima (500ml),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,26.0,recommendation_chart,,
27,71,Adilipo (120 Tab),106,Super Food Capsule,recommended_combination,24.0,recommendation_chart,,
28,101,Omega 3-6-9,71,Adilipo (120 Tab),recommended_combination,24.0,recommendation_chart,,
29,106,Super Food Capsule,71,Adilipo (120 Tab),recommended_combination,24.0,recommendation_chart,,
30,93,Liv-Ease (200ml),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,24.0,recommendation_chart,,
31,71,Adilipo (120 Tab),81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),recommended_combination,24.0,recommendation_chart,,
32,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),93,Liv-Ease (200ml),recommended_combination,24.0,recommendation_chart,,
33,81,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),71,Adilipo (120 Tab),recommended_combination,24.0,recommendation_chart,,
34,71,Adilipo (120 Tab),101,Omega 3-6-9,recommended_combination,24.0,recommendation_chart,,
35,101,Omega 3-6-9,103,Super Rich Berry Juice (1 Ltr.),recommended_combination,23.0,recommendation_chart,,
36,103,Super Rich Berry Juice (1 Ltr.),101,Omega 3-6-9,recommended_combination,23.0,recommendation_chart,,
37,93,Liv-Ease (200ml),82,Gas-O-Free (200ml),recommended_combination,22.0,recommendation_chart,,
38,103,Super Rich Berry Juice (1 Ltr.),93,Liv-Ease (200ml),recommended_combination,22.0,recommendation_chart,,
39,103,Super Rich Berry Juice (1 Ltr.),73,Adiliv (60 Tab),recommended_combination,22.0,recommendation_chart,,
40,73,Adiliv (60 Tab),103,Super Rich Berry Juice (1 Ltr.),recommended_combination,22.0,recommendation_chart,,
41,73,Adiliv (60 Tab),93,Liv-Ease (200ml),recommended_combination,22.0,recommendation_chart,,
