product_name,pricing_signal_count,insight_type,basis
Regain Aloevera Shampoo (300ml),23,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Seabuckthron Cleanser (30g),18,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Nano Tech-52 (500ml),17,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Shilajit Gummies (60 Gummies),17,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Vital Protein Powder (300gm),17,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Seabuckthron Face Pack (30g),16,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Hydra Aloevera Body Lotion (300ml),16,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Perfect-Ion Testing Solutions,16,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
New Dayjoy Product Brochure (English),16,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
"T-shirt New Design (L, M, XL)",16,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Milk Bath Soap (Pack of 3) (100g),16,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Mirchi Powder (500g),16,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Premium Suit Length (Black),16,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dayjoy Backpack Bag,16,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
WildMuse Premium Loofah,16,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Nano Tech-19 (500ml),16,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dhaniya Powder (25g),15,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Anti Pollution Aloevera Face Wash (100ml),15,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Adicardial Syrup (500ml),15,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Seabuckthron Facial Fluid (10ml),15,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Premium Tulsi Max (30ml),15,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Amla Reetha Sikakai Shampoo (100ml),15,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Adicardial (120 Tab),15,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
JoySpread 80+ Gold (100ml),15,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dayjoy Cap,14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dayjoy Car Sticker,14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Luxury Saffron Soap (100g),14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Liv-Ease (500ml),14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Haldi Powder (25g),14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
BR Rich Oil (200ml),14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Adilipo (120 Tab),14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Eye Health++ (60 Capsules),14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Rai (250g),14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
ELITE PACKAGE,14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Kesham (100ml),14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Nano Tech-46 (500ml),14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Dayjoy Diary,14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Advanced Calcium Tablets,14,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Kidney Kawach (300 g),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Himalayan Pink Salt Sprinkler (200g),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Nonima (500ml),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Black Salt Sprinkler (200g),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Organic Jeera (250g),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
Astheal Cough Syrup (100ml),13,high_margin_proxy,Proxy based on pricing/BV-related mentions due to lack of cost/margin table.
