faq_id,product_id,product_code,sku,question,answer,faq_category,sort_order,source_document,source_page_or_section,confidence
1000,1,DJP1000,DJ-FOO-0001,What is Black Salt Sprinkler (200g)?,"Black Salt Sprinkler (200g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
1001,1,DJP1000,DJ-FOO-0001,What is the price and business volume (BV) for Black Salt Sprinkler (200g)?,"The MRP is ₹59.0, Distributor Price (DP) is ₹49.0, and the Business Volume (BV) is 10.0.",pricing,2,Various Documents,,high
1002,1,DJP1000,DJ-FOO-0001,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
1003,1,DJP1000,DJ-FOO-0001,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
1004,1,DJP1000,DJ-FOO-0001,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
1005,1,DJP1000,DJ-FOO-0001,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
1006,1,DJP1000,DJ-FOO-0001,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
1007,1,DJP1000,DJ-FOO-0001,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
1008,1,DJP1000,DJ-FOO-0001,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
1009,1,DJP1000,DJ-FOO-0001,What is the pack size?,This specific item comes in a 200g pack size.,dosage,10,Various Documents,,medium
1010,1,DJP1000,DJ-FOO-0001,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
1011,2,DJP1001,DJ-FOO-0002,What is Chaat Masala (100g)?,"Chaat Masala (100g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
1012,2,DJP1001,DJ-FOO-0002,What is the price and business volume (BV) for Chaat Masala (100g)?,"The MRP is ₹75.0, Distributor Price (DP) is ₹56.0, and the Business Volume (BV) is 10.0.",pricing,2,Various Documents,,high
1013,2,DJP1001,DJ-FOO-0002,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
1014,2,DJP1001,DJ-FOO-0002,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
1015,2,DJP1001,DJ-FOO-0002,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
1016,2,DJP1001,DJ-FOO-0002,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
1017,2,DJP1001,DJ-FOO-0002,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
1018,2,DJP1001,DJ-FOO-0002,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
1019,2,DJP1001,DJ-FOO-0002,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
1020,2,DJP1001,DJ-FOO-0002,What is the pack size?,This specific item comes in a 100g pack size.,dosage,10,Various Documents,,medium
1021,2,DJP1001,DJ-FOO-0002,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
1022,3,DJP1002,DJ-FOO-0003,What is Chicken Masala (100g)?,"Chicken Masala (100g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
1023,3,DJP1002,DJ-FOO-0003,What is the price and business volume (BV) for Chicken Masala (100g)?,"The MRP is ₹110.0, Distributor Price (DP) is ₹90.0, and the Business Volume (BV) is 15.0.",pricing,2,Various Documents,,high
1024,3,DJP1002,DJ-FOO-0003,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
1025,3,DJP1002,DJ-FOO-0003,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
1026,3,DJP1002,DJ-FOO-0003,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
1027,3,DJP1002,DJ-FOO-0003,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
1028,3,DJP1002,DJ-FOO-0003,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
1029,3,DJP1002,DJ-FOO-0003,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
1030,3,DJP1002,DJ-FOO-0003,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
1031,3,DJP1002,DJ-FOO-0003,What is the pack size?,This specific item comes in a 100g pack size.,dosage,10,Various Documents,,medium
1032,3,DJP1002,DJ-FOO-0003,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
1033,4,DJP1003,DJ-FOO-0004,What is Daily Tea (250g)?,"Daily Tea (250g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
1034,4,DJP1003,DJ-FOO-0004,What is the price and business volume (BV) for Daily Tea (250g)?,"The MRP is ₹169.0, Distributor Price (DP) is ₹125.0, and the Business Volume (BV) is 20.0.",pricing,2,Various Documents,,high
1035,4,DJP1003,DJ-FOO-0004,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
1036,4,DJP1003,DJ-FOO-0004,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
1037,4,DJP1003,DJ-FOO-0004,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
1038,4,DJP1003,DJ-FOO-0004,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
1039,4,DJP1003,DJ-FOO-0004,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
1040,4,DJP1003,DJ-FOO-0004,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
1041,4,DJP1003,DJ-FOO-0004,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
1042,4,DJP1003,DJ-FOO-0004,What is the pack size?,This specific item comes in a 250g pack size.,dosage,10,Various Documents,,medium
1043,4,DJP1003,DJ-FOO-0004,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
1044,5,DJP1004,DJ-FOO-0005,What is Daily Tea (500g)?,"Daily Tea (500g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
1045,5,DJP1004,DJ-FOO-0005,What is the price and business volume (BV) for Daily Tea (500g)?,"The MRP is ₹329.0, Distributor Price (DP) is ₹245.0, and the Business Volume (BV) is 39.0.",pricing,2,Various Documents,,high
1046,5,DJP1004,DJ-FOO-0005,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
1047,5,DJP1004,DJ-FOO-0005,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
1048,5,DJP1004,DJ-FOO-0005,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
1049,5,DJP1004,DJ-FOO-0005,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
1050,5,DJP1004,DJ-FOO-0005,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
1051,5,DJP1004,DJ-FOO-0005,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
1052,5,DJP1004,DJ-FOO-0005,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
1053,5,DJP1004,DJ-FOO-0005,What is the pack size?,This specific item comes in a 500g pack size.,dosage,10,Various Documents,,medium
1054,5,DJP1004,DJ-FOO-0005,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
1055,6,DJP1005,DJ-FOO-0006,What is Dhaniya Powder (25g)?,"Dhaniya Powder (25g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
1056,6,DJP1005,DJ-FOO-0006,What is the price and business volume (BV) for Dhaniya Powder (25g)?,"The MRP is ₹20.0, Distributor Price (DP) is ₹15.0, and the Business Volume (BV) is 1.0.",pricing,2,Various Documents,,high
1057,6,DJP1005,DJ-FOO-0006,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
1058,6,DJP1005,DJ-FOO-0006,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
1059,6,DJP1005,DJ-FOO-0006,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
1060,6,DJP1005,DJ-FOO-0006,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
1061,6,DJP1005,DJ-FOO-0006,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
1062,6,DJP1005,DJ-FOO-0006,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
1063,6,DJP1005,DJ-FOO-0006,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
1064,6,DJP1005,DJ-FOO-0006,What is the pack size?,This specific item comes in a 25g pack size.,dosage,10,Various Documents,,medium
1065,6,DJP1005,DJ-FOO-0006,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
1066,7,DJP1006,DJ-FOO-0007,What is Dhaniya Powder (200g)?,"Dhaniya Powder (200g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
1067,7,DJP1006,DJ-FOO-0007,What is the price and business volume (BV) for Dhaniya Powder (200g)?,"The MRP is ₹95.0, Distributor Price (DP) is ₹75.0, and the Business Volume (BV) is 14.0.",pricing,2,Various Documents,,high
1068,7,DJP1006,DJ-FOO-0007,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
1069,7,DJP1006,DJ-FOO-0007,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
1070,7,DJP1006,DJ-FOO-0007,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
1071,7,DJP1006,DJ-FOO-0007,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
1072,7,DJP1006,DJ-FOO-0007,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
1073,7,DJP1006,DJ-FOO-0007,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
1074,7,DJP1006,DJ-FOO-0007,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
1075,7,DJP1006,DJ-FOO-0007,What is the pack size?,This specific item comes in a 200g pack size.,dosage,10,Various Documents,,medium
1076,7,DJP1006,DJ-FOO-0007,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
1077,8,DJP1007,DJ-FOO-0008,What is Dhaniya Powder (500g)?,"Dhaniya Powder (500g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
1078,8,DJP1007,DJ-FOO-0008,What is the price and business volume (BV) for Dhaniya Powder (500g)?,"The MRP is ₹210.0, Distributor Price (DP) is ₹170.0, and the Business Volume (BV) is 30.0.",pricing,2,Various Documents,,high
1079,8,DJP1007,DJ-FOO-0008,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
1080,8,DJP1007,DJ-FOO-0008,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
1081,8,DJP1007,DJ-FOO-0008,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
1082,8,DJP1007,DJ-FOO-0008,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
1083,8,DJP1007,DJ-FOO-0008,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
1084,8,DJP1007,DJ-FOO-0008,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
1085,8,DJP1007,DJ-FOO-0008,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
1086,8,DJP1007,DJ-FOO-0008,What is the pack size?,This specific item comes in a 500g pack size.,dosage,10,Various Documents,,medium
1087,8,DJP1007,DJ-FOO-0008,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
1088,9,DJP1008,DJ-FOO-0009,What is Garam Masala (100g)?,"Garam Masala (100g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
1089,9,DJP1008,DJ-FOO-0009,What is the price and business volume (BV) for Garam Masala (100g)?,"The MRP is ₹110.0, Distributor Price (DP) is ₹99.0, and the Business Volume (BV) is 20.0.",pricing,2,Various Documents,,high
1090,9,DJP1008,DJ-FOO-0009,Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
1091,9,DJP1008,DJ-FOO-0009,Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
1092,9,DJP1008,DJ-FOO-0009,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
1093,9,DJP1008,DJ-FOO-0009,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
1094,9,DJP1008,DJ-FOO-0009,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
1095,9,DJP1008,DJ-FOO-0009,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
1096,9,DJP1008,DJ-FOO-0009,How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
1097,9,DJP1008,DJ-FOO-0009,What is the pack size?,This specific item comes in a 100g pack size.,dosage,10,Various Documents,,medium
1098,9,DJP1008,DJ-FOO-0009,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
