topic_key,question,answer,source_file_id,source_pages,content_type,for_use
plan_overview,What is Dayjoy GrowthX Plan?,"The Dayjoy GrowthX Plan is presented as a gamified, step-by-step roadmap from first milestone to luxury, focused on clear goals, smart growth, and ultimate luxury.",file:124,1-2,faq,dayjoy_gpt_search
why_direct_selling,Why join direct selling?,"The plan says extra income can support a better house, better car, holidays, family time, own house, and quality life, and positions Dayjoy as a parallel source of income.",file:124,3,faq,dayjoy_gpt_search
how_to_start,How to start Dayjoy digital business?,"The plan shows four core steps: Register, Shop, Recommend, and Replicate, and says the basic requirements are a smartphone, internet, and big dreams.",file:124,4,faq,dayjoy_gpt_search
good_company_check,How to choose a good direct selling company?,"The plan lists five checkpoints: Profile, Promoter, Product, Plan, and People.",file:124,5,faq,dayjoy_gpt_search
business_matching,How does Business Matching Incentive work?,"Business Matching Incentive is stated as 10% of BV matching. For 2500 BV activation, first incentive uses 2:1 or 1:2 ratio at 2500:5000 for Rs. 250, then 1:1 at 2500:2500 for Rs. 250. For 5000 BV activation, first ratio is 10000:5000 for Rs. 500, then 5000:5000 for Rs. 500. For 7500 BV activation, first ratio is 15000:7500 for Rs. 750, then 7500:7500 for Rs. 750. For 10000 BV activation, first ratio is 20000:10000 for Rs. 1000, then 10000:10000 for Rs. 1000. Weekly closing is every Wednesday and payout is every Friday.",file:124,33,faq,dayjoy_gpt_search
mentorship,How does Mentorship Incentive work?,"Mentorship Incentive is stated as 50% of direct introduced distributor business matching incentive. The plan example says 10 directs at weekly maximum threshold of Rs. 1,25,000 each would produce Rs. 6,25,000 mentorship income plus Rs. 1,25,000 own business matching incentive for Rs. 7,50,000 per week, and it also says mentorship income can be earned from a single business group.",file:124,34,faq,dayjoy_gpt_search
reward_clubs,How many lifetime reward clubs are in the plan?,The plan says there are 17 Lifetime Reward Clubs beyond standard commissions.,file:124,35,faq,dayjoy_gpt_search
rank_table,How many ranks are there?,"The rank and recognition table lists 17 clubs and ranks, from Star Executive through Universal Ambassador, each tied to BV matching criteria.",file:124,50,faq,dayjoy_gpt_search
online_shopping,How does Dayjoy online shopping work?,"The shopping file shows users can browse brands, quick view products, add to cart, adjust quantity, checkout, log in, choose sale type, fill shipping details, choose payment method, and place orders. In the user panel flow, purchase can be from Company or Franchise, and sale type can be joining sale for PV or repurchase sale for BV.",file:123,2-13,faq,dayjoy_gpt_search
company_story,What is Dayjoy?,"The product brochure describes Dayjoy Marketing as a wellness brand focused on high-quality lifestyle products made from natural ingredients across wellness, beauty, agriculture, cloth, spices, and home care, and says it promotes entrepreneurship through a direct selling model.",file:44,2,faq,dayjoy_gpt_search
leadership,Who leads Dayjoy?,The brochure identifies Mr. Anmol Agarwal and Mr. Divyansh Agarwal as founders and managing directors of Dayjoy Marketing Pvt. Ltd.,file:44,3-4,faq,dayjoy_gpt_search
manufacturing,What are Dayjoy manufacturing strengths?,"The brochure says Dayjoy operates one of North India’s large manufacturing setups, with certifications including ISO, GMP, WHO-GMP, FSSAI, FDA, HALAL, and HACCP, daily capacities above 100,000 tablets, 20,000 liters of syrup, and 100,000 capsules, plus a 50,000 kg/day dehydration unit and 6,000 tons annual extraction capacity in Rajasthan.",file:44,5,faq,dayjoy_gpt_search
recommendation_chart,Does Dayjoy have product recommendation data?,"Yes. The uploaded cleaned recommendation chart contains structured symptom-to-product mappings across categories such as general health, diabetes, heart diseases, bone and joint problems, skin, eye health, elderly health, thyroid, sinusitis, and more.",file:126,Clean_Data,faq,dayjoy_gpt_search
