product_code,sku,product_name,category,source_document,last_updated,status,subcategory,mrp,distributor_price,bv,pv,pack_size,ingredients,benefits,features,usage,dosage,warnings,storage,target_customer,related_products,alternative_products,cross_sell_products,frequently_bought_together,certifications,search_keywords,metadata,faqs,source_page,extraction_status,confidence,contraindications,brand,source_document_id,source_version,approval_status,effective_from,effective_to,missing_fields_count,risk_level
DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Mineral-rich, naturally sourced, and free from chemicals and additives. Support digestion, hydration, and overall wellness.",,,,,,,,,,,,,,,50.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1001,DJ-FOO-0002,Chaat Masala (100g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Crafted from premium, organically sourced spices, free from chemicals and additives. Enhances your dishes with rich aroma.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1002,DJ-FOO-0003,Chicken Masala (100g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Crafted from premium, organically sourced spices, free from chemicals and additives. Enhances your dishes with rich aroma.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1003,DJ-FOO-0004,Daily Tea (250g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,Antioxidant-rich tea supports a healthy lifestyle while delivering a natural caffeine boost. Free from additives and preservatives.,,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1004,DJ-FOO-0005,Daily Tea (500g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,Antioxidant-rich tea supports a healthy lifestyle while delivering a natural caffeine boost. Free from additives and preservatives.,,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1008,DJ-FOO-0009,Garam Masala (100g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Crafted from premium, organically sourced spices, free from chemicals and additives. Enhances your dishes with rich aroma.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
DJP1009,DJ-FOO-0010,Haldi Powder (25g),,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-08-04,needs_source_enrichment,,,,,,,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,47.0,Extracted,High,,,,,approved,2026-05-01,,4,high
