Category,Problem_or_Condition,Subcondition,Recommended_Product_1,Recommended_Product_2,Recommended_Product_3,Recommended_Product_4,Usage_or_Notes,Priority,Source_Page,Confidence,Original_Text_Snippet
GENERAL HEALTH & WELL-BEING,Physical Retardation,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX,,,Golden Elixir: 1-2 times daily before meals. Sea Buckthorn: 20-30 ml twice daily.,High,60,High,Physical Retardation
GENERAL HEALTH & WELL-BEING,Reduced Cognitive abilities,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX,,,Golden Elixir: 1-2 times daily before meals. Sea Buckthorn: 20-30 ml twice daily.,High,60,High,Reduced Cognitive abilities
GENERAL HEALTH & WELL-BEING,Weakness OR Tiredness,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX,,,Golden Elixir: 1-2 times daily before meals. Sea Buckthorn: 20-30 ml twice daily.,High,60,High,Weakness OR Tiredness
GENERAL HEALTH & WELL-BEING,Decreased Immunity,,ALOE VERA GUAVA JUICE OR NONIMA JUICE,MULTI VITAMINS TABLETS,,,Aloe Vera Guava: 20-30 ml twice daily. Multi Vitamins: 1 tablet daily.,High,60,High,Decreased Immunity
DIABETES,Increased Thirst,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Increased Thirst
DIABETES,Frequent Urination,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Frequent Urination
DIABETES,Unexplained Weight loss,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Unexplained Weight loss
DIABETES,Extreme Hunger,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Extreme Hunger
DIABETES,Fatigue,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Fatigue
DIABETES,Blurred Vision,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Blurred Vision
DIABETES,Slow Healing Sores,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Slow Healing Sores
DIABETES,Tingling Sensations and Numbness,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Tingling Sensations and Numbness
HEART DISEASES,Abnormal Heart Rhythms,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Abnormal Heart Rhythms
HEART DISEASES,High Blood Pressure,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,High Blood Pressure
HEART DISEASES,Chest Pain,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Chest Pain
HEART DISEASES,Shortness of Breath,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Shortness of Breath
HEART DISEASES,Swollen Ankles,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Swollen Ankles
HEART DISEASES,Fatigue,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Fatigue
HEART DISEASES,Dizziness or Fainting,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Dizziness or Fainting
HEART DISEASES,Palpitations,,ADILIPO TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE OR OMEGA 3-6-9 SOFTGEL CAPSULES,GAS-O-FREE SYRUP,,Adilipo Tablet: 1-2 tablets twice daily on empty stomach.,High,62,High,Palpitations
BONE & JOINT PROBLEMS,Back Pain or Joints Pain,,ORTHOFIX TABLET,ORTHOFIX OIL,CALCIUM TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,Orthofix Tablet: 1-2 tablets twice daily. Orthofix Oil: Apply 3-5 ml twice daily.,High,63,High,Back Pain or Joints Pain
BONE & JOINT PROBLEMS,Joint Stiffness & Noises (Crepitations),,ORTHOFIX TABLET,ORTHOFIX OIL,CALCIUM TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,Orthofix Tablet: 1-2 tablets twice daily. Orthofix Oil: Apply 3-5 ml twice daily.,High,63,High,Joint Stiffness & Noises (Crepitations)
BONE & JOINT PROBLEMS,Inflammation & Swelling,,ORTHOFIX TABLET,ORTHOFIX OIL,CALCIUM TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,Orthofix Tablet: 1-2 tablets twice daily. Orthofix Oil: Apply 3-5 ml twice daily.,High,63,High,Inflammation & Swelling
BONE & JOINT PROBLEMS,Tenderness,,ORTHOFIX TABLET,ORTHOFIX OIL,CALCIUM TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,Orthofix Tablet: 1-2 tablets twice daily. Orthofix Oil: Apply 3-5 ml twice daily.,High,63,High,Tenderness
BONE & JOINT PROBLEMS,Fatigue,,ORTHOFIX TABLET,ORTHOFIX OIL,CALCIUM TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,Orthofix Tablet: 1-2 tablets twice daily. Orthofix Oil: Apply 3-5 ml twice daily.,High,63,High,Fatigue
LIVER DISEASES,Yellow Skin and Eyes,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Yellow Skin and Eyes
LIVER DISEASES,Dark Urine,,ADILIV TABLETS,LIVEASE SYRUP,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE OR ALOE VERA GUAVA JUICE OR NONIMA JUICE,GAS-O-FREE SYRUP,Adiliv: 1-2 tablets twice daily empty stomach. Livease: 5-10 ml twice daily.,High,64,High,Dark Urine
