intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,normalized_question,normalized_symptom,recommended_product,intent_bucket
18,"I have Fatigue, what should I take?","Dayjoy suggests DIBEAT TABLETS for Fatigue. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have fatigue,have fatigue,nan,regulated_health_intent_review
51,"I have High Blood Pressure, what should I take?","Dayjoy suggests ADILIPO TABLET for High Blood Pressure. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have high blood pressure,have high blood pressure,nan,regulated_health_intent_review
81,Which product is good for Reduced amount of urine?,"Based on Dayjoy recommendations, you may consider KIDNEY KAWACH. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,reduced amount urine,reduced amount urine,nan,regulated_health_intent_review
97,Which product is good for Fatigue?,"Based on Dayjoy recommendations, you may consider DIBEAT TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,fatigue,fatigue,nan,regulated_health_intent_review
101,Which product is good for Weakness?,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,weakness,weakness,nan,regulated_health_intent_review
122,How long is delivery?,The average time for delivery is between 2 - 7 days depending on location.,policy,shipping_refund,,,,high,Shipping/Refund Policy,,how long delivery,how long delivery,nan,regulated_health_intent_review
138,"I have Swelling in legs ankles and feet from retention of fluids, what should I take?","Dayjoy suggests KIDNEY KAWACH for Swelling in legs ankles and feet from retention of fluids. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have swelling legs ankles and feet from retention fluids,have swelling legs ankles and feet from retention fluids,nan,regulated_health_intent_review
233,Which product is good for Depression & Anxiety?,"Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,depression anxiety,depression anxiety,nan,regulated_health_intent_review
245,Which product is good for Unexplained Weight loss?,"Based on Dayjoy recommendations, you may consider DIBEAT TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,unexplained weight loss,unexplained weight loss,nan,regulated_health_intent_review
253,Which product is good for Pain or pressure in your chest?,"Based on Dayjoy recommendations, you may consider KIDNEY KAWACH. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,pain or pressure your chest,pain or pressure your chest,nan,regulated_health_intent_review
270,"I have Weakness OR Tiredness, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE for Weakness OR Tiredness. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have weakness or tiredness,have weakness or tiredness,nan,regulated_health_intent_review
340,Which product is good for Weakness OR Tiredness?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,weakness or tiredness,weakness or tiredness,nan,regulated_health_intent_review
362,"I have Decreased Immunity, what should I take?","Dayjoy suggests ALOE VERA GUAVA JUICE OR NONIMA JUICE for Decreased Immunity. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have decreased immunity,have decreased immunity,nan,regulated_health_intent_review
374,Which product is good for Tired Eyes?,"Based on Dayjoy recommendations, you may consider EYE ELIXIR DROPS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,tired eyes,tired eyes,nan,regulated_health_intent_review
424,Which product is good for Depression or anxiety?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,depression or anxiety,depression or anxiety,nan,regulated_health_intent_review
432,Which product is good for Weakness when bending the knee?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,weakness when bending knee,weakness when bending knee,nan,regulated_health_intent_review
474,"I have Excessive drowsiness, what should I take?","Dayjoy suggests KIDNEY KAWACH for Excessive drowsiness. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have excessive drowsiness,have excessive drowsiness,nan,regulated_health_intent_review
497,Which product is good for Swelling in legs ankles and feet from retention of fluids?,"Based on Dayjoy recommendations, you may consider KIDNEY KAWACH. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,swelling legs ankles and feet from retention fluids,swelling legs ankles and feet from retention fluids,nan,regulated_health_intent_review
523,"I have Persistent nausea, what should I take?","Dayjoy suggests KIDNEY KAWACH for Persistent nausea. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have persistent nausea,have persistent nausea,nan,regulated_health_intent_review
594,Which product is good for Sleep Daytime tiredness?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,sleep daytime tiredness,sleep daytime tiredness,nan,regulated_health_intent_review
611,"I have Depression or anxiety, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE for Depression or anxiety. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have depression or anxiety,have depression or anxiety,nan,regulated_health_intent_review
665,"I have Stress, what should I take?","Dayjoy suggests ADICARDIAL TABLET for Stress. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have stress,have stress,nan,regulated_health_intent_review
724,Do you have Kidney Kawach (300 g)?,"Yes, Kidney Kawach (300 g) is available. Code: DJP1091",transactional,availability,Kidney Kawach (300 g),DJP1091,DJ-HEA-0092,high,Products Master,,do you have kidney kawach 300 g,do you have kidney kawach 300 g,Kidney Kawach (300 g),regulated_health_intent_review
837,"I have Weakness, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Weakness. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have weakness,have weakness,nan,regulated_health_intent_review
868,Which product is good for Excessive drowsiness?,"Based on Dayjoy recommendations, you may consider KIDNEY KAWACH. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,excessive drowsiness,excessive drowsiness,nan,regulated_health_intent_review
1001,"I have Continuous Fatigue, what should I take?","Dayjoy suggests ADILIV TABLETS for Continuous Fatigue. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have continuous fatigue,have continuous fatigue,nan,regulated_health_intent_review
1088,"I have Reduced amount of urine, what should I take?","Dayjoy suggests KIDNEY KAWACH for Reduced amount of urine. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have reduced amount urine,have reduced amount urine,nan,regulated_health_intent_review
1241,"I have Depression & Anxiety, what should I take?","Dayjoy suggests ADICARDIAL TABLET for Depression & Anxiety. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have depression anxiety,have depression anxiety,nan,regulated_health_intent_review
1250,"I have Pain or pressure in your chest, what should I take?","Dayjoy suggests KIDNEY KAWACH for Pain or pressure in your chest. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have pain or pressure your chest,have pain or pressure your chest,nan,regulated_health_intent_review
1259,Which product is good for Persistent nausea?,"Based on Dayjoy recommendations, you may consider KIDNEY KAWACH. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,persistent nausea,persistent nausea,nan,regulated_health_intent_review
1474,"I have Sleep Daytime tiredness, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE for Sleep Daytime tiredness. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have sleep daytime tiredness,have sleep daytime tiredness,nan,regulated_health_intent_review
1624,"I have Tired Eyes, what should I take?","Dayjoy suggests EYE ELIXIR DROPS for Tired Eyes. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have tired eyes,have tired eyes,nan,regulated_health_intent_review
1693,"I have Unexplained Weight loss, what should I take?","Dayjoy suggests DIBEAT TABLETS for Unexplained Weight loss. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have unexplained weight loss,have unexplained weight loss,nan,regulated_health_intent_review
1746,Which product is good for Continuous Fatigue?,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,continuous fatigue,continuous fatigue,nan,regulated_health_intent_review
1888,Which product is good for Decreased Immunity?,"Based on Dayjoy recommendations, you may consider ALOE VERA GUAVA JUICE OR NONIMA JUICE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,decreased immunity,decreased immunity,nan,regulated_health_intent_review
2004,"I have Burning Urination, what should I take?","Dayjoy suggests KIDNEY KAWACH for Burning Urination. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have burning urination,have burning urination,nan,regulated_health_intent_review
2084,"I have Weakness when bending the knee, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES for Weakness when bending the knee. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have weakness when bending knee,have weakness when bending knee,nan,regulated_health_intent_review
2148,Is Kidney Kawach (300 g) a food product?,It is categorized under HEALTH CARE.,informational,product_category,Kidney Kawach (300 g),DJP1091,DJ-HEA-0092,high,Products Master,,kidney kawach 300 g food,kidney kawach 300 g food,Kidney Kawach (300 g),regulated_health_intent_review
2666,Which product is good for Burning Urination?,"Based on Dayjoy recommendations, you may consider KIDNEY KAWACH. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,burning urination,burning urination,nan,regulated_health_intent_review
2798,Which product is good for High Blood Pressure?,"Based on Dayjoy recommendations, you may consider ADILIPO TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,high blood pressure,high blood pressure,nan,regulated_health_intent_review
2987,Which product is good for Stress?,"Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,stress,stress,nan,regulated_health_intent_review
3276,What is Kidney Kawach (300 g)?,Kidney Kawach (300 g) is a HEALTH CARE product by Dayjoy.,informational,product_info,Kidney Kawach (300 g),DJP1091,DJ-HEA-0092,high,Products Master,,kidney kawach 300 g,kidney kawach 300 g,Kidney Kawach (300 g),regulated_health_intent_review
3572,Tell me about Kidney Kawach (300 g),This is a premium product under Curind.,informational,product_discovery,Kidney Kawach (300 g),DJP1091,DJ-HEA-0092,high,Products Master,,tell about kidney kawach 300 g,tell about kidney kawach 300 g,Kidney Kawach (300 g),regulated_health_intent_review
