catalog86_name,matched_sku,matched_canonical_name,match_confidence,ingredients_filled,benefits_filled,dosage_filled
ASTHPRASH,DJ-HEA-0066,Asthprash (300 grams),1.15,False,False,False
Kidney Kawach,DJ-HEA-0092,Kidney Kawach (300 g),1.15,False,False,False
AdilaForte Tablet,DJ-HEA-0070,Adila Forte (60 Tab),0.952,False,False,False
Orthofix Tablet & Oil,DJ-HEA-0099,Orthofix (60 Tab),manual_verified,False,False,False
Orthofix Tablet & Oil,DJ-HEA-0100,Orthofix Oil (100ml),manual_verified,False,False,False
Hi-Energy Tablet,DJ-HEA-0091,Hi-Energy (60 Tab),1.15,False,False,False
Adilipo Tablet,DJ-HEA-0072,Adilipo (60 Tab),1.15,False,False,False
Di-Beat Tablet,DJ-HEA-0080,Di-beat (60 Tab),1.15,False,False,False
N-Astheal Tablet,DJ-HEA-0098,N-astheal (60 Tab),1.15,False,False,False
Astheal Cough Syrup,DJ-HEA-0075,Astheal Cough Syrup (100ml),1.15,False,False,False
Adiliv Tablet / LivEase Syrup,DJ-HEA-0073,Adiliv (60 Tab),manual_verified,False,False,False
Adiliv Tablet / LivEase Syrup,DJ-HEA-0094,Liv-Ease (500ml),manual_verified,False,False,False
HB+ Syrup,DJ-HEA-0090,HB+ (500ml),1.15,False,False,False
Gas-O-Free Syrup,DJ-HEA-0083,Gas-O-Free (500ml),1.15,False,False,False
Adicardial Tablet & Syrup,DJ-HEA-0067,Adicardial (120 Tab),manual_verified,False,False,False
Adicardial Tablet & Syrup,DJ-HEA-0068,Adicardial Syrup (500ml),manual_verified,False,False,False
Go Piles Tablet & Syrup,DJ-HEA-0084,GoPiles (60 Tab),manual_verified,False,False,False
Go Piles Tablet & Syrup,DJ-HEA-0085,GoPiles Syrup (500ml),manual_verified,False,False,False
Arogya Churn,DJ-HEA-0079,Arogya Churn (100g),1.15,False,False,False
Giloe Extract Capsules,DJ-HEA-0086,Giloe Extract (60 Veg Capsules),1.15,False,False,False
Shatavari Extract Capsules,DJ-HEA-0105,Shatavari Extract (60 Veg Capsules),1.15,False,False,False
Amla Extract Capsules,DJ-HEA-0077,Amla Extract (60 Veg Capsules),1.15,False,False,False
Ashvagandha Extract Capsules,DJ-HEA-0076,Ashvagandha Extract (60 Veg Capsules),1.15,False,False,False
Premium Tulsi Max,DJ-HEA-0107,Premium Tulsi Max (30ml),1.15,False,False,False
Quick 6 Pain Relief Gel,DJ-HEA-0102,Quick 6 Pain Relief Gel (30g),1.15,True,False,False
Super Rich Berries Juice,DJ-HEA-0103,Super Rich Berry Juice (1 Ltr.),1.063,False,False,False
Sea Buckthorn Juice,DJ-HEA-0104,Seabuckthron Juice (1 Ltr.),0.919,False,False,False
Nonima,DJ-HEA-0096,Nonima (500ml),1.15,False,False,False
Aloe Vera Guava Juice,DJ-HEA-0074,Aloevera with Guava Juice (1L),0.87,False,False,False
Super Food Capsule,DJ-HEA-0106,Super Food Capsule,1.15,False,False,False
Omega 3-6-9 Softgel Capsules,DJ-HEA-0101,Omega 3-6-9,0.883,False,False,False
Advanced Calcium Tablets,DJ-HEA-0078,Advanced Calcium Tablets,1.15,False,False,False
Multi Vitamins Tablets,DJ-HEA-0095,Multivitamins Tablets,0.963,False,False,False
JuniorJoy,DJ-HEA-0111,JuniorJoy - Kids Nutritional Drink (300g),manual_verified,True,True,True
Vital Protein,DJ-HEA-0108,Vital Protein Powder (300gm),1.15,False,False,False
Ample Meal,DJ-HEA-0110,Ample Meal - Meal Replacement Nutritional Shake (500g),manual_verified,False,False,False
Golden Elixir Nano Curcumin Drops,DJ-HEA-0081,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),1.15,False,False,False
Eye Elixir Drops & Eye Health++ Capsule,DJ-HEA-0087,Eye Elixir Drops (10ml),manual_verified,False,False,False
Eye Elixir Drops & Eye Health++ Capsule,DJ-HEA-0088,Eye Health++ (60 Capsules),manual_verified,False,False,False
Kahwa Masala Chai,DJ-HEA-0112,Kahwa Masala Chai (25 Pcs),1.15,False,False,False
Apple Cider Vinegar Effervescent Tablets,DJ-HEA-0114,Apple Cider Vinegar (3X20 Tablets),0.895,False,False,False
Marine Collagen,DJ-HEA-0115,Marine Collagen (200g),1.15,False,False,False
Shilajit Gummies,DJ-HEA-0113,Shilajit Gummies (60 Gummies),1.15,False,False,False
Aloe Vera Shampoo,DJ-PER-0042,Regain Aloevera Shampoo (300ml),0.8,False,False,False
Hydra Aloe Vera Body Lotion,DJ-PER-0035,Hydra Aloevera Body Lotion (300ml),1.131,False,False,False
Anti-Pollution Aloe Vera Face Wash,DJ-PER-0028,Anti Pollution Aloevera Face Wash (100ml),1.135,False,False,False
LuxWash Handwash,DJ-PER-0037,Luxwash Handwash (250ml),1.15,True,False,False
Milk Bath Soap,DJ-PER-0040,Milk Bath Soap (Pack of 3) (100g),1.15,False,False,False
Luxury Saffron Soap,DJ-PER-0032,Luxury Saffron Soap (100g),1.15,False,False,False
WildMuse Premium Loofah,DJ-PER-0055,WildMuse Premium Loofah,1.15,True,False,False
Ecofriendly Bamboo Toothbrush,DJ-PER-0033,Ecofriendly Toothbrush (Pack of 2),1.013,False,False,False
Herbosmile Herbal Toothpaste,DJ-PER-0034,HerboSmile Herbal Toothpaste (100g),1.15,False,False,False
Amla Reetha Shikakai Bhringraj Shampoo,DJ-PER-0056,Amla Reetha Sikakai Shampoo (100ml),0.981,False,False,False
