product_code,sku,product_name,gap_field,gap_reason,status
DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),pack_size,null_pack_size,route_to_gap_register
DJP1001,DJ-FOO-0002,Chaat Masala (100g),pack_size,null_pack_size,route_to_gap_register
DJP1002,DJ-FOO-0003,Chicken Masala (100g),pack_size,null_pack_size,route_to_gap_register
DJP1003,DJ-FOO-0004,Daily Tea (250g),pack_size,null_pack_size,route_to_gap_register
DJP1004,DJ-FOO-0005,Daily Tea (500g),pack_size,null_pack_size,route_to_gap_register
DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),pack_size,null_pack_size,route_to_gap_register
DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),pack_size,null_pack_size,route_to_gap_register
DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),pack_size,null_pack_size,route_to_gap_register
DJP1008,DJ-FOO-0009,Garam Masala (100g),pack_size,null_pack_size,route_to_gap_register
DJP1009,DJ-FOO-0010,Haldi Powder (25g),pack_size,null_pack_size,route_to_gap_register
DJP1010,DJ-FOO-0011,Haldi Powder (200g),pack_size,null_pack_size,route_to_gap_register
DJP1011,DJ-FOO-0012,Haldi Powder (500g),pack_size,null_pack_size,route_to_gap_register
DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),pack_size,null_pack_size,route_to_gap_register
DJP1013,DJ-FOO-0014,Jaljeera (100g),pack_size,null_pack_size,route_to_gap_register
DJP1014,DJ-FOO-0015,Organic Jeera (250g),pack_size,null_pack_size,route_to_gap_register
DJP1015,DJ-FOO-0016,Kasuri Methi (50g),pack_size,null_pack_size,route_to_gap_register
DJP1016,DJ-FOO-0017,Mirchi Powder (25g),pack_size,null_pack_size,route_to_gap_register
DJP1017,DJ-FOO-0018,Mirchi Powder (200g),pack_size,null_pack_size,route_to_gap_register
DJP1018,DJ-FOO-0019,Mirchi Powder (500g),pack_size,null_pack_size,route_to_gap_register
DJP1019,DJ-FOO-0020,Rai (250g),pack_size,null_pack_size,route_to_gap_register
DJP1020,DJ-FOO-0021,Sabji Masala (100g),pack_size,null_pack_size,route_to_gap_register
DJP1021,DJ-FOO-0022,New Total Joy Rice Bran Oil (1 Litre),pack_size,null_pack_size,route_to_gap_register
DJP1022,DJ-FOO-0023,Total Joy Rice Bran Oil (2 Litre),pack_size,null_pack_size,route_to_gap_register
DJP1023,DJ-FOO-0024,Veg Biryani with Shahi Gravy,pack_size,null_pack_size,route_to_gap_register
DJP1024,DJ-FOO-0025,Poha with Bhujia,pack_size,null_pack_size,route_to_gap_register
DJP1025,DJ-FOO-0026,Upma with Bhujia,pack_size,null_pack_size,route_to_gap_register
DJP1026,DJ-PER-0027,Anti Pollution Face Wash (150ml),pack_size,null_pack_size,route_to_gap_register
DJP1027,DJ-PER-0028,Anti Pollution Aloevera Face Wash (100ml),pack_size,null_pack_size,route_to_gap_register
DJP1028,DJ-PER-0029,Aloevera Gel (100g),pack_size,null_pack_size,route_to_gap_register
DJP1029,DJ-PER-0030,BR Rich Oil (200ml),pack_size,null_pack_size,route_to_gap_register
DJP1030,DJ-PER-0031,Daily Care Cream (60g),pack_size,null_pack_size,route_to_gap_register
DJP1031,DJ-PER-0032,Luxury Saffron Soap (100g),pack_size,null_pack_size,route_to_gap_register
DJP1032,DJ-PER-0033,Ecofriendly Toothbrush (Pack of 2),pack_size,null_pack_size,route_to_gap_register
DJP1033,DJ-PER-0034,HerboSmile Herbal Toothpaste (100g),pack_size,null_pack_size,route_to_gap_register
DJP1034,DJ-PER-0035,Hydra Aloevera Body Lotion (300ml),pack_size,null_pack_size,route_to_gap_register
DJP1035,DJ-PER-0036,Kesham (100ml),pack_size,null_pack_size,route_to_gap_register
DJP1036,DJ-PER-0037,Luxwash Handwash (250ml),pack_size,null_pack_size,route_to_gap_register
DJP1037,DJ-PER-0038,Milk & Keratin Extracts Shampoo (100ml),pack_size,null_pack_size,route_to_gap_register
DJP1038,DJ-PER-0039,Milk Bath Soap (100g),pack_size,null_pack_size,route_to_gap_register
DJP1039,DJ-PER-0040,Milk Bath Soap (Pack of 3) (100g),pack_size,null_pack_size,route_to_gap_register
DJP1040,DJ-PER-0041,Neem & Tulsi Herbal Soap (100g) (Pack of 3),pack_size,null_pack_size,route_to_gap_register
DJP1041,DJ-PER-0042,Regain Aloevera Shampoo (300ml),pack_size,null_pack_size,route_to_gap_register
DJP1042,DJ-PER-0043,Sandalwood & Shahi Gulab Body Lotion (150ml),pack_size,null_pack_size,route_to_gap_register
DJP1043,DJ-PER-0044,Sanitary Pad (XL) (Pack of 10),pack_size,null_pack_size,route_to_gap_register
