Attribute,Details
Company Name,Dayjoy Marketing Pvt. Ltd.
Tagline,Family Well-being
Parent Group,Adila Group
Founders,Mr. Anmol Agarwal & Mr. Divyansh Agarwal (Founders & Managing Directors)
Founded,2019
Head Office,"Kota, Rajasthan, India"
Sub-Brands,"Asthprash, Curind, Wild Muse, Amara Beauty, Aayushmaan, YumDum, HomeShine, Domatti, HappyGrow, Aqua Essentials, Bio-Germanium"
Manufacturing Scale,"400-acre facility; 100,000+ tablets/day, 20,000L syrup/day, 100,000 capsules/day; South Asia's largest dehydration unit (50,000kg/day); Rajasthan extraction plant (6,000 tons/year)"
Certifications,"ISO, GMP, WHO-GMP, FSSAI, FDA, HALAL, HACCP, AYUSH Ministry Licence, FICCI, Startup India Registered"
Reach,"1,800+ outlets across India and Nepal"
R&D Leadership,"Dr. Ram Pal Somani (Ayurvedic regulatory expert, 35+ yrs); Mr. Yogendra Kumar Choudhary (Pharmacology innovator, IIM Calcutta alumnus, Prothix Lifesciences founder)"
Group Companies,"Adila Biotech, Adila Agro, Orilite Lifespaces, Flywood Impressions, Anganwadi program, Kota Dall Mill, Multimetals (est. 1962), Hermosa Furniture"
Key Awards,"Direct Selling Today Awards 2021 & 2022 (Consumer Brand of the Year, Youthful Channel of the Year), Best Emerging Company, Best Practices, Outstanding Company Training System, IDSA Certificate of Excellence"
