fact_id,category,field_name,value,source_id,source_document,source_page,verification_status,confidence,notes
CK001,leadership,Founder / Managing Director,Mr. Anmol Agarwal,SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A (CSV); OCR page 11,VERIFIED,high,"Cross-verified: named as Founder & Managing Director in dayjoy_company_profile.csv AND signs the promoters' letter on OCR page 11 as 'Managing Director, Dayjoy Marketing Pvt. Ltd.'"
CK002,leadership,Founder / Managing Director,Mr. Divyansh Agarwal,SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A (CSV); OCR page 11-12,VERIFIED,high,"Cross-verified: named as Founder & Managing Director in dayjoy_company_profile.csv, signs promoters' letter on OCR page 11, and named in a press-style feature 'Dayjoy's Visionary Founder Divyansh Agarwal' on OCR page 12 (press content, not an official Dayjoy document — treat that specific article as unverified third-party coverage)."
CK003,leadership,Additional director (third-party reported),Shambhu Kumar Agarwal,SRC-NARRATIVE,company_research_narrative.md,Section 8 (Leadership),UNVERIFIED,low,"Only appears in external third-party company-data listings cited by the research narrative (web:8/web:13), not in any primary Dayjoy document held in this repo. Do not state as confirmed without MCA cross-check."
CK004,leadership,R&D Leadership,"Dr. Ram Pal Somani — Ayurvedic regulatory expert, 35+ years, former Assistant Drugs Controller of Rajasthan, Ministry of AYUSH committee member",SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A (CSV); OCR page 9,VERIFIED,high,Cross-verified between company_profile.csv summary line and the detailed bio on OCR page 9.
CK005,leadership,R&D Leadership,"Mr. Yogendra Kumar Choudhary — Pharmacology innovator, IIM Calcutta alumnus, founder of Prothix Lifesciences",SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A (CSV); OCR page 9,VERIFIED,high,Cross-verified between company_profile.csv summary line and the detailed bio on OCR page 9.
CK006,leadership,Full board composition / equity ownership,NULL,NONE,N/A,N/A,UNVERIFIED,none,"No primary Dayjoy document in the repo lists a full board, shareholding, or ownership structure. company_research_narrative.md explicitly flags this as unknown from public sources. Do not invent."
CK007,history,Legal entity founded / direct-selling launch year,2019 (per dayjoy_company_profile.csv) — direct-selling launch also separately listed as 2019 in dayjoy_company_overview.csv,SRC-COMPPROFILE;SRC-COMPOVERVIEW,dayjoy_company_profile.csv; dayjoy_company_overview.csv,N/A,VERIFIED,medium,Both canonical CSVs agree on 2019 as the year the direct-selling business launched (distinct from legal incorporation year — see CK008 for the incorporation-date conflict).
CK008,history,Incorporation date,CONFLICT: dayjoy_company_overview.csv states 'incorporated 17 Dec 2018'; company_research_narrative.md states 'incorporated on 17 September 2018' (citing external company-data sources). Both agree on year 2018 and on CIN U52600RJ2018PTC062258.,SRC-COMPOVERVIEW;SRC-NARRATIVE,dayjoy_company_overview.csv; company_research_narrative.md,N/A; Section 2 & 6,UNVERIFIED,low,GENUINE CONFLICT — do not silently pick one date. The exact day/month of incorporation differs between two repo sources. Flag for human confirmation against MCA records; only the year (2018) and CIN are consistent across sources.
CK009,history,Registered office / headquarters location,"A-780, Indra Vihar, Kota, Rajasthan - 324005, India",SRC-COMPOVERVIEW;SRC-GROWTHX-OCR;SRC-PAYMENTPOLICY,dayjoy_company_overview.csv; GrowthX_Plan_Presentation_OCR_full_text.txt; N/A,N/A; OCR page 58; N/A,VERIFIED,high,"Cross-verified across the canonical overview CSV and the footer of the GrowthX deck (primary source, page 58: 'A-780 Indra Vihar, Kota, Rajasthan - 324005')."
CK010,history,Group companies,"Adila Biotech, Adila Agro, Orilite Lifespaces, Flywood (Impressions), Anganwadi program, Kota Dall Mill, Multimetals, Hermosa (Design Studio / Furniture)",SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A; OCR page 6,VERIFIED,medium,"Core list cross-verified between company_profile.csv and OCR page 6. Minor naming variance: company_profile.csv says 'Flywood Impressions' / 'Hermosa Furniture', OCR page 6 says 'Flywood' / 'Hérmosa Design Studio' — likely the same entities described differently, not flagged as a hard conflict."
CK011,history,Multimetals founding year,"CONFLICT: dayjoy_company_profile.csv states 'est. 1962'; GrowthX OCR page 6 states 'Founded 1862 (in collaboration with Revere Copper & Brass Inc., USA)'",SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A; OCR page 6,UNVERIFIED,low,GENUINE CONFLICT — one digit transposition (1862 vs 1962) between the two sources. Do not silently pick one; flag for human confirmation.
CK012,history,Key awards,"OCR-verified (primary source, page 15): 'Best Consumer Initiative of the Year 2020' (Direct Selling Today Magazine), 'Startup of the Year 2020' (Winner, Direct Selling Today Magazine), 'Best Emerging' recognition, 'Outstanding Company Training System' recognition",SRC-GROWTHX-OCR,GrowthX_Plan_Presentation_OCR_full_text.txt,OCR page 15,VERIFIED,medium,"These are the specific awards visible on certificate images transcribed in the OCR (primary source). OCR text quality on this page is degraded in places, so award titles are transcribed as legibly extracted."
CK013,history,"Additional awards claim (2021 & 2022, IDSA Certificate of Excellence)","dayjoy_company_profile.csv additionally claims 'Direct Selling Today Awards 2021 & 2022 (Consumer Brand of the Year, Youthful Channel of the Year)' and an 'IDSA Certificate of Excellence'",SRC-COMPPROFILE,dayjoy_company_profile.csv,N/A,UNVERIFIED,low,"These specific 2021/2022 awards and the IDSA certificate are NOT independently visible in the GrowthX OCR (which only shows 2020-dated certificates on page 15). Absence in the OCR doesn't prove they don't exist (OCR quality is degraded and the deck may simply not include them), but they are single-source and unconfirmed. Do not state as verified fact."
CK014,history,Detailed company history / timeline beyond incorporation,NULL,NONE,N/A,N/A,UNVERIFIED,none,"No document in the repo provides a dated corporate history/timeline (funding rounds, expansion milestones, leadership changes). company_research_narrative.md explicitly marks this as a gap requiring client input. Do not invent."
CK015,mission,Mission statement,"""To create values for our customers through products of the highest quality backed by the guarantee of satisfaction while maintaining our uncompromising values & principles as we grow.""",SRC-GROWTHX-OCR;SRC-NARRATIVE,GrowthX_Plan_Presentation_OCR_full_text.txt; company_research_narrative.md,OCR page 16; Section 3,VERIFIED,high,"Exact wording cross-verified between the primary GrowthX deck OCR (page 16, 'MISSION' panel) and the research narrative's quoted mission statement."
CK016,vision,Vision statement,"""We aim to set a new benchmark in direct selling segment along with creating a world of opportunities so that people do not have to compromise with their living standards, and they can live a life of economic independence.""",SRC-GROWTHX-OCR;SRC-NARRATIVE,GrowthX_Plan_Presentation_OCR_full_text.txt; company_research_narrative.md,OCR page 16; Section 4,VERIFIED,high,"Exact wording cross-verified between the primary GrowthX deck OCR (page 16, 'VISION' panel) and the research narrative's quoted vision statement."
CK017,vision,Tagline,Family Well-being,SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,"N/A; appears on nearly every OCR page (e.g. pages 2, 4, 10, 16, 28, 54, 56, 58)",VERIFIED,high,Appears consistently as a tagline under the Dayjoy logo throughout the primary GrowthX deck OCR and in company_profile.csv.
CK018,brands,Sub-brand,Asthprash — Health Care — herbal formulation for lung/respiratory health,SRC-COMPPROFILE;SRC-BRANDSCSV;SRC-SUBBRANDSCSV,dayjoy_company_profile.csv; dayjoy_brands.csv; dayjoy_sub_brands.csv,N/A,VERIFIED,medium,"Brand name cross-verified across dayjoy_company_profile.csv, dayjoy_brands.csv, and dayjoy_sub_brands.csv. Category/description detail only available for Asthprash, Curind, Wild Muse in dayjoy_sub_brands.csv; other brands' category text is inferred from dayjoy_categories.csv associations, not a brand-specific source sentence."
CK019,brands,Sub-brand,"Curind — Health Care — herbal wellness products for respiratory, renal, liver care",SRC-COMPPROFILE;SRC-BRANDSCSV;SRC-SUBBRANDSCSV,dayjoy_company_profile.csv; dayjoy_brands.csv; dayjoy_sub_brands.csv,N/A,VERIFIED,medium,"Brand name cross-verified across dayjoy_company_profile.csv, dayjoy_brands.csv, and dayjoy_sub_brands.csv. Category/description detail only available for Asthprash, Curind, Wild Muse in dayjoy_sub_brands.csv; other brands' category text is inferred from dayjoy_categories.csv associations, not a brand-specific source sentence."
CK020,brands,Sub-brand,Wild Muse — Personal Care — premium personal care products with natural ingredients,SRC-COMPPROFILE;SRC-BRANDSCSV;SRC-SUBBRANDSCSV,dayjoy_company_profile.csv; dayjoy_brands.csv; dayjoy_sub_brands.csv,N/A,VERIFIED,medium,"Brand name cross-verified across dayjoy_company_profile.csv, dayjoy_brands.csv, and dayjoy_sub_brands.csv. Category/description detail only available for Asthprash, Curind, Wild Muse in dayjoy_sub_brands.csv; other brands' category text is inferred from dayjoy_categories.csv associations, not a brand-specific source sentence."
CK021,brands,Sub-brand,Amara Beauty — Beauty / Skin Care,SRC-COMPPROFILE;SRC-BRANDSCSV;SRC-SUBBRANDSCSV,dayjoy_company_profile.csv; dayjoy_brands.csv; dayjoy_sub_brands.csv,N/A,VERIFIED,medium,"Brand name cross-verified across dayjoy_company_profile.csv, dayjoy_brands.csv, and dayjoy_sub_brands.csv. Category/description detail only available for Asthprash, Curind, Wild Muse in dayjoy_sub_brands.csv; other brands' category text is inferred from dayjoy_categories.csv associations, not a brand-specific source sentence."
CK022,brands,Sub-brand,Aayushmaan / YumDum / Total Joy — Food Products,SRC-COMPPROFILE;SRC-BRANDSCSV;SRC-SUBBRANDSCSV,dayjoy_company_profile.csv; dayjoy_brands.csv; dayjoy_sub_brands.csv,N/A,VERIFIED,medium,"Brand name cross-verified across dayjoy_company_profile.csv, dayjoy_brands.csv, and dayjoy_sub_brands.csv. Category/description detail only available for Asthprash, Curind, Wild Muse in dayjoy_sub_brands.csv; other brands' category text is inferred from dayjoy_categories.csv associations, not a brand-specific source sentence."
CK023,brands,Sub-brand,HomeShine — Home Care,SRC-COMPPROFILE;SRC-BRANDSCSV;SRC-SUBBRANDSCSV,dayjoy_company_profile.csv; dayjoy_brands.csv; dayjoy_sub_brands.csv,N/A,VERIFIED,medium,"Brand name cross-verified across dayjoy_company_profile.csv, dayjoy_brands.csv, and dayjoy_sub_brands.csv. Category/description detail only available for Asthprash, Curind, Wild Muse in dayjoy_sub_brands.csv; other brands' category text is inferred from dayjoy_categories.csv associations, not a brand-specific source sentence."
CK024,brands,Sub-brand,Domatti — (category not detailed beyond brand listing),SRC-COMPPROFILE;SRC-BRANDSCSV;SRC-SUBBRANDSCSV,dayjoy_company_profile.csv; dayjoy_brands.csv; dayjoy_sub_brands.csv,N/A,VERIFIED,medium,"Brand name cross-verified across dayjoy_company_profile.csv, dayjoy_brands.csv, and dayjoy_sub_brands.csv. Category/description detail only available for Asthprash, Curind, Wild Muse in dayjoy_sub_brands.csv; other brands' category text is inferred from dayjoy_categories.csv associations, not a brand-specific source sentence."
CK025,brands,Sub-brand,HappyGrow — Agriculture & Veterinary,SRC-COMPPROFILE;SRC-BRANDSCSV;SRC-SUBBRANDSCSV,dayjoy_company_profile.csv; dayjoy_brands.csv; dayjoy_sub_brands.csv,N/A,VERIFIED,medium,"Brand name cross-verified across dayjoy_company_profile.csv, dayjoy_brands.csv, and dayjoy_sub_brands.csv. Category/description detail only available for Asthprash, Curind, Wild Muse in dayjoy_sub_brands.csv; other brands' category text is inferred from dayjoy_categories.csv associations, not a brand-specific source sentence."
CK026,brands,Sub-brand,Aqua Essentials — Aqua Essentials category,SRC-COMPPROFILE;SRC-BRANDSCSV;SRC-SUBBRANDSCSV,dayjoy_company_profile.csv; dayjoy_brands.csv; dayjoy_sub_brands.csv,N/A,VERIFIED,medium,"Brand name cross-verified across dayjoy_company_profile.csv, dayjoy_brands.csv, and dayjoy_sub_brands.csv. Category/description detail only available for Asthprash, Curind, Wild Muse in dayjoy_sub_brands.csv; other brands' category text is inferred from dayjoy_categories.csv associations, not a brand-specific source sentence."
CK027,brands,Sub-brand,Bio-Germanium — Germanium & Magnetic category,SRC-COMPPROFILE;SRC-BRANDSCSV;SRC-SUBBRANDSCSV,dayjoy_company_profile.csv; dayjoy_brands.csv; dayjoy_sub_brands.csv,N/A,VERIFIED,medium,"Brand name cross-verified across dayjoy_company_profile.csv, dayjoy_brands.csv, and dayjoy_sub_brands.csv. Category/description detail only available for Asthprash, Curind, Wild Muse in dayjoy_sub_brands.csv; other brands' category text is inferred from dayjoy_categories.csv associations, not a brand-specific source sentence."
CK028,brands,Product categories (12 total),"FOOD PRODUCTS, PERSONAL CARE, SKIN CARE, COLOR COSMETICS, HEALTH CARE, HOME CARE, CLOTHING, AGRICULTURE & VETERINARY, GERMANIUM & MAGNETIC, AQUA ESSENTIALS, PROMOTION TOOLS, COMBO PACKAGES",SRC-CATEGORIESCSV;SRC-COMPOVERVIEW,dayjoy_categories.csv; dayjoy_company_overview.csv,N/A,VERIFIED,high,Category list and count (12) cross-verified between dayjoy_categories.csv (canonical list) and dayjoy_company_overview.csv 'Product Categories' field.
CK029,manufacturing,Manufacturing parent / venture,"Dayjoy is described as 'An Adila Biotech Venture'; Adila Biotech is credited with Herbal, Ayurvedic Medicine, and Extraction manufacturing",SRC-GROWTHX-OCR;SRC-COMPPROFILE,GrowthX_Plan_Presentation_OCR_full_text.txt; dayjoy_company_profile.csv,"OCR pages 4, 6, 11, 13, 15, 54, 56",VERIFIED,high,'An Adila Biotech Venture' appears repeatedly across the primary OCR source as a subtitle under the Dayjoy logo; Adila Biotech's manufacturing role is separately described on OCR page 6.
CK030,manufacturing,Manufacturing scale (company profile claim),"400-acre facility; 100,000+ tablets/day, 20,000L syrup/day, 100,000 capsules/day; South Asia's largest dehydration unit (50,000kg/day); Rajasthan extraction plant (6,000 tons/year)",SRC-COMPPROFILE,dayjoy_company_profile.csv,N/A,UNVERIFIED,low,"See CK next row — this figure set partially conflicts with the primary GrowthX OCR page 7 figures. Single-sourced to the profile CSV, which does not itself cite a document."
CK031,manufacturing,"Manufacturing scale (GrowthX deck, primary OCR)","Daily output stated as: 100,000 tablets, 10,000 litres of syrup, 30,000 capsules produced every day; extraction plant capacity ~4,000 tons annually; a dehydration unit is referenced but its numeric daily capacity was lost to OCR degradation on this page",SRC-GROWTHX-OCR,GrowthX_Plan_Presentation_OCR_full_text.txt,OCR page 7,UNVERIFIED,low,"GENUINE CONFLICT with CK above: syrup volume (10,000L here vs 20,000L in company_profile.csv), capsules/day (30,000 here vs 100,000 in company_profile.csv), and extraction plant capacity (~4,000 tons/year here vs 6,000 tons/year in company_profile.csv). Tablets/day (100,000) matches. Do not silently pick one figure set — flag for human confirmation. The '400-acre facility' figure could not be independently confirmed in the OCR text (garbled on this page)."
CK032,manufacturing,"Exact facility acreage, addresses of manufacturing sites, precise dehydration-unit capacity",NULL,NONE,N/A,N/A,UNVERIFIED,none,"No primary document in the repo gives a verifiable acreage figure or Dayjoy-owned manufacturing-site street address; the OCR text on the relevant page (7) is degraded and the profile CSV does not cite a source. Do not invent specific numbers. [FIX2]: see new row CK066 — DayjoyMarketingFssaiLicense.pdf does supply real addresses for four THIRD-PARTY contract manufacturer premises used under Dayjoy's FSSAI license, which partially closes this gap for contract-manufacturing addresses, but the 400-acre-facility / dehydration-unit capacity figures from CK030-CK031 remain unconfirmed by any document in this repo."
CK033,certifications,Certification / accreditation claimed,ISO 9001:2015,SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A; OCR page 13,VERIFIED,medium,Directly named on a certificate image transcribed on OCR page 13 ('Certificate of ISO 9001:2015').
CK034,certifications,Certification / accreditation claimed,GMP (Good Manufacturing Practice),SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A; OCR page 13,VERIFIED,medium,Directly named on a certificate image transcribed on OCR page 13 ('Certificate of GMP Appreciation from United Sikhs New Delhi').
CK035,certifications,Certification / accreditation claimed,FICCI (Federation of Indian Chambers of Commerce & Industry) / Federation of Indian Direct Selling Industries,SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A; OCR page 13,VERIFIED,medium,Named on OCR page 13 certificate row ('Federation of Indian Direct Selling Industries ... FICCI Licence').
CK036,certifications,Certification / accreditation claimed,Ayush Ministry Licence,SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A; OCR page 13,VERIFIED,medium,Directly named on OCR page 13 certificate row.
CK037,certifications,Certification / accreditation claimed,Startup India Registration,SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A; OCR page 13,VERIFIED,medium,Directly named on OCR page 13 ('Registration Certificate of Startup India').
CK038,certifications,Certification / accreditation claimed,Food & Drugs Administration (FDA) registration,SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A; OCR page 13,VERIFIED,medium,Directly named on OCR page 13 ('Food & Drugs Administration').
CK039,certifications,Certification / accreditation claimed,"State Registration, Consumer Affairs Department",SRC-COMPPROFILE;SRC-GROWTHX-OCR,dayjoy_company_profile.csv; GrowthX_Plan_Presentation_OCR_full_text.txt,N/A; OCR page 13,VERIFIED,medium,Directly named on OCR page 13 ('State Registration in Consumer Affairs Department').
CK040,certifications,Certification / accreditation claimed,WHO-GMP,SRC-COMPPROFILE,dayjoy_company_profile.csv,N/A,UNVERIFIED,low,Claimed in dayjoy_company_profile.csv but not independently legible/confirmed on the OCR page 13 certificate row (OCR text quality is degraded and may simply have missed it).
CK041,certifications,Certification / accreditation claimed,"FSSAI — License Number 12224999000129, Category: Central License, Kind of Business: Relabeller (Food/Health Supplements & Nutraceuticals; General Manufacturing; Vegetable Oil & Processing Units) and Trade/Retail (Trader/Merchant-Exporter, Retailer, Distributor, Wholesaler, e-Commerce, Importer). Licensee: Dayjoy Marketing Pvt. Ltd, A-780 Indra Vihar Kota, Kota, Rajasthan-324005.",SRC-COMPPROFILE;SRC-FSSAILICENSE,dayjoy_company_profile.csv; DayjoyMarketingFssaiLicense.pdf,N/A; PDF page 1 (Form C),VERIFIED,high,"[FIX2] Upgraded from UNVERIFIED to VERIFIED: DayjoyMarketingFssaiLicense.pdf (00_SOURCE_DOCUMENTS/policies/) is a real 11-page FSSAI 'Form C' license document naming Dayjoy Marketing Pvt. Ltd. as licensee with License Number 12224999000129, Central License category, and the exact kind-of-business scope quoted in value. Directly confirms the FSSAI claim in dayjoy_company_profile.csv."
CK042,certifications,Certification / accreditation claimed,HALAL,SRC-COMPPROFILE,dayjoy_company_profile.csv,N/A,UNVERIFIED,low,Claimed in dayjoy_company_profile.csv but not independently confirmed elsewhere in the repo.
