product_id,chunk_type,chunk_text,tags,source_file,confidence_score
1,product,"Black Salt Sprinkler (200g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 59.0, DP 49.0, BV 10.0. Pack size: 200g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Black Salt Sprinkler (200g)",dayjoy_products_master.csv,0.95
2,product,"Chaat Masala (100g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 75.0, DP 56.0, BV 10.0. Pack size: 100g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Chaat Masala (100g)",dayjoy_products_master.csv,0.95
3,product,"Chicken Masala (100g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 110.0, DP 90.0, BV 15.0. Pack size: 100g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Chicken Masala (100g)",dayjoy_products_master.csv,0.95
4,product,"Daily Tea (250g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 169.0, DP 125.0, BV 20.0. Pack size: 250g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Daily Tea (250g)",dayjoy_products_master.csv,0.95
5,product,"Daily Tea (500g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 329.0, DP 245.0, BV 39.0. Pack size: 500g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Daily Tea (500g)",dayjoy_products_master.csv,0.95
6,product,"Dhaniya Powder (25g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 20.0, DP 15.0, BV 1.0. Pack size: 25g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Dhaniya Powder (25g)",dayjoy_products_master.csv,0.95
7,product,"Dhaniya Powder (200g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 95.0, DP 75.0, BV 14.0. Pack size: 200g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Dhaniya Powder (200g)",dayjoy_products_master.csv,0.95
8,product,"Dhaniya Powder (500g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 210.0, DP 170.0, BV 30.0. Pack size: 500g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Dhaniya Powder (500g)",dayjoy_products_master.csv,0.95
9,product,"Garam Masala (100g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 110.0, DP 99.0, BV 20.0. Pack size: 100g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Garam Masala (100g)",dayjoy_products_master.csv,0.95
10,product,"Haldi Powder (25g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 20.0, DP 15.0, BV 1.0. Pack size: 25g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Haldi Powder (25g)",dayjoy_products_master.csv,0.95
11,product,"Haldi Powder (200g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 135.0, DP 80.0, BV 12.0. Pack size: 200g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Haldi Powder (200g)",dayjoy_products_master.csv,0.95
12,product,"Haldi Powder (500g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 320.0, DP 200.0, BV 28.0. Pack size: 500g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Haldi Powder (500g)",dayjoy_products_master.csv,0.95
13,product,"Himalayan Pink Salt Sprinkler (200g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 75.0, DP 60.0, BV 13.0. Pack size: 200g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Himalayan Pink Salt Sprinkler (200g)",dayjoy_products_master.csv,0.95
14,product,"Jaljeera (100g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 65.0, DP 55.0, BV 15.0. Pack size: 100g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Jaljeera (100g)",dayjoy_products_master.csv,0.95
15,product,"Organic Jeera (250g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 199.0, DP 165.0, BV 33.0. Pack size: 250g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Organic Jeera (250g)",dayjoy_products_master.csv,0.95
16,product,"Kasuri Methi (50g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 59.0, DP 45.0, BV 9.0. Pack size: 50g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Kasuri Methi (50g)",dayjoy_products_master.csv,0.95
17,product,"Mirchi Powder (25g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 20.0, DP 15.0, BV 1.0. Pack size: 25g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Mirchi Powder (25g)",dayjoy_products_master.csv,0.95
18,product,"Mirchi Powder (200g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 145.0, DP 110.0, BV 18.0. Pack size: 200g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Mirchi Powder (200g)",dayjoy_products_master.csv,0.95
19,product,"Mirchi Powder (500g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 335.0, DP 275.0, BV 50.0. Pack size: 500g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Mirchi Powder (500g)",dayjoy_products_master.csv,0.95
20,product,"Rai (250g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 99.0, DP 80.0, BV 13.0. Pack size: 250g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Rai (250g)",dayjoy_products_master.csv,0.95
21,product,"Sabji Masala (100g) is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 110.0, DP 99.0, BV 20.0. Pack size: 100g.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Sabji Masala (100g)",dayjoy_products_master.csv,0.95
22,product,"New Total Joy Rice Bran Oil (1 Litre) is a FOOD PRODUCTS product from Total Joy. Price: MRP 299.0, DP 235.0, BV 24.0. Pack size: 1 Litre.","FOOD PRODUCTS,Total Joy,New Total Joy Rice Bran Oil (1 Litre)",dayjoy_products_master.csv,0.95
23,product,"Total Joy Rice Bran Oil (2 Litre) is a FOOD PRODUCTS product from Total Joy. Price: MRP 599.0, DP 470.0, BV 40.0. Pack size: 2 Litre.","FOOD PRODUCTS,Total Joy,Total Joy Rice Bran Oil (2 Litre)",dayjoy_products_master.csv,0.95
24,product,"Veg Biryani with Shahi Gravy is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 199.0, DP 135.0, BV 17.0. Pack size: nan.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Veg Biryani with Shahi Gravy",dayjoy_products_master.csv,0.95
25,product,"Poha with Bhujia is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 99.0, DP 67.0, BV 9.0. Pack size: nan.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Poha with Bhujia",dayjoy_products_master.csv,0.95
26,product,"Upma with Bhujia is a FOOD PRODUCTS product from Aayushmaan / YumDum / Total Joy. Price: MRP 99.0, DP 71.0, BV 9.0. Pack size: nan.","FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,Upma with Bhujia",dayjoy_products_master.csv,0.95
27,product,"Anti Pollution Face Wash (150ml) is a PERSONAL CARE product from Wild Muse. Price: MRP 249.0, DP 165.0, BV 50.0. Pack size: 150ml.","PERSONAL CARE,Wild Muse,Anti Pollution Face Wash (150ml)",dayjoy_products_master.csv,0.95
28,product,"Anti Pollution Aloevera Face Wash (100ml) is a PERSONAL CARE product from Wild Muse. Price: MRP 135.0, DP 94.0, BV 23.0. Pack size: 100ml.","PERSONAL CARE,Wild Muse,Anti Pollution Aloevera Face Wash (100ml)",dayjoy_products_master.csv,0.95
29,product,"Aloevera Gel (100g) is a PERSONAL CARE product from Wild Muse. Price: MRP 150.0, DP 115.0, BV 36.0. Pack size: 100g.","PERSONAL CARE,Wild Muse,Aloevera Gel (100g)",dayjoy_products_master.csv,0.95
30,product,"BR Rich Oil (200ml) is a PERSONAL CARE product from Wild Muse. Price: MRP 249.0, DP 165.0, BV 44.0. Pack size: 200ml.","PERSONAL CARE,Wild Muse,BR Rich Oil (200ml)",dayjoy_products_master.csv,0.95
31,product,"Daily Care Cream (60g) is a PERSONAL CARE product from Wild Muse. Price: MRP 149.0, DP 95.0, BV 30.0. Pack size: 60g.","PERSONAL CARE,Wild Muse,Daily Care Cream (60g)",dayjoy_products_master.csv,0.95
32,product,"Luxury Saffron Soap (100g) is a PERSONAL CARE product from Wild Muse. Price: MRP 125.0, DP 82.0, BV 20.0. Pack size: 100g.","PERSONAL CARE,Wild Muse,Luxury Saffron Soap (100g)",dayjoy_products_master.csv,0.95
33,product,"Ecofriendly Toothbrush (Pack of 2) is a PERSONAL CARE product from Wild Muse. Price: MRP 149.0, DP 100.0, BV 30.0. Pack size: Pack of 2.","PERSONAL CARE,Wild Muse,Ecofriendly Toothbrush (Pack of 2)",dayjoy_products_master.csv,0.95
34,product,"HerboSmile Herbal Toothpaste (100g) is a PERSONAL CARE product from Wild Muse. Price: MRP 125.0, DP 82.0, BV 20.0. Pack size: 100g.","PERSONAL CARE,Wild Muse,HerboSmile Herbal Toothpaste (100g)",dayjoy_products_master.csv,0.95
