product_code,sku,product_name,safety_class,allowed_direct,allowed_with_disclaimer,not_allowed,source_document_id,source_version,approval_status
DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1001,DJ-FOO-0002,Chaat Masala (100g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1002,DJ-FOO-0003,Chicken Masala (100g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1003,DJ-FOO-0004,Daily Tea (250g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1004,DJ-FOO-0005,Daily Tea (500g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1008,DJ-FOO-0009,Garam Masala (100g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1009,DJ-FOO-0010,Haldi Powder (25g),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1010,DJ-FOO-0011,Haldi Powder (200g),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1011,DJ-FOO-0012,Haldi Powder (500g),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1013,DJ-FOO-0014,Jaljeera (100g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1014,DJ-FOO-0015,Organic Jeera (250g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1015,DJ-FOO-0016,Kasuri Methi (50g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1016,DJ-FOO-0017,Mirchi Powder (25g),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1017,DJ-FOO-0018,Mirchi Powder (200g),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1018,DJ-FOO-0019,Mirchi Powder (500g),regulated_product,,"product overview, general usage summary from approved brochure, compliance statements","diagnosis, cure claims, symptom-based recommendations, disease-specific treatment language",dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
DJP1019,DJ-FOO-0020,Rai (250g),safe_general,"price, category, pack size, availability, distributor basics",,,dayjoy-product-master + India-BV-Price-May-2026,2026-05-05,approved
