sku,product_name,category
DJ-FOO-0005,Daily Tea (500g),FOOD PRODUCTS
DJ-FOO-0006,Dhaniya Powder (25g),FOOD PRODUCTS
DJ-FOO-0007,Dhaniya Powder (200g),FOOD PRODUCTS
DJ-FOO-0010,Haldi Powder (25g),FOOD PRODUCTS
DJ-FOO-0011,Haldi Powder (200g),FOOD PRODUCTS
DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),FOOD PRODUCTS
DJ-FOO-0015,Organic Jeera (250g),FOOD PRODUCTS
DJ-FOO-0017,Mirchi Powder (25g),FOOD PRODUCTS
DJ-FOO-0020,Rai (250g),FOOD PRODUCTS
DJ-FOO-0021,Sabji Masala (100g),FOOD PRODUCTS
DJ-FOO-0022,New Total Joy Rice Bran Oil (1 Litre),FOOD PRODUCTS
DJ-FOO-0024,Veg Biryani with Shahi Gravy,FOOD PRODUCTS
DJ-FOO-0026,Upma with Bhujia,FOOD PRODUCTS
DJ-PER-0027,Anti Pollution Face Wash (150ml),PERSONAL CARE
DJ-PER-0039,Milk Bath Soap (100g),PERSONAL CARE
DJ-PER-0043,Sandalwood & Shahi Gulab Body Lotion (150ml),PERSONAL CARE
DJ-PER-0044,Sanitary Pad (XL) (Pack of 10),PERSONAL CARE
DJ-PER-0053,Deep Cleansing Face Wash (100ml),PERSONAL CARE
DJ-SKI-0059,Gold Facial Kit,SKIN CARE
DJ-HEA-0068,Adicardial Syrup (500ml),HEALTH CARE
DJ-HEA-0069,Adila Forte (30 Tab),HEALTH CARE
DJ-HEA-0071,Adilipo (120 Tab),HEALTH CARE
DJ-HEA-0082,Gas-O-Free (200ml),HEALTH CARE
DJ-HEA-0084,GoPiles (60 Tab),HEALTH CARE
DJ-HEA-0093,Liv-Ease (200ml),HEALTH CARE
DJ-HEA-0097,N-astheal (120 Tab),HEALTH CARE
DJ-HEA-0099,Orthofix (60 Tab),HEALTH CARE
DJ-CLO-0123,"T-shirt New Design (L, M, XL)",CLOTHING
DJ-AGR-0127,Nano Tech-50 (500ml),AGRICULTURE & VETERINARY
DJ-AGR-0128,Nano Tech-52 (500ml),AGRICULTURE & VETERINARY
DJ-AGR-0130,Prosperous+ Tablets,AGRICULTURE & VETERINARY
DJ-AGR-0132,JoySpread 80+ Gold (250ml),AGRICULTURE & VETERINARY
DJ-GER-0137,Bio-Germanium & Magnetic Mattress,GERMANIUM & MAGNETIC
DJ-AQU-0139,Aqua Energiser (Pack of 3),AQUA ESSENTIALS
DJ-AQU-0142,Perfect-Ion Testing Solutions,AQUA ESSENTIALS
DJ-AQU-0143,Perfect-Ion Leaflets (Set of 25),AQUA ESSENTIALS
DJ-AQU-0144,Perfect-Ion Leaflets (Set of 50),AQUA ESSENTIALS
DJ-AQU-0145,N-SF 9.5 Mineraliser,AQUA ESSENTIALS
DJ-AQU-0146,N-SF 10.5 Mineraliser,AQUA ESSENTIALS
DJ-PRO-0147,Dayjoy Diary,PROMOTION TOOLS
DJ-PRO-0148,Dayjoy Leather Bag,PROMOTION TOOLS
DJ-PRO-0149,Dayjoy Cap,PROMOTION TOOLS
DJ-PRO-0150,Dayjoy Mug,PROMOTION TOOLS
DJ-PRO-0151,Dayjoy Bike Sticker,PROMOTION TOOLS
DJ-PRO-0152,Dayjoy Car Sticker,PROMOTION TOOLS
DJ-PRO-0153,Dayjoy Pin,PROMOTION TOOLS
DJ-PRO-0154,Dayjoy Backpack Bag,PROMOTION TOOLS
DJ-PRO-0155,New Dayjoy Product Brochure (Hindi),PROMOTION TOOLS
DJ-PRO-0156,New Dayjoy Product Brochure (English),PROMOTION TOOLS
DJ-PRO-0157,New Dayjoy Product Brochure (Telugu),PROMOTION TOOLS
DJ-PRO-0158,Product Leaflets (Set of 48 Leaflets),PROMOTION TOOLS
DJ-PRO-0159,Hindi One-Page Compensation Plan (Set of 25 Leaflets),PROMOTION TOOLS
DJ-PRO-0160,English One-Page Compensation Plan (Set of 25 Leaflets),PROMOTION TOOLS
DJ-PRO-0161,Hindi One-Page Compensation Plan (Set of 50 Leaflets),PROMOTION TOOLS
DJ-PRO-0162,English One-Page Compensation Plan (Set of 50 Leaflets),PROMOTION TOOLS
DJ-PRO-0163,Dayjoy Business Planner Book (Hindi),PROMOTION TOOLS
DJ-PRO-0164,Dayjoy Business Planner Book (English),PROMOTION TOOLS
DJ-COM-0166,PREMIUM PACKAGE,COMBO PACKAGES
DJ-COM-0167,ELITE PACKAGE,COMBO PACKAGES
DJ-COM-0168,AGRI PRO PACKAGE,COMBO PACKAGES
DJ-COM-0170,LEGEND PACKAGE,COMBO PACKAGES
