image_id,sku,product_name,category,brand,image_path,original_filename,match_confidence,caption,alt_text,seo_title,slug
DJ-AGR-0124.webp,DJ-AGR-0124,Happy Soil - Humic (500ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0124.webp,DJ-AGR-0124.webp,exact_match_verified_2026-08-09,Happy Soil - Humic (500ml),Happy Soil - Humic (500ml),Happy Soil - Humic (500ml),dj-agr-0124-happy-soil-humic-500ml
DJ-AGR-0125.webp,DJ-AGR-0125,Nano Tech-19 (500ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0125.webp,DJ-AGR-0125.webp,exact_match_verified_2026-08-09,Nano Tech-19 (500ml),Nano Tech-19 (500ml),Nano Tech-19 (500ml),dj-agr-0125-nano-tech-19-500ml
DJ-AGR-0126.webp,DJ-AGR-0126,Nano Tech-46 (500ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0126.webp,DJ-AGR-0126.webp,exact_match_verified_2026-08-09,Nano Tech-46 (500ml),Nano Tech-46 (500ml),Nano Tech-46 (500ml),dj-agr-0126-nano-tech-46-500ml
DJ-AGR-0129.webp,DJ-AGR-0129,Prosperous+ (1 L),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0129.webp,DJ-AGR-0129.webp,exact_match_verified_2026-08-09,Prosperous+ (1 L),Prosperous+ (1 L),Prosperous+ (1 L),dj-agr-0129-prosperous-1-l
DJ-AGR-0131.jpg,DJ-AGR-0131,Joy-O-Zyme (500ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0131.jpg,DJ-AGR-0131.jpg,exact_match_verified_2026-08-09,Joy-O-Zyme (500ml),Joy-O-Zyme (500ml),Joy-O-Zyme (500ml),dj-agr-0131-joy-o-zyme-500ml
DJ-AGR-0133.webp,DJ-AGR-0133,JoySpread 80+ Gold (100ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0133.webp,DJ-AGR-0133.webp,exact_match_verified_2026-08-09,JoySpread 80+ Gold (100ml),JoySpread 80+ Gold (100ml),JoySpread 80+ Gold (100ml),dj-agr-0133-joyspread-80-gold-100ml
DJ-AGR-0134.jpeg,DJ-AGR-0134,JoyGrow 2X (Granules) (2kg),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0134.jpeg,DJ-AGR-0134.jpeg,exact_match_verified_2026-08-09,JoyGrow 2X (Granules) (2kg),JoyGrow 2X (Granules) (2kg),JoyGrow 2X (Granules) (2kg),dj-agr-0134-joygrow-2x-granules-2kg
DJ-AGR-0136.jpeg,DJ-AGR-0136,JoyCalcium (2 Litre),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0136.jpeg,DJ-AGR-0136.jpeg,exact_match_verified_2026-08-09,JoyCalcium (2 Litre),JoyCalcium (2 Litre),JoyCalcium (2 Litre),dj-agr-0136-joycalcium-2-litre
DJ-AQU-0140.png,DJ-AQU-0140,Aqua Energiser (Single),AQUA ESSENTIALS,Dayjoy,06_IMAGES/products/DJ-AQU-0140.png,DJ-AQU-0140.png,exact_match_verified_2026-08-09,Aqua Energiser (Single),Aqua Energiser (Single),Aqua Energiser (Single),dj-aqu-0140-aqua-energiser-single
DJ-AQU-0141.jpeg,DJ-AQU-0141,New Perfect-Ion,AQUA ESSENTIALS,Dayjoy,06_IMAGES/products/DJ-AQU-0141.jpeg,DJ-AQU-0141.jpeg,exact_match_verified_2026-08-09,New Perfect-Ion,New Perfect-Ion,New Perfect-Ion,dj-aqu-0141-new-perfect-ion
DJ-CLO-0120.webp,DJ-CLO-0120,Premium Suit Length (Black),CLOTHING,Domatti,06_IMAGES/products/DJ-CLO-0120.webp,DJ-CLO-0120.webp,exact_match_verified_2026-08-09,Premium Suit Length (Black),Premium Suit Length (Black),Premium Suit Length (Black),dj-clo-0120-premium-suit-length-black
DJ-CLO-0121.webp,DJ-CLO-0121,Designer Mask (Pack of 5),CLOTHING,Domatti,06_IMAGES/products/DJ-CLO-0121.webp,DJ-CLO-0121.webp,exact_match_verified_2026-08-09,Designer Mask (Pack of 5),Designer Mask (Pack of 5),Designer Mask (Pack of 5),dj-clo-0121-designer-mask-pack-of-5
DJ-CLO-0122.webp,DJ-CLO-0122,Dayjoy Necktie,CLOTHING,Domatti,06_IMAGES/products/DJ-CLO-0122.webp,DJ-CLO-0122.webp,exact_match_verified_2026-08-09,Dayjoy Necktie,Dayjoy Necktie,Dayjoy Necktie,dj-clo-0122-dayjoy-necktie
DJ-COL-0064.jpeg,DJ-COL-0064,Amara Beauty Kajal,COLOR COSMETICS,Amara Beauty,06_IMAGES/products/DJ-COL-0064.jpeg,DJ-COL-0064.jpeg,exact_match_verified_2026-08-09,Amara Beauty Kajal,Amara Beauty Kajal,Amara Beauty Kajal,dj-col-0064-amara-beauty-kajal
DJ-COL-0065.jpeg,DJ-COL-0065,Amara Beauty Eyeliner,COLOR COSMETICS,Amara Beauty,06_IMAGES/products/DJ-COL-0065.jpeg,DJ-COL-0065.jpeg,exact_match_verified_2026-08-09,Amara Beauty Eyeliner,Amara Beauty Eyeliner,Amara Beauty Eyeliner,dj-col-0065-amara-beauty-eyeliner
DJ-COM-0165.jpeg,DJ-COM-0165,STANDARD PACKAGE,COMBO PACKAGES,Dayjoy,06_IMAGES/products/DJ-COM-0165.jpeg,DJ-COM-0165.jpeg,exact_match_verified_2026-08-09,STANDARD PACKAGE,STANDARD PACKAGE,STANDARD PACKAGE,dj-com-0165-standard-package
DJ-COM-0169.jpeg,DJ-COM-0169,AGRI STARTER PACKAGE,COMBO PACKAGES,Dayjoy,06_IMAGES/products/DJ-COM-0169.jpeg,DJ-COM-0169.jpeg,exact_match_verified_2026-08-09,AGRI STARTER PACKAGE,AGRI STARTER PACKAGE,AGRI STARTER PACKAGE,dj-com-0169-agri-starter-package
DJ-FOO-0001.jpg,DJ-FOO-0001,Black Salt Sprinkler (200g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0001.jpg,DJ-FOO-0001.jpg,exact_match_verified_2026-08-09,Black Salt Sprinkler (200g),Black Salt Sprinkler (200g),Black Salt Sprinkler (200g),dj-foo-0001-black-salt-sprinkler-200g
DJ-FOO-0001_1.jpg,DJ-FOO-0001,Black Salt Sprinkler (200g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0001_1.jpg,DJ-FOO-0001_1.jpg,exact_match_verified_2026-08-09,Black Salt Sprinkler (200g),Black Salt Sprinkler (200g),Black Salt Sprinkler (200g),dj-foo-0001-black-salt-sprinkler-200g
DJ-FOO-0001_3.jpg,DJ-FOO-0001,Black Salt Sprinkler (200g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0001_3.jpg,DJ-FOO-0001_3.jpg,exact_match_verified_2026-08-09,Black Salt Sprinkler (200g),Black Salt Sprinkler (200g),Black Salt Sprinkler (200g),dj-foo-0001-black-salt-sprinkler-200g
DJ-FOO-0002.webp,DJ-FOO-0002,Chaat Masala (100g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0002.webp,DJ-FOO-0002.webp,exact_match_verified_2026-08-09,Chaat Masala (100g),Chaat Masala (100g),Chaat Masala (100g),dj-foo-0002-chaat-masala-100g
DJ-FOO-0003.webp,DJ-FOO-0003,Chicken Masala (100g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0003.webp,DJ-FOO-0003.webp,exact_match_verified_2026-08-09,Chicken Masala (100g),Chicken Masala (100g),Chicken Masala (100g),dj-foo-0003-chicken-masala-100g
DJ-FOO-0004.webp,DJ-FOO-0004,Daily Tea (250g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0004.webp,DJ-FOO-0004.webp,exact_match_verified_2026-08-09,Daily Tea (250g),Daily Tea (250g),Daily Tea (250g),dj-foo-0004-daily-tea-250g
DJ-FOO-0008.webp,DJ-FOO-0008,Dhaniya Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0008.webp,DJ-FOO-0008.webp,exact_match_verified_2026-08-09,Dhaniya Powder (500g),Dhaniya Powder (500g),Dhaniya Powder (500g),dj-foo-0008-dhaniya-powder-500g
DJ-FOO-0008_1.webp,DJ-FOO-0008,Dhaniya Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0008_1.webp,DJ-FOO-0008_1.webp,exact_match_verified_2026-08-09,Dhaniya Powder (500g),Dhaniya Powder (500g),Dhaniya Powder (500g),dj-foo-0008-dhaniya-powder-500g
DJ-FOO-0008_3.webp,DJ-FOO-0008,Dhaniya Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0008_3.webp,DJ-FOO-0008_3.webp,exact_match_verified_2026-08-09,Dhaniya Powder (500g),Dhaniya Powder (500g),Dhaniya Powder (500g),dj-foo-0008-dhaniya-powder-500g
DJ-FOO-0009.webp,DJ-FOO-0009,Garam Masala (100g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0009.webp,DJ-FOO-0009.webp,exact_match_verified_2026-08-09,Garam Masala (100g),Garam Masala (100g),Garam Masala (100g),dj-foo-0009-garam-masala-100g
DJ-FOO-0012.webp,DJ-FOO-0012,Haldi Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0012.webp,DJ-FOO-0012.webp,exact_match_verified_2026-08-09,Haldi Powder (500g),Haldi Powder (500g),Haldi Powder (500g),dj-foo-0012-haldi-powder-500g
DJ-FOO-0012_1.webp,DJ-FOO-0012,Haldi Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0012_1.webp,DJ-FOO-0012_1.webp,exact_match_verified_2026-08-09,Haldi Powder (500g),Haldi Powder (500g),Haldi Powder (500g),dj-foo-0012-haldi-powder-500g
DJ-FOO-0012_2.webp,DJ-FOO-0012,Haldi Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0012_2.webp,DJ-FOO-0012_2.webp,exact_match_verified_2026-08-09,Haldi Powder (500g),Haldi Powder (500g),Haldi Powder (500g),dj-foo-0012-haldi-powder-500g
DJ-FOO-0012_4.webp,DJ-FOO-0012,Haldi Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0012_4.webp,DJ-FOO-0012_4.webp,exact_match_verified_2026-08-09,Haldi Powder (500g),Haldi Powder (500g),Haldi Powder (500g),dj-foo-0012-haldi-powder-500g
DJ-FOO-0012_5.webp,DJ-FOO-0012,Haldi Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0012_5.webp,DJ-FOO-0012_5.webp,exact_match_verified_2026-08-09,Haldi Powder (500g),Haldi Powder (500g),Haldi Powder (500g),dj-foo-0012-haldi-powder-500g
DJ-FOO-0014.webp,DJ-FOO-0014,Jaljeera (100g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0014.webp,DJ-FOO-0014.webp,exact_match_verified_2026-08-09,Jaljeera (100g),Jaljeera (100g),Jaljeera (100g),dj-foo-0014-jaljeera-100g
DJ-FOO-0016.webp,DJ-FOO-0016,Kasuri Methi (50g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0016.webp,DJ-FOO-0016.webp,exact_match_verified_2026-08-09,Kasuri Methi (50g),Kasuri Methi (50g),Kasuri Methi (50g),dj-foo-0016-kasuri-methi-50g
DJ-FOO-0018.webp,DJ-FOO-0018,Mirchi Powder (200g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0018.webp,DJ-FOO-0018.webp,exact_match_verified_2026-08-09,Mirchi Powder (200g),Mirchi Powder (200g),Mirchi Powder (200g),dj-foo-0018-mirchi-powder-200g
DJ-FOO-0019.webp,DJ-FOO-0019,Mirchi Powder (500g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0019.webp,DJ-FOO-0019.webp,exact_match_verified_2026-08-09,Mirchi Powder (500g),Mirchi Powder (500g),Mirchi Powder (500g),dj-foo-0019-mirchi-powder-500g
DJ-FOO-0023.jpeg,DJ-FOO-0023,Total Joy Rice Bran Oil (2 Litre),FOOD PRODUCTS,Total Joy,06_IMAGES/products/DJ-FOO-0023.jpeg,DJ-FOO-0023.jpeg,exact_match_verified_2026-08-09,Total Joy Rice Bran Oil (2 Litre),Total Joy Rice Bran Oil (2 Litre),Total Joy Rice Bran Oil (2 Litre),dj-foo-0023-total-joy-rice-bran-oil-2-litre
DJ-FOO-0025.jpeg,DJ-FOO-0025,Poha with Bhujia,FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0025.jpeg,DJ-FOO-0025.jpeg,exact_match_verified_2026-08-09,Poha with Bhujia,Poha with Bhujia,Poha with Bhujia,dj-foo-0025-poha-with-bhujia
