gap_id,missing_item,why_missing,impact,recommended_action
G-001,"Which value is authoritative for Retail Profit %, Mentorship Bonus %, and Business Matching Incentive structure",Two source documents disagree (old uncited internal CSV vs. OCR-verified GrowthX Plan Presentation) and no Dayjoy compensation team decision has been recorded.,HIGH — blocks any confident AI-generated earnings statement for 3 of the plan's core income streams.,Escalate to Dayjoy compensation/legal team for a written decision; do not auto-resolve or average the two values. Tracked in dayjoy_compensation_conflicts.csv (do not edit that file to resolve it).
G-002,PROVENANCE RESOLVED 2026-08-10 (was: 'Systemic conflict between distributor_system_narrative_UNSTRUCTURED.md (section 5) and the OCR-verified GrowthX Plan Presentation'): distributor_system_narrative_UNSTRUCTURED.md is NOT a second official Dayjoy compensation document. It is an AI-generated web-research artifact.,"Provenance chain traced via 08_GOVERNANCE/source_registry/file_inventory.csv: this file is F00277 (04_Distributor_System.md), extracted from artifacts-1of3.zip > artifacts.zip, NOT from any raw Dayjoy PDF folder. The archived 05_RESEARCH_LOG.md (99_ARCHIVE/superseded/05_RESEARCH_LOG.md) identifies it as the deliverable of 'Mission 4: Distributor System' in a 12-mission AI web-research pipeline (Missions 1-12, each producing one numbered .md), self-graded 'Verified' by the AI itself with no recorded independent human check. Critically, the narrative doc's OWN Section 21.4 ('Uploaded Documents' -- the actual files the research agent had direct access to) lists only 2 architecture .docx files, the GrowthX Plan Presentation PDF, the Product Brochure PDF, and the BV Price List PDF. 'Business_compensation_plan.pdf' -- the document all of Section 5's figures are cited to via [web:68], per the doc's own Section 21.2 source index -- is NOT in that uploaded-documents list. It is only referenced as a website URL the AI apparently cited from a page listing, with no evidence it was ever actually fetched, parsed, or OCR'd. No copy or OCR extract of Business_compensation_plan.pdf exists anywhere in this 267-file repo.","DOWNGRADED from HIGH to INFORMATIONAL for compensation-figure purposes. This is reassuring, not alarming: there is no evidence of a second real, circulating Dayjoy compensation document that conflicts with the OCR-verified GrowthX Plan Presentation. The apparent 'second document' is unverified AI-generated narrative content that cites an unfetched URL. It should not be treated as a source for any compensation figure, and should not be corroborated against or blended with the OCR-verified GrowthX figures. The 3 pre-existing CONFLICT_UNRESOLVED figures in dayjoy_compensation_conflicts.csv (old uncited CSV vs. OCR-verified PDF) remain the only genuine, evidenced compensation conflicts in this repo -- G-002 does not add a 4th.","No further action needed to 'obtain and OCR Business_compensation_plan.pdf' as previously recommended -- there is no confirmed evidence such a document is Dayjoy's actual current compensation plan rather than a URL an AI research pass cited without verifying. If Dayjoy confirms Business_compensation_plan.pdf is a real, current, distinct document, it should be independently obtained and OCR'd before any of its content is trusted. Until then, distributor_system_narrative_UNSTRUCTURED.md and everything sourced only to it remain marked UNVERIFIED / not to be used for earnings calculations or customer-facing statements (unchanged from prior guidance), but framed correctly as 'unverified AI-generated research narrative', not 'a second official company document'."
G-003,Effective/publish date of the GrowthX Plan Presentation (F00003),source_registry.csv leaves the document_date field blank for F00003.,MEDIUM — cannot confirm whether the compensation plan reflected in this repo is the current/live plan or a superseded version.,Request the official publish/effective date of the GrowthX Plan Presentation from Dayjoy and backfill source_registry.csv and this file's effective_date columns.
G-004,Full lesson-level content for Dayjoy-specific advanced/leadership training programs,"distributor_system_narrative_UNSTRUCTURED.md section 20.4 explicitly lists 'leadership training programs', 'certification programs for distributors', 'training completion tracking system', and 'detailed sales training curriculum' as UNKNOWN. The only genuinely sourced training material found anywhere in this repo is a list of PROGRAM NAMES on page 54 of the GrowthX Plan Presentation ('DAYJOY DRIVE'), not their actual instructional content.","MEDIUM-HIGH — training_curriculum.csv can only provide lesson shells (title/objective/tier) for ~14 named Dayjoy programs (e.g. RASCI Certification, Millionaires Mindset Program (LEAP), NLP & Belief System, Behavioral Skills Certification), with content=NULL, rather than full instructional material.",Request the actual DAYJOY DRIVE training slide decks / facilitator guides / certification program materials from the Dayjoy training team.
G-005,"Detailed rank responsibilities/benefits beyond BV thresholds, and Pin achievement criteria for Diamond President, Sapphire VP, and Emerald VP",distributor_system_narrative_UNSTRUCTURED.md section 20.10 lists this as UNKNOWN.,LOW-MEDIUM — affects completeness of rank-related FAQ/training content but does not create an earnings-calculation risk on its own.,Request from Dayjoy compensation/leadership team.
G-006,Minimum payout threshold (Rs 500) and resignation payout exception,Only found in distributor_system_narrative_UNSTRUCTURED.md (citing web:69); not present anywhere in the 58-page OCR of the GrowthX Plan Presentation reviewed for this build.,MEDIUM — affects distributor expectations about when small payouts are released.,"Verify against a live/official Terms & Conditions source, or obtain and OCR the source document referenced as web:69."
G-007,Whether 'PV' (Point Value) and 'BV' (Business Volume) are the same unit in Dayjoy's actual live system,"distributor_system_narrative_UNSTRUCTURED.md uses 'PV' for the Business Matching Incentive mechanic; the OCR-verified GrowthX Plan Presentation uses only 'BV' for the identical mechanic across all 58 pages reviewed, never using 'PV'.","HIGH if unnoticed — an AI or human could wrongly treat the two narrative-doc BV/PV figures (e.g. '5,000 PV : 2,500 PV') as compatible with the OCR-verified BV figures ('15,000:7,500 BV' etc.), producing a blended, unverifiable calculation.","Confirm with Dayjoy whether PV and BV are synonyms, and if not, obtain a clear definition of PV and how it differs from BV."
G-008,"Direct Income (sponsor bonus) figures for the Agri Pro, Agri Starter, and Legend joining packages","The source CSV (dayjoy_compensation_plan.csv, Combo/Joining Packages section) explicitly marks these three packages' Direct Income as 'Not specified', unlike Standard/Premium/Elite whose Direct Income values could be cross-matched against F00003 OCR page 33.",LOW-MEDIUM — affects completeness of new-distributor package-comparison content for Agri/Legend package lines specifically.,Obtain the missing Direct Income figures from Dayjoy pricing/compensation team; do not infer them from the Standard/Premium/Elite pattern.
G-009,A documented example of a product actually reaching the 'UP TO 100%' Retail Profit headline maximum,"The only worked example present anywhere in the OCR text (page 30) demonstrates a 20% margin case (MRP Rs 5,000 / DP Rs 4,000); no product or scenario reaching 100% margin is shown.",LOW-MEDIUM — the '100%' headline claim (itself part of CONF-001) cannot be substantiated with a concrete example if used in customer-facing marketing content.,Request a documented 100%-margin product example from Dayjoy if the '100%' headline figure is to be used in any customer-facing material.
G-010,"Specific accepted KYC document types, exact online registration URL/portal, and approval timeline for new distributors",distributor_system_narrative_UNSTRUCTURED.md section 20.1 lists these as UNKNOWN.,LOW for compensation purposes; MEDIUM relevance for onboarding-stage training content.,Obtain from Dayjoy operations/registration team; needed to complete onboarding-focused training lessons with real detail instead of shells.
