lesson_id,level,title,objective,content,examples,do_not_say,quiz,source_ids,prerequisites,estimated_minutes,learning_outcomes,scenario,practice_task,common_mistakes,compliance_notes,related_lessons,content_provenance
L01,Beginner,Why Direct Selling & Why Dayjoy?,"Help a new distributor articulate, honestly and without income promises, why direct selling and Dayjoy specifically can matter for a family's income and lifestyle.","Dayjoy positions direct selling as a 'parallel source of income' alongside a family's main income (F00003 page 3). The plan frames this around raising quality of life — better housing, education, family time — without stating that any specific extra amount is guaranteed. Dayjoy is a wellness brand under Adila Biotech, focused on wellness, beauty, agriculture, cloth, spices, and home care products (dayjoy_plan_faq_knowledge.csv, topic: company_story). When explaining 'why Dayjoy,' anchor on verifiable facts: Adila Biotech backing, ISO/GMP/WHO-GMP/FSSAI/HALAL/HACCP certifications, and North India manufacturing scale (dayjoy_company_knowledge.csv) — not on projected earnings.","The plan's own slide language: 'A little extra income means no compromises, no tensions, happy family life, freedom and security' (F00003 page 3) — use as a values statement, not an earnings promise.","Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.","Q: What does the compensation plan's own disclaimer (COMM-002) say about using this 'extra income' framing with a prospect? A: Any discussion of extra income must stay general — never attach a Rupee figure or guarantee, because actual income depends entirely on performance and downline size, and is never guaranteed.","F00003 page 3; dayjoy_plan_faq_knowledge.csv (topics: plan_overview, why_direct_selling, company_story); compensation_rules.csv COMM-002",None,15,Distributor can explain the purpose of direct selling and Dayjoy's positioning without citing any income figure.,A prospect asks 'why should I do this instead of just staying at my job?' The distributor must answer using values/opportunity language only.,Role-play a 60-second answer to 'why Dayjoy?' that contains zero Rupee figures.,New distributors often reflexively quote a rank's Lifetime Reward amount from the rank table when asked 'why Dayjoy' — this is not appropriate for a first conversation and risks an income-claim compliance violation.,"Fully DAYJOY_SOURCED and safe to use as written — grounded only in company positioning and certification facts, not compensation figures.","L02,L03,L11",DAYJOY_SOURCED
L02,Beginner,Welcome to Dayjoy — Orientation Program,Give a brand-new distributor the verified company facts they need before their first conversation with a prospect or customer.,"Dayjoy Marketing Pvt. Ltd. is led by Managing Directors Mr. Anmol Agarwal and Mr. Divyansh Agarwal (F00003 page 11; dayjoy_plan_faq_knowledge.csv topic: leadership). Dayjoy is backed by Adila Biotech and the wider Adila corporate network, which also includes Adila Agro (YumDum snacks, Aayushmaan spices), Multimetals, Orilite Lifespaces, Hermosa Design Studio, Flywood, and Kota Dall Mill (F00003 page 6). Manufacturing operates from a large facility in North India with certifications including ISO 9001:2015, GMP, WHO-GMP, FSSAI, Ayush Ministry Licence, and FICCI (F00003 pages 7, 13). Daily production figures are cited inconsistently between sources (F00003 page 7 vs. dayjoy_company_knowledge.csv) — use a qualitative 'large-scale' description rather than a single precise daily-output number until reconciled.","None (this lesson is factual orientation, not a persuasion script).","Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",Q: Who are Dayjoy's Managing Directors? A: Mr. Anmol Agarwal and Mr. Divyansh Agarwal. Q: What corporate group backs Dayjoy? A: Adila Biotech / the Adila corporate network.,"F00003 pages 6,7,11,13; dayjoy_plan_faq_knowledge.csv (topics: leadership, manufacturing, company_story); dayjoy_company_knowledge.csv",None,20,"Distributor can state Dayjoy's leadership, corporate backing, and manufacturing credentials accurately.","A customer asks 'is this a real, established company?' before a first purchase.",Write a 3-sentence company introduction using only facts from this lesson's sourced content.,Rounding manufacturing figures up (e.g. quoting the higher of two conflicting source numbers) or overstating certifications not actually held.,"Fully DAYJOY_SOURCED. Note the minor daily-output figure discrepancy between F00003 page 7 and dayjoy_company_knowledge.csv — flagged, not resolved; use conservative/ranged language.","L01,L03",DAYJOY_SOURCED
L03,Beginner,Basics of Direct Selling Business,"Teach the mechanical basics of how a Dayjoy distributor operates: registration steps, DP vs MRP, and the core retail transaction.","Dayjoy describes four core steps to start the business: Register, Shop, Recommend, Replicate, requiring only a smartphone, internet, and ambition (F00003 page 4; JOIN-008 in compensation_rules.csv). The foundational transaction is retail sales: a distributor buys at Distributor Price (DP) and may resell at Maximum Retail Price (MRP), earning the difference (DEF-002, DEF-003 in compensation_rules.csv). The exact Retail Profit percentage is an unresolved conflict (CONF-001) — do not quote a specific %; instead explain the DP/MRP mechanic itself, which is fully verified.","See compensation_examples.csv EX-001 for the one literal worked example in the source PDF (MRP Rs 5,000 / DP Rs 4,000) — present it only as 'here is one example the company itself printed,' never as a typical or guaranteed outcome.","Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.","Q: What is the difference between DP and MRP? A: DP is what a distributor pays to purchase a product; MRP is the price at which it may be resold to a retail customer; the distributor's retail profit is the gap between the two, but the exact % is not yet a confirmed single figure (see CONF-001).","F00003 page 4; compensation_rules.csv (JOIN-008, DEF-002, DEF-003, CONF-001); compensation_examples.csv EX-001",L01,20,"Distributor can describe the 4-step process and explain DP/MRP correctly, without stating a specific retail-margin percentage as fact.",A prospect asks 'how do I actually make money reselling products?',"Practice explaining DP vs MRP using the EX-001 example, then explicitly state that the overall percentage range is still being confirmed.",Quoting '30%' or '100%' retail profit as a settled fact — both figures exist in the source material but are in unresolved conflict (CONF-001).,Fully DAYJOY_SOURCED; deliberately avoids stating a specific retail-profit % due to CONF-001.,"L01,L06,L07",DAYJOY_SOURCED
L04,Beginner,Why Supplements Are Necessary? — Certification Program,This is a named Dayjoy certification program (per the DAYJOY DRIVE curriculum list) covering the rationale for nutritional supplementation.,NULL,NULL,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",NULL,"F00003 page 54 (program name only, tier: Must Learn for All Distributors)",L02,NULL,NULL,NULL,NULL,NULL,"This is a real, named Dayjoy internal certification program (listed in the 'DAYJOY DRIVE' training framework, page 54 of the GrowthX Plan Presentation) but no lesson-level content, examples, or quiz for it exists anywhere in this repo — only the program title and its tier ('Must Learn for All Distributors'). content=NULL rather than inventing supplement-science claims, which would also risk unapproved medical/health claims. See compensation_gap_report.csv G-004. When real material is obtained from the Dayjoy training team, it must be reviewed against the medical-claims restrictions in dayjoy_canonical_answer_policy.csv before use.","L05,L22",DAYJOY_SOURCED
L05,Beginner,Product Knowledge Fundamentals — Using the Product Master,"Teach distributors how to answer product questions (price, BV, pack size, category, ingredients) accurately using Dayjoy's canonical product data, instead of guessing or memorizing figures that can change.","Every Dayjoy product has a canonical record in 01_CANONICAL/products/dayjoy_product_master_canonical.csv — MRP, DP, BV/PV, pack size, brand, category, benefits, and certifications are all tracked per SKU with a source document and confidence level. Distributors should be trained to look up the current record rather than recall numbers from memory, since prices are versioned (price_effective_date field) and can change between price-list revisions. For symptom-based product guidance, use 01_CANONICAL/products/dayjoy_recommendation_index_by_condition.csv, and escalate anything that reads like diagnosis or a cure claim per dayjoy_canonical_answer_policy.csv.","None (this is a lookup-skill lesson, not a fact list — the underlying product data itself is the reference, not restated here).","Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED. This lesson touches product/health topics directly — an extra reminder: never diagnose a customer's condition, never promise a cure, and always route symptom-specific or contraindication questions to the escalation path defined in 01_CANONICAL/policies/dayjoy_canonical_answer_policy.csv (diagnosis/cure claims/contraindication advice = 'not allowed without escalation').","Q: A customer asks the exact price and BV of a product. Where should you check before answering, and why? A: dayjoy_product_master_canonical.csv, because prices are versioned and the master file reflects the current effective price list rather than what you might remember.",01_CANONICAL/products/dayjoy_product_master_canonical.csv; 01_CANONICAL/products/dayjoy_recommendation_index_by_condition.csv; 01_CANONICAL/policies/dayjoy_canonical_answer_policy.csv,L03,25,Distributor can locate a product's current price/BV/benefits in the product master and knows when a question must be escalated instead of answered directly.,A customer asks whether a specific Dayjoy product will help with their diabetes.,"Look up any 3 products in the product master and practice stating their price, BV, and one documented benefit without adding unverified health claims.",Quoting a price/BV from memory instead of the current product master; answering a diagnosis-style question ('will this cure my...') instead of escalating per policy.,"DAYJOY_SOURCED — this lesson deliberately does not restate specific product prices/benefits here; it points to the canonical product files as required by the training-build instructions, so the lesson never goes stale.","L04,L06",DAYJOY_SOURCED
L06,Beginner,Importance of Retail in Direct Selling Business,"Explain why retail sales are described as the 'foundation' of the Dayjoy compensation plan, and how to talk about retail profit compliantly.","The GrowthX Plan Presentation states retail sales are the foundation of the compensation plan (F00003 page 30). The mechanic is DP-to-MRP resale (see L03). The specific retail-profit percentage remains an unresolved conflict (CONF-001: one source says up to 30-50%, the PDF headline says up to 100% with only a 20% example shown) — this lesson trains distributors to sell the *concept* of retail profit confidently while never quoting a specific percentage as guaranteed.",See compensation_examples.csv EX-001.,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",Q: Can you tell a prospect 'you'll typically make 30% profit on retail sales'? A: No — that specific figure is one side of an unresolved internal conflict (CONF-001) and must not be stated as fact.,F00003 page 30; compensation_rules.csv CONF-001; compensation_examples.csv EX-001,L03,15,Distributor can explain why retail is emphasized as foundational without quoting a disputed percentage.,A distributor is asked in a group meeting 'what percentage do we make on retail?',Draft a compliant one-line answer to 'what percentage do we make on retail?' that doesn't state a specific number.,"Repeating whichever retail-profit number was heard informally from an upline, without knowing it is disputed.",Fully DAYJOY_SOURCED and directly reinforces CONF-001 handling.,"L03,L07",DAYJOY_SOURCED
L07,Intermediate,Basic Business Plan Understanding,"Give distributors a correct, source-grounded mental model of the rank ladder and qualification requirements — without teaching them to calculate specific earnings.","Dayjoy's compensation plan is organized around 17 sequential Lifetime Reward Clubs, from Star Executive (Club 1) through Universal Ambassador (Club 17); rank is defined by the highest club achieved (compensation_rules.csv PROMO-001, PROMO-002, and the 17 RANK-* rows). Qualification depends on: two directly-introduced active distributors (QUAL-002), a monthly self-purchase requirement that scales by rank tier (ELIG-001 to ELIG-004), and the first BV-matching incentive being counted at a 1:2 or 2:1 ratio (QUAL-003). This lesson intentionally does NOT teach distributors to calculate a projected income — it teaches the qualification *structure* only, and explicitly flags that 3 core rate/structure fields (retail profit %, mentorship %, business-matching structure) remain unresolved conflicts that must never be used in a calculation (CONF-001/002/003).",None (deliberately no earnings walkthrough in this lesson — see L13 for the compliant framing of business-plan calculation).,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.","Q: What two things does compensation_rules.csv say are required before a distributor can even qualify for Business Plan Payout? A: Two directly-introduced active distributors (QUAL-002) and ID activation at the correct BV level (JOIN-002/QUAL-001), plus ongoing monthly self-purchase per rank (QUAL-004).","compensation_rules.csv (PROMO-001, PROMO-002, QUAL-001 through QUAL-004, ELIG-001 through ELIG-004, and all RANK-* rows)","L03,L06",30,"Distributor can describe the rank ladder and qualification requirements by referencing the rule IDs, without attempting to compute a personal income projection.",A distributor tries to explain 'how the plan works' to a new recruit using a whiteboard.,Draw the 17-club ladder from compensation_rules.csv RANK-001 to RANK-017 (club names and BV-matching targets only — no income figures) and present it verbally.,"Jumping straight to 'if you get X people, you'll earn Y rupees' — this conflates unresolved rate conflicts with confirmed rank thresholds.","DAYJOY_SOURCED. Content deliberately references compensation_rules.csv rule IDs rather than restating raw Rupee figures in this lesson body, per the training-build instruction to avoid content going stale or drifting from the canonical numbers.","L06,L13,L14",DAYJOY_SOURCED
L08,Intermediate,How to Conduct a Meeting/Event & Its Process,"This is a named Dayjoy program (per the DAYJOY DRIVE curriculum list) covering how to run a home meeting, business presentation, or event.",NULL,NULL,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",NULL,"F00003 page 54 (program name only, tier: Must Learn for All Distributors)",L07,NULL,NULL,NULL,NULL,NULL,"Named Dayjoy program from page 54 of the GrowthX Plan Presentation; no lesson-level script, agenda template, or facilitation content exists anywhere in this repo. content=NULL. See compensation_gap_report.csv G-004. In the interim, see the GENERIC_METHODOLOGY lesson G-005 (Sales Process) for a non-Dayjoy-specific fallback that the Dayjoy training team must review before use.","G-005,L09",DAYJOY_SOURCED
L09,Intermediate,Essential Selling Skills for Direct Selling Business — Certification Program,This is a named Dayjoy certification program (per the DAYJOY DRIVE curriculum list) covering core selling skills specific to the direct-selling context.,NULL,NULL,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",NULL,"F00003 page 54 (program name only, tier: Must Learn for All Distributors)",L08,NULL,NULL,NULL,NULL,NULL,Named Dayjoy certification program; no lesson-level content exists in this repo. content=NULL. See compensation_gap_report.csv G-004. Interim fallback: GENERIC_METHODOLOGY lessons G-002 through G-005 cover prospecting/follow-up/objections/sales-process generically and must be reviewed by the Dayjoy training team before use as a substitute.,"G-002,G-003,G-004,G-005",DAYJOY_SOURCED
L10,Intermediate,Business Building Through Social Media — Do's & Don'ts,"Teach distributors the compliance boundaries for promoting Dayjoy on social media, based on confirmed policy rules.","Dayjoy's Terms & Conditions-derived rules prohibit listing, marketing, advertising, promoting, discussing, or selling products or the business opportunity on any website, online portal, mobile app, or online forum without prior company approval (distributor_system_narrative_UNSTRUCTURED.md section 6.2/6.5, sourced to web:69 — UNVERIFIED in this repo, i.e. not independently OCR-confirmed, but a real official-site-sourced policy). Distributors must also use only company-approved literature and training materials (same source), and must never misrepresent actual or potential sales/earnings online. A full Social Media Policy document exists (F00038, Social_Media_Policy_Dayjoy.pdf) but has not yet been OCR-extracted into this repo, so its specific rules beyond the general prohibitions above are not available here.",None.,"Do not state or imply any guaranteed, average, minimum, or typical income figure for any Dayjoy rank, activity, or team size (compensation_rules.csv row COMM-002: income is not guaranteed, and rows CONF-001/CONF-002/CONF-003 are unresolved conflicts — never state a specific Retail Profit %, Mentorship Incentive %, or Business Matching Incentive structure as confirmed fact). Do not make medical claims — no promises to cure, treat, prevent, or diagnose any disease or condition for any Dayjoy product beyond what is written on the approved product label/leaflet. Do not promise a specific rank-achievement timeline. Do not disparage competitor direct-selling companies. Do not claim regulatory/medical endorsement beyond Dayjoy's documented certifications (ISO, GMP, WHO-GMP, FSSAI, HALAL, HACCP). Do not present any figure from distributor_system_narrative_UNSTRUCTURED.md's compensation section as confirmed fact — it is UNVERIFIED.",Q: Can a distributor post 'I made Rs X this month with Dayjoy' on Instagram? A: No — this violates both the income-claim prohibition and (if promoting the business opportunity online without prior approval) the online-promotion approval requirement.,"distributor_system_narrative_UNSTRUCTURED.md section 6 (citing web:69); F00038 (Social_Media_Policy_Dayjoy.pdf, not yet OCR-extracted — see compliance_notes)",L11,20,Distributor can identify at least 2 specific social-media actions that require prior company approval or are prohibited outright.,A distributor wants to run a Dayjoy business page on Facebook and post product testimonials.,"List 3 things this distributor should NOT post without approval, based on this lesson.",Assuming personal social media use for business promotion doesn't need approval because 'everyone does it.',"The general prohibitions cited here are UNVERIFIED in this repo (sourced only via the narrative document's website citation, not independently OCR-confirmed) even though they reference an official-sounding policy. The actual Social Media Policy document (F00038) exists in 01_CANONICAL/policies/ as a PDF but has not been OCR-extracted/structured in this repo — before this lesson is used in a live training deployment, F00038 should be OCR-extracted and this lesson's content cross-checked against it.","L11,G-005",DAYJOY_SOURCED
