product_code,sku,product_name,brand,category,subcategory,pack_size,pack_size_confidence,mrp,distributor_price,bv,pv,pricing_confidence,source_document_id,source_version,approval_status,effective_from,effective_to,missing_fields_count,risk_level
DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),,,,200g,verified_from_name_or_source,59.0,49.0,10.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1001,DJ-FOO-0002,Chaat Masala (100g),,,,100g,verified_from_name_or_source,75.0,56.0,10.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1002,DJ-FOO-0003,Chicken Masala (100g),,,,100g,verified_from_name_or_source,110.0,90.0,15.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1003,DJ-FOO-0004,Daily Tea (250g),,,,250g,verified_from_name_or_source,169.0,125.0,20.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1004,DJ-FOO-0005,Daily Tea (500g),,,,500g,verified_from_name_or_source,329.0,245.0,39.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),,,,25g,verified_from_name_or_source,20.0,15.0,1.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),,,,200g,verified_from_name_or_source,95.0,75.0,14.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),,,,500g,verified_from_name_or_source,210.0,170.0,30.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1008,DJ-FOO-0009,Garam Masala (100g),,,,100g,verified_from_name_or_source,110.0,99.0,20.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1009,DJ-FOO-0010,Haldi Powder (25g),,,,25g,verified_from_name_or_source,20.0,15.0,1.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1010,DJ-FOO-0011,Haldi Powder (200g),,,,200g,verified_from_name_or_source,135.0,80.0,12.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1011,DJ-FOO-0012,Haldi Powder (500g),,,,500g,verified_from_name_or_source,320.0,200.0,28.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),,,,200g,verified_from_name_or_source,75.0,60.0,13.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1013,DJ-FOO-0014,Jaljeera (100g),,,,100g,verified_from_name_or_source,65.0,55.0,15.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1014,DJ-FOO-0015,Organic Jeera (250g),,,,250g,verified_from_name_or_source,199.0,165.0,33.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1015,DJ-FOO-0016,Kasuri Methi (50g),,,,50g,verified_from_name_or_source,59.0,45.0,9.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
DJP1016,DJ-FOO-0017,Mirchi Powder (25g),,,,25g,verified_from_name_or_source,20.0,15.0,1.0,,verified_price_list,India-BV-Price-May-2026 + approved Dayjoy sources,2026-05-05,approved,2026-05-05,,0,low
