file,category,sub_category,product_name,caption,alt_text,seo_title,description,slug,width,height
Sunscreen.jpg,skin care,sunscreen,AMARA Super Bright Sunscreen SPF 50+,AMARA Super Bright Sunscreen SPF 50+ for sunscreen.,AMARA Super Bright Sunscreen SPF 50+ product image.,AMARA Super Bright Sunscreen SPF 50+ | Dayjoy,AMARA Super Bright Sunscreen SPF 50+ product image for skin care collection.,amara-super-bright-sunscreen-spf-50plus,1080,1172
hydra.jpg,skin care,moisturizer,AMARA Hydra Max Water Gel Moisturizer,AMARA Hydra Max Water Gel Moisturizer for moisturizer.,AMARA Hydra Max Water Gel Moisturizer product image.,AMARA Hydra Max Water Gel Moisturizer | Dayjoy,AMARA Hydra Max Water Gel Moisturizer product image for skin care collection.,amara-hydra-max-water-gel-moisturizer,1080,1172
face-serum.jpg,skin care,serum,AMARA Face Serum,AMARA Face Serum for serum.,AMARA Face Serum product image.,AMARA Face Serum | Dayjoy,AMARA Face Serum product image for skin care collection.,amara-face-serum,1080,1172
Anti_Aging_Night_Cream.jpg,skin care,night cream,AMARA Anti-Aging Night Cream,AMARA Anti-Aging Night Cream for night cream.,AMARA Anti-Aging Night Cream product image.,AMARA Anti-Aging Night Cream | Dayjoy,AMARA Anti-Aging Night Cream product image for skin care collection.,amara-anti-aging-night-cream,1350,1080
AMARA_AcneX.jpg,skin care,cleanser,AMARA AcneX Foaming Cleanser,AMARA AcneX Foaming Cleanser for cleanser.,AMARA AcneX Foaming Cleanser product image.,AMARA AcneX Foaming Cleanser | Dayjoy,AMARA AcneX Foaming Cleanser product image for skin care collection.,amara-acnex-foaming-cleanser,1080,1447
Dishwash.jpg,home care,dishwash,HomeShine Dishwash Liquid Gel,HomeShine Dishwash Liquid Gel for dishwash.,HomeShine Dishwash Liquid Gel product image.,HomeShine Dishwash Liquid Gel | Dayjoy,HomeShine Dishwash Liquid Gel product image for home care collection.,homeshine-dishwash-liquid-gel,1075,1166
liquid-detergent.jpg,home care,detergent,HomeShine Liquid Detergent,HomeShine Liquid Detergent for detergent.,HomeShine Liquid Detergent product image.,HomeShine Liquid Detergent | Dayjoy,HomeShine Liquid Detergent product image for home care collection.,homeshine-liquid-detergent,1075,1166
All-in-1-Surface-Cleaner.jpg,home care,surface cleaner,HomeShine All in 1 Surface Cleaner,HomeShine All in 1 Surface Cleaner for surface cleaner.,HomeShine All in 1 Surface Cleaner product image.,HomeShine All in 1 Surface Cleaner | Dayjoy,HomeShine All in 1 Surface Cleaner product image for home care collection.,homeshine-all-in-1-surface-cleaner,1075,1166
Toilet-Cleaner.jpg,home care,toilet cleaner,HomeShine Toilet Bowl Cleaner,HomeShine Toilet Bowl Cleaner for toilet cleaner.,HomeShine Toilet Bowl Cleaner product image.,HomeShine Toilet Bowl Cleaner | Dayjoy,HomeShine Toilet Bowl Cleaner product image for home care collection.,homeshine-toilet-bowl-cleaner,1075,1166
Magentic-Braslet.jpg,biogermanium and magnetic bracelet,magnetic bracelet,Magnetic Bracelet,Magnetic Bracelet for magnetic bracelet.,Magnetic Bracelet product image.,Magnetic Bracelet | Dayjoy,Magnetic Bracelet product image for biogermanium and magnetic bracelet collection.,magnetic-bracelet,1080,1440
Bio-GermaniumMattress_pack2.jpg,biogermanium and magnetic mattress,bio-germanium mattress,Bio-Germanium Mattress,Bio-Germanium Mattress for bio germanium mattress.,Bio-Germanium Mattress product image.,Bio-Germanium Mattress | Dayjoy,Bio-Germanium Mattress product image for biogermanium and magnetic mattress collection.,bio-germanium-mattress,1080,1172
AmaraBeauty_Eyeliner.jpg,cosmetics,eyeliner,Amara Beauty Eyeliner,Amara Beauty Eyeliner for eyeliner.,Amara Beauty Eyeliner product image.,Amara Beauty Eyeliner | Dayjoy,Amara Beauty Eyeliner product image for cosmetics collection.,amara-beauty-eyeliner,1075,1166
KAJAL.jpg,cosmetics,kajal,Amara Beauty Kajal,Amara Beauty Kajal for kajal.,Amara Beauty Kajal product image.,Amara Beauty Kajal | Dayjoy,Amara Beauty Kajal product image for cosmetics collection.,amara-beauty-kajal,1075,1166
AquaEnergiser-Mockup-1.jpg,aqua essential,aqua energiser,Aqua Energiser,Aqua Energiser for aqua energiser.,Aqua Energiser product image.,Aqua Energiser | Dayjoy,Aqua Energiser product image for aqua essential collection.,aqua-energiser,716,777
Perfect-ion-2.jpg,aqua essential,water purifier/ionizer,Perfect-ion,Perfect-ion for water purifier/ionizer.,Perfect-ion product image.,Perfect-ion | Dayjoy,Perfect-ion product image for aqua essential collection.,perfect-ion,1080,1080
Premiumsuitlengthblack.jpg,cloth,suit length,Domatti Premium Suit Length Black,Domatti Premium Suit Length Black for suit length.,Domatti Premium Suit Length Black product image.,Domatti Premium Suit Length Black | Dayjoy,Domatti Premium Suit Length Black product image for cloth collection.,domatti-premium-suit-length-black,830,926
Mask.jpg,cloth,designer mask,Domatti Designer Masks,Domatti Designer Masks for designer mask.,Domatti Designer Masks product image.,Domatti Designer Masks | Dayjoy,Domatti Designer Masks product image for cloth collection.,domatti-designer-masks,901,901
DayjoyNecktie.jpg,cloth,necktie,Dayjoy Necktie,Dayjoy Necktie for necktie.,Dayjoy Necktie product image.,Dayjoy Necktie | Dayjoy,Dayjoy Necktie product image for cloth collection.,dayjoy-necktie,1075,1166
