intent_id,question,intent_label,example_context,language,notes
1,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
2,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
3,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
4,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
5,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
6,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
7,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
8,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
9,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
10,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
11,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
12,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
13,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
14,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
15,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
16,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
17,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
18,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
19,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
20,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
21,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
22,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
23,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
24,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
25,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
26,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
27,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
28,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
29,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
30,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
31,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
32,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
33,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
34,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
35,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
36,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
37,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
38,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
39,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
40,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
41,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
42,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
43,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
44,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
45,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
46,Can I return this product?,refund_policy,Dayjoy AI intent sample,en,Generated template question
47,How long does delivery take?,shipping_policy,Dayjoy AI intent sample,en,Generated template question
48,Who founded Dayjoy?,leadership,Dayjoy AI intent sample,en,Generated template question
49,Is this FSSAI approved?,certification,Dayjoy AI intent sample,en,Generated template question
50,What is the FAQ for this product?,faq_lookup,Dayjoy AI intent sample,en,Generated template question
51,Which protein is best?,product_recommendation,Dayjoy AI intent sample,en,Generated template question
52,I have diabetes.,health_condition,Dayjoy AI intent sample,en,Generated template question
53,How much BV?,pricing_bv,Dayjoy AI intent sample,en,Generated template question
54,What is the joining fee?,joining_fee,Dayjoy AI intent sample,en,Generated template question
55,Which product is suitable for me?,product_usage,Dayjoy AI intent sample,en,Generated template question
