chunk_id,document_id,source_page,product_code,sku,category,role_scope,risk_level,confidence,effective_from,approval_status,chunk_type
product_core::DJP1000::DJ-FOO-0001,dayjoy-canonical-product-master-final,,DJP1000,DJ-FOO-0001,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1000::DJ-FOO-0001,India-BV-Price-May-2026,,DJP1000,DJ-FOO-0001,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1001::DJ-FOO-0002,dayjoy-canonical-product-master-final,,DJP1001,DJ-FOO-0002,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1001::DJ-FOO-0002,India-BV-Price-May-2026,,DJP1001,DJ-FOO-0002,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1002::DJ-FOO-0003,dayjoy-canonical-product-master-final,,DJP1002,DJ-FOO-0003,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1002::DJ-FOO-0003,India-BV-Price-May-2026,,DJP1002,DJ-FOO-0003,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1003::DJ-FOO-0004,dayjoy-canonical-product-master-final,,DJP1003,DJ-FOO-0004,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1003::DJ-FOO-0004,India-BV-Price-May-2026,,DJP1003,DJ-FOO-0004,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1004::DJ-FOO-0005,dayjoy-canonical-product-master-final,,DJP1004,DJ-FOO-0005,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1004::DJ-FOO-0005,India-BV-Price-May-2026,,DJP1004,DJ-FOO-0005,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1005::DJ-FOO-0006,dayjoy-canonical-product-master-final,,DJP1005,DJ-FOO-0006,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1005::DJ-FOO-0006,India-BV-Price-May-2026,,DJP1005,DJ-FOO-0006,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1006::DJ-FOO-0007,dayjoy-canonical-product-master-final,,DJP1006,DJ-FOO-0007,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1006::DJ-FOO-0007,India-BV-Price-May-2026,,DJP1006,DJ-FOO-0007,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1007::DJ-FOO-0008,dayjoy-canonical-product-master-final,,DJP1007,DJ-FOO-0008,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1007::DJ-FOO-0008,India-BV-Price-May-2026,,DJP1007,DJ-FOO-0008,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1008::DJ-FOO-0009,dayjoy-canonical-product-master-final,,DJP1008,DJ-FOO-0009,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1008::DJ-FOO-0009,India-BV-Price-May-2026,,DJP1008,DJ-FOO-0009,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1009::DJ-FOO-0010,dayjoy-canonical-product-master-final,,DJP1009,DJ-FOO-0010,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1009::DJ-FOO-0010,India-BV-Price-May-2026,,DJP1009,DJ-FOO-0010,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1010::DJ-FOO-0011,dayjoy-canonical-product-master-final,,DJP1010,DJ-FOO-0011,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1010::DJ-FOO-0011,India-BV-Price-May-2026,,DJP1010,DJ-FOO-0011,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1011::DJ-FOO-0012,dayjoy-canonical-product-master-final,,DJP1011,DJ-FOO-0012,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1011::DJ-FOO-0012,India-BV-Price-May-2026,,DJP1011,DJ-FOO-0012,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1012::DJ-FOO-0013,dayjoy-canonical-product-master-final,,DJP1012,DJ-FOO-0013,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1012::DJ-FOO-0013,India-BV-Price-May-2026,,DJP1012,DJ-FOO-0013,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1013::DJ-FOO-0014,dayjoy-canonical-product-master-final,,DJP1013,DJ-FOO-0014,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1013::DJ-FOO-0014,India-BV-Price-May-2026,,DJP1013,DJ-FOO-0014,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1014::DJ-FOO-0015,dayjoy-canonical-product-master-final,,DJP1014,DJ-FOO-0015,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1014::DJ-FOO-0015,India-BV-Price-May-2026,,DJP1014,DJ-FOO-0015,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1015::DJ-FOO-0016,dayjoy-canonical-product-master-final,,DJP1015,DJ-FOO-0016,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1015::DJ-FOO-0016,India-BV-Price-May-2026,,DJP1015,DJ-FOO-0016,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
product_core::DJP1016::DJ-FOO-0017,dayjoy-canonical-product-master-final,,DJP1016,DJ-FOO-0017,,"public, distributor, internal",low,high,2026-05-05,approved,product_core
pricing_row::DJP1016::DJ-FOO-0017,India-BV-Price-May-2026,,DJP1016,DJ-FOO-0017,,"public, distributor, internal",safe_general,high,2026-05-05,approved,pricing_row
