gap_id,entity_type,product_code,sku,product_name,field_name,current_value,required_from_team,owner,priority,source_document,status,deadline
GAP-00001,product,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),ingredients,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00002,product,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),warnings,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00003,product,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),contraindications,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00004,product,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),storage,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00005,product,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),shelf_life,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00006,product,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),dosage,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00007,product,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),target_customer,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00008,product,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),certifications,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00009,product,DJP1001,DJ-FOO-0002,Chaat Masala (100g),ingredients,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00010,product,DJP1001,DJ-FOO-0002,Chaat Masala (100g),warnings,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00011,product,DJP1001,DJ-FOO-0002,Chaat Masala (100g),contraindications,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00012,product,DJP1001,DJ-FOO-0002,Chaat Masala (100g),storage,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00013,product,DJP1001,DJ-FOO-0002,Chaat Masala (100g),shelf_life,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00014,product,DJP1001,DJ-FOO-0002,Chaat Masala (100g),dosage,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00015,product,DJP1001,DJ-FOO-0002,Chaat Masala (100g),target_customer,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00016,product,DJP1001,DJ-FOO-0002,Chaat Masala (100g),certifications,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00017,product,DJP1002,DJ-FOO-0003,Chicken Masala (100g),ingredients,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00018,product,DJP1002,DJ-FOO-0003,Chicken Masala (100g),warnings,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00019,product,DJP1002,DJ-FOO-0003,Chicken Masala (100g),contraindications,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00020,product,DJP1002,DJ-FOO-0003,Chicken Masala (100g),storage,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00021,product,DJP1002,DJ-FOO-0003,Chicken Masala (100g),shelf_life,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00022,product,DJP1002,DJ-FOO-0003,Chicken Masala (100g),dosage,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00023,product,DJP1002,DJ-FOO-0003,Chicken Masala (100g),target_customer,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00024,product,DJP1002,DJ-FOO-0003,Chicken Masala (100g),certifications,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00025,product,DJP1003,DJ-FOO-0004,Daily Tea (250g),ingredients,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00026,product,DJP1003,DJ-FOO-0004,Daily Tea (250g),warnings,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00027,product,DJP1003,DJ-FOO-0004,Daily Tea (250g),contraindications,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P1,Approved brochures,needs_extraction,
GAP-00028,product,DJP1003,DJ-FOO-0004,Daily Tea (250g),storage,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00029,product,DJP1003,DJ-FOO-0004,Daily Tea (250g),shelf_life,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00030,product,DJP1003,DJ-FOO-0004,Daily Tea (250g),dosage,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
GAP-00031,product,DJP1003,DJ-FOO-0004,Daily Tea (250g),target_customer,,Extract from approved brochure / label / regulatory source,Dayjoy QA / Regulatory / Product Content,P2,Approved brochures,needs_extraction,
