Field,Value
Company Name,Dayjoy Marketing Private Limited
Brand Name,Dayjoy
Parent Company,Adila Group
Founded Year,2018 (incorporated 17 Dec 2018)
Direct Selling Launch,2019
Registered Office,"A-780, Indra Vihar, Kota, Rajasthan - 324005, India"
Headquarters,"Kota, Rajasthan, India"
Industry,Direct Selling / Wellness / FMCG / E-commerce
Business Model,Direct Selling (MLM) + E-commerce + Wellness + FMCG + Personal Care + Networking
Company Type,Private Limited Company (Non-government)
Cin,U52600RJ2018PTC062258
Registration Number,62258
Roc,ROC Jaipur
Company Status,Active
Authorized Share Capital,"Rs 100,000.00"
Paid Up Capital,"Rs 100,000.00"
Employee Count,51-200
Presence,"24 states across India; over 1,000 franchise outlets; 4 regional offices (Jharkhand, Odisha, Delhi, Hyderabad)"
Website,https://dayjoy.in
Email,support@dayjoy.in
Phone,+91 74120 34387
Instagram,@dayjoy_india
Nic Code,5260
Nic Description,Retail sale via direct selling/online shopping/door-to-door/telemarketing
