rule_number,rule,source_document,source_page
1,No minimum billing amount requirement — any product amount can be purchased.,Dayjoy GrowthX Plan Presentation_choladeck.pdf,53
2,"Eligibility for Active Distributor status: ID Activation with minimum 2,500 BV.",Dayjoy GrowthX Plan Presentation_choladeck.pdf,53
3,"Eligibility for Lifetime Rewards: ID activated with 5,000 BV or above.",Dayjoy GrowthX Plan Presentation_choladeck.pdf,53
4,To be eligible for Business Plan Payout & Lifetime Rewards: two directly-introduced active distributors required in the team network.,Dayjoy GrowthX Plan Presentation_choladeck.pdf,53
5,First incentive in BV Matching & Lifetime Rewards Plan is considered in a 1:2 or 2:1 ratio.,Dayjoy GrowthX Plan Presentation_choladeck.pdf,53
6,"Business Plan closing is weekly, every Wednesday; weekly payout transferred every Friday (or next banking day if Friday is a holiday).",Dayjoy GrowthX Plan Presentation_choladeck.pdf,53
7,Distributor Rank is calculated based on Lifetime Reward Club achievement.,Dayjoy GrowthX Plan Presentation_choladeck.pdf,53
8,"For Business Plan Payout, Mentorship Income, and Lifetime Rewards: monthly self-purchase as per rank is mandatory.",Dayjoy GrowthX Plan Presentation_choladeck.pdf,53
9,Rewards are non-transferable; reward cash must be used solely for purchase of the reward gift.,Dayjoy GrowthX Plan Presentation_choladeck.pdf,53
10,Income illustrations are for informational purposes only — actual income varies and depends entirely on performance and number of direct sponsored distributors.,Dayjoy GrowthX Plan Presentation_choladeck.pdf,53
