image_id,product_id,sku,filename,source_id,image_url,caption,alt_text,image_type,version,verified,product_name,category,brand,image_path,match_confidence,seo_title,slug
DJ-AGR-0124.webp,124,DJ-AGR-0124,DJ-AGR-0124.webp,06_IMAGES/products/DJ-AGR-0124.webp,,Happy Soil - Humic (500ml),Happy Soil - Humic (500ml),webp,1,True,Happy Soil - Humic (500ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0124.webp,exact_match_verified_2026-08-09,Happy Soil - Humic (500ml),dj-agr-0124-happy-soil-humic-500ml
DJ-AGR-0125.webp,125,DJ-AGR-0125,DJ-AGR-0125.webp,06_IMAGES/products/DJ-AGR-0125.webp,,Nano Tech-19 (500ml),Nano Tech-19 (500ml),webp,1,True,Nano Tech-19 (500ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0125.webp,exact_match_verified_2026-08-09,Nano Tech-19 (500ml),dj-agr-0125-nano-tech-19-500ml
DJ-AGR-0126.webp,126,DJ-AGR-0126,DJ-AGR-0126.webp,06_IMAGES/products/DJ-AGR-0126.webp,,Nano Tech-46 (500ml),Nano Tech-46 (500ml),webp,1,True,Nano Tech-46 (500ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0126.webp,exact_match_verified_2026-08-09,Nano Tech-46 (500ml),dj-agr-0126-nano-tech-46-500ml
DJ-AGR-0129.webp,129,DJ-AGR-0129,DJ-AGR-0129.webp,06_IMAGES/products/DJ-AGR-0129.webp,,Prosperous+ (1 L),Prosperous+ (1 L),webp,1,True,Prosperous+ (1 L),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0129.webp,exact_match_verified_2026-08-09,Prosperous+ (1 L),dj-agr-0129-prosperous-1-l
DJ-AGR-0131.jpg,131,DJ-AGR-0131,DJ-AGR-0131.jpg,06_IMAGES/products/DJ-AGR-0131.jpg,,Joy-O-Zyme (500ml),Joy-O-Zyme (500ml),jpg,1,True,Joy-O-Zyme (500ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0131.jpg,exact_match_verified_2026-08-09,Joy-O-Zyme (500ml),dj-agr-0131-joy-o-zyme-500ml
DJ-AGR-0133.webp,133,DJ-AGR-0133,DJ-AGR-0133.webp,06_IMAGES/products/DJ-AGR-0133.webp,,JoySpread 80+ Gold (100ml),JoySpread 80+ Gold (100ml),webp,1,True,JoySpread 80+ Gold (100ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0133.webp,exact_match_verified_2026-08-09,JoySpread 80+ Gold (100ml),dj-agr-0133-joyspread-80-gold-100ml
DJ-AGR-0134.jpeg,134,DJ-AGR-0134,DJ-AGR-0134.jpeg,06_IMAGES/products/DJ-AGR-0134.jpeg,,JoyGrow 2X (Granules) (2kg),JoyGrow 2X (Granules) (2kg),jpeg,1,True,JoyGrow 2X (Granules) (2kg),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0134.jpeg,exact_match_verified_2026-08-09,JoyGrow 2X (Granules) (2kg),dj-agr-0134-joygrow-2x-granules-2kg
DJ-AGR-0136.jpeg,136,DJ-AGR-0136,DJ-AGR-0136.jpeg,06_IMAGES/products/DJ-AGR-0136.jpeg,,JoyCalcium (2 Litre),JoyCalcium (2 Litre),jpeg,1,True,JoyCalcium (2 Litre),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0136.jpeg,exact_match_verified_2026-08-09,JoyCalcium (2 Litre),dj-agr-0136-joycalcium-2-litre
DJ-AQU-0140.png,140,DJ-AQU-0140,DJ-AQU-0140.png,06_IMAGES/products/DJ-AQU-0140.png,,Aqua Energiser (Single),Aqua Energiser (Single),png,1,True,Aqua Energiser (Single),AQUA ESSENTIALS,Dayjoy,06_IMAGES/products/DJ-AQU-0140.png,exact_match_verified_2026-08-09,Aqua Energiser (Single),dj-aqu-0140-aqua-energiser-single
DJ-AQU-0141.jpeg,141,DJ-AQU-0141,DJ-AQU-0141.jpeg,06_IMAGES/products/DJ-AQU-0141.jpeg,,New Perfect-Ion,New Perfect-Ion,jpeg,1,True,New Perfect-Ion,AQUA ESSENTIALS,Dayjoy,06_IMAGES/products/DJ-AQU-0141.jpeg,exact_match_verified_2026-08-09,New Perfect-Ion,dj-aqu-0141-new-perfect-ion
DJ-CLO-0120.webp,120,DJ-CLO-0120,DJ-CLO-0120.webp,06_IMAGES/products/DJ-CLO-0120.webp,,Premium Suit Length (Black),Premium Suit Length (Black),webp,1,True,Premium Suit Length (Black),CLOTHING,Domatti,06_IMAGES/products/DJ-CLO-0120.webp,exact_match_verified_2026-08-09,Premium Suit Length (Black),dj-clo-0120-premium-suit-length-black
DJ-CLO-0121.webp,121,DJ-CLO-0121,DJ-CLO-0121.webp,06_IMAGES/products/DJ-CLO-0121.webp,,Designer Mask (Pack of 5),Designer Mask (Pack of 5),webp,1,True,Designer Mask (Pack of 5),CLOTHING,Domatti,06_IMAGES/products/DJ-CLO-0121.webp,exact_match_verified_2026-08-09,Designer Mask (Pack of 5),dj-clo-0121-designer-mask-pack-of-5
DJ-CLO-0122.webp,122,DJ-CLO-0122,DJ-CLO-0122.webp,06_IMAGES/products/DJ-CLO-0122.webp,,Dayjoy Necktie,Dayjoy Necktie,webp,1,True,Dayjoy Necktie,CLOTHING,Domatti,06_IMAGES/products/DJ-CLO-0122.webp,exact_match_verified_2026-08-09,Dayjoy Necktie,dj-clo-0122-dayjoy-necktie
DJ-COL-0064.jpeg,64,DJ-COL-0064,DJ-COL-0064.jpeg,06_IMAGES/products/DJ-COL-0064.jpeg,,Amara Beauty Kajal,Amara Beauty Kajal,jpeg,1,True,Amara Beauty Kajal,COLOR COSMETICS,Amara Beauty,06_IMAGES/products/DJ-COL-0064.jpeg,exact_match_verified_2026-08-09,Amara Beauty Kajal,dj-col-0064-amara-beauty-kajal
DJ-COL-0065.jpeg,65,DJ-COL-0065,DJ-COL-0065.jpeg,06_IMAGES/products/DJ-COL-0065.jpeg,,Amara Beauty Eyeliner,Amara Beauty Eyeliner,jpeg,1,True,Amara Beauty Eyeliner,COLOR COSMETICS,Amara Beauty,06_IMAGES/products/DJ-COL-0065.jpeg,exact_match_verified_2026-08-09,Amara Beauty Eyeliner,dj-col-0065-amara-beauty-eyeliner
DJ-COM-0165.jpeg,165,DJ-COM-0165,DJ-COM-0165.jpeg,06_IMAGES/products/DJ-COM-0165.jpeg,,STANDARD PACKAGE,STANDARD PACKAGE,jpeg,1,True,STANDARD PACKAGE,COMBO PACKAGES,Dayjoy,06_IMAGES/products/DJ-COM-0165.jpeg,exact_match_verified_2026-08-09,STANDARD PACKAGE,dj-com-0165-standard-package
DJ-COM-0169.jpeg,169,DJ-COM-0169,DJ-COM-0169.jpeg,06_IMAGES/products/DJ-COM-0169.jpeg,,AGRI STARTER PACKAGE,AGRI STARTER PACKAGE,jpeg,1,True,AGRI STARTER PACKAGE,COMBO PACKAGES,Dayjoy,06_IMAGES/products/DJ-COM-0169.jpeg,exact_match_verified_2026-08-09,AGRI STARTER PACKAGE,dj-com-0169-agri-starter-package
DJ-FOO-0001.jpg,1,DJ-FOO-0001,DJ-FOO-0001.jpg,06_IMAGES/products/DJ-FOO-0001.jpg,,Black Salt Sprinkler (200g),Black Salt Sprinkler (200g),jpg,1,True,Black Salt Sprinkler (200g),FOOD PRODUCTS,Aayushmaan / YumDum / Total Joy,06_IMAGES/products/DJ-FOO-0001.jpg,exact_match_verified_2026-08-09,Black Salt Sprinkler (200g),dj-foo-0001-black-salt-sprinkler-200g
