intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes
1,What is Multivitamins Tablets?,Multivitamins Tablets is a HEALTH CARE product by Dayjoy.,informational,product_info,Multivitamins Tablets,DJP1094,DJ-HEA-0095,high,Products Master,
2,What is Perfect-Ion Testing Solutions?,Perfect-Ion Testing Solutions is a AQUA ESSENTIALS product by Dayjoy.,informational,product_info,Perfect-Ion Testing Solutions,DJP1141,DJ-AQU-0142,high,Products Master,
3,"I have Irregular Heartbeats, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Irregular Heartbeats. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
4,Which product is good for Mental Disorder?,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
5,DP of DJP1158,The Distributor Price (DP) is ₹75.0.,pricing,dp,Hindi One-Page Compensation Plan (Set of 25 Leaflets),DJP1158,DJ-PRO-0159,high,Price List,
6,Is Kasuri Methi (50g) a food product?,It is categorized under FOOD PRODUCTS.,informational,product_category,Kasuri Methi (50g),DJP1015,DJ-FOO-0016,high,Products Master,
7,What awards has Dayjoy won?,"Dayjoy won Startup of the Year (2020), 4th Annual Direct Selling Today Award (2021), and Entrepreneurship Excellence Award (2023).",company,info,,,,high,Dayjoy Brochure,
8,Which product is good for Difficulty in Planning and Carrying out tasks?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
9,How much is in one pack of Haldi Powder (500g)?,The pack size is 500g.,informational,pack_size,Haldi Powder (500g),DJP1011,DJ-FOO-0012,high,Products Master,
10,"I have Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom, what should I take?","Dayjoy suggests GO PILES TABLETS for Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
11,Which product is good for Itchy Skin?,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
12,How do I get a refund?,Refunds for returned products are processed to the original bank account or payment method after inspection.,policy,shipping_refund,,,,high,Shipping/Refund Policy,
13,Which product is good for Increased errors or accidents?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
14,Which product is good for Yellow Skin and Eyes?,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
15,What is Garam Masala (100g)?,Garam Masala (100g) is a FOOD PRODUCTS product by Dayjoy.,informational,product_info,Garam Masala (100g),DJP1008,DJ-FOO-0009,high,Products Master,
16,Which product is good for Pain?,"Based on Dayjoy recommendations, you may consider ASTHPRASH OR N-ASTHEAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
17,How much is in one pack of Sandalwood & Shahi Gulab Body Lotion (150ml)?,The pack size is 150ml.,informational,pack_size,Sandalwood & Shahi Gulab Body Lotion (150ml),DJP1042,DJ-PER-0043,high,Products Master,
18,"I have Fatigue, what should I take?","Dayjoy suggests DIBEAT TABLETS for Fatigue. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
19,Which product is good for Shortness of Breath?,"Based on Dayjoy recommendations, you may consider AMPLE MEAL. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,
20,What is the Loyalty Offer?,Distributors buying Rs. 2500+ from 2nd-15th for 4 months get free products in the 5th month.,business,joining,,,,high,Dayjoy Brochure / Loyalty Program,
21,"I have Constipation, what should I take?","Dayjoy suggests LIVEASE SYRUP OR GAS-O-FREE SYRUP for Constipation. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included
22,Can I sell Dayjoy products part-time?,"Yes, you can set your own work hours and commitment levels, full-time or part-time.",business,joining,,,,high,Dayjoy Brochure / Loyalty Program,
23,Do you have Sanitary Pad (XXL) (Pack of 10)?,"Yes, Sanitary Pad (XXL) (Pack of 10) is available. Code: DJP1044",transactional,availability,Sanitary Pad (XXL) (Pack of 10),DJP1044,DJ-PER-0045,high,Products Master,
