category,existing_count,assessment,recommended_source
product,1715,"Sufficient - comprehensive per-product coverage (ingredients, usage, dosage, storage, shelf life, safety, comparison, benefits, target audience, general info) across all 170 SKUs, sourced from dayjoy_faq_combined_canonical.csv.","01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv (existing, no gap)"
pricing,170,"Sufficient - MRP/DP/BV documented per SKU, sourced from the verified May 2026 price list.","01_CANONICAL/pricing/dayjoy_price_list_may2026.csv (existing, no gap)"
ordering,1,"Thin - 1 real Q&A merged from dayjoy_plan_faq_knowledge.csv (topic 'online_shopping': browse/cart/checkout/payment flow). Additional real narrative detail exists in Dayjoy_Online_Shopping.pdf brochure and PaymentGatewayPolicy_Dayjoy.pdf (payment methods, PayU/Razorpay, order-confirmation rule) but has not been converted into Q&A form. No fabricated questions added.",00_SOURCE_DOCUMENTS/brochures/Dayjoy_Online_Shopping.pdf; 01_CANONICAL/policies/PaymentGatewayPolicy_Dayjoy.pdf - needs manual Q&A extraction by Dayjoy ops/content team
shipping,0,"Gap - zero shipping/delivery-timeline Q&A found anywhere in the repo (FAQ file, policy PDFs, brochures, source documents). No document addresses shipping SLAs, courier partners, or delivery timeframes.",None found in repo - request a Shipping/Logistics policy document from Dayjoy operations team
returns,0,Gap - zero return/refund/exchange Q&A or policy text found in any canonical or source document reviewed.,None found in repo - request a Returns & Refund Policy document from Dayjoy legal/ops team
distributor,4,"Thin but real - 4 Q&A merged from dayjoy_plan_faq_knowledge.csv (plan_overview, why_direct_selling, how_to_start, good_company_check). Distributor conduct rules also exist as narrative (non-Q&A) policy text in Social_Media_Policy_Dayjoy.pdf and Income_Disclaimer_Dayjoy.pdf.","01_CANONICAL/compensation/dayjoy_plan_faq_knowledge.csv (existing, merged) + 01_CANONICAL/policies/Social_Media_Policy_Dayjoy.pdf, Income_Disclaimer_Dayjoy.pdf (narrative, not yet Q&A)"
compensation,4,"Thin but real - 4 Q&A merged from dayjoy_plan_faq_knowledge.csv (Business Matching Incentive, Mentorship Incentive, Reward Clubs, rank table). Deeper detail exists in dayjoy_compensation_plan.csv and dayjoy_plan_ranks_rewards_VERIFIED.csv but is tabular, not Q&A.","01_CANONICAL/compensation/dayjoy_compensation_plan.csv, dayjoy_plan_ranks_rewards_VERIFIED.csv - needs Q&A conversion"
company,3,"Thin but real - 3 Q&A merged from dayjoy_plan_faq_knowledge.csv (company_story, leadership, manufacturing). Rich company facts exist in 01_CANONICAL/company/*.csv but as attribute-value tables, not Q&A.","01_CANONICAL/company/dayjoy_company_knowledge.csv, dayjoy_company_profile.csv - needs Q&A conversion"
training,0,Confirmed pre-existing gap - 01_CANONICAL/training/README.md and 03_AI_DATASETS/voice/README.md explicitly state no training material exists in the source knowledge base yet.,None found - flagged gap in 01_CANONICAL/training/README.md; needs new source material from Dayjoy training team
account,0,Gap - no login/registration/account-management Q&A found in any source document reviewed.,None found in repo - request account/app support documentation from Dayjoy tech team
technical,0,"Gap - no app/website technical-support Q&A found. PaymentGatewayPolicy_Dayjoy.pdf covers payment security narrative only, not troubleshooting.","01_CANONICAL/policies/PaymentGatewayPolicy_Dayjoy.pdf (partial, narrative only) - needs technical FAQ authored by product/engineering team"
support,0,Confirmed pre-existing gap - 01_CANONICAL/support/README.md and 03_AI_DATASETS/support/README.md explicitly state no support/SLA material exists yet.,None found - flagged pre-existing gap; needs contact-channel/SLA documentation from Dayjoy customer care team
