policy_id,topic,policy_text,source_document,source_page
POL-PAY-01,payment_gateways,"Any Distributor/Customer can buy Dayjoy Products through their Registered ID via www.dayjoy.in or the Dayjoy APP using the Online Shopping facility. Dayjoy uses PAYU & RAZORPAY as Payment Gateway Partners, selecting one at a time for transactions.",PaymentGatewayPolicy_Dayjoy.pdf,N/A (PDF has no printed page numbers; single-page policy)
POL-PAY-02,payment_methods,"Payments can be made through: Debit Card, Credit Card, UPI, Net-Banking.",PaymentGatewayPolicy_Dayjoy.pdf,N/A
POL-PAY-03,payment_security,"Payment Gateway security includes Data Encryption (card details encrypted via public key, decrypted only by gateway's private key), Secure Socket Layer (SSL), Secure Electronic Transaction (SET) protocol, and Tokenization (card number replaced by a randomly generated token). Dayjoy does not store any payment credentials such as Credit/Debit Card Numbers, CVV, or Net-banking log-in details.",PaymentGatewayPolicy_Dayjoy.pdf,N/A
POL-PAY-04,order_confirmation,"To successfully place an order, the amount must be recorded in Dayjoy's accounts; until that happens the order is not deemed successfully placed. Dayjoy does not charge any extra transaction charges apart from the actual charges levied by the Payment Gateway Partner.",PaymentGatewayPolicy_Dayjoy.pdf,N/A
POL-PAY-05,payment_issue_escalation,"If a Distributor/Customer faces any issue with a payment made via online shopping, they should immediately inform the Customer Care Team at +91-7733990555 or write to support@dayjoy.in, mentioning the order number. Dayjoy will make best efforts to resolve the complaint at the earliest.",PaymentGatewayPolicy_Dayjoy.pdf,N/A
POL-INC-01,income_not_guaranteed,"Earnings or income statements made by the company or Independent Representatives are estimates only and are not guaranteed. Individual results may vary, and the individual accepts the risk that actual earnings could differ. Examples provided are not to be interpreted as guarantees, promises, representations, or assurances of income levels.",Income_Disclaimer_Dayjoy.pdf,N/A (PDF has no printed page numbers)
POL-INC-02,not_get_rich_quick,"Dayjoy does not present its business as a 'get-rich-quick' scheme. Success depends on individual capacity, business experience, expertise, and level of commitment.",Income_Disclaimer_Dayjoy.pdf,N/A
POL-INC-03,testimonials_not_typical,Testimonials and examples of earnings highlight exceptional outcomes and may not apply to the average participant; they are not intended to guarantee or assure similar results for everyone. Past earnings are not indicative of future results.,Income_Disclaimer_Dayjoy.pdf,N/A
POL-INC-04,distributor_responsibility,"It is the individual's responsibility to perform due diligence before using Dayjoy's information, products, or services. By engaging with Dayjoy, the individual acknowledges Dayjoy is not liable for the success or failure of their business decisions, actions, or results.",Income_Disclaimer_Dayjoy.pdf,N/A
POL-INC-05,what_dayjoy_provides,"Dayjoy states it provides: comprehensive product research & development; professional packaging, marketing, branding, and advertising support; reliable shipment and delivery of products; a compensation plan with incentives; ongoing training and business tools.",Income_Disclaimer_Dayjoy.pdf,N/A
POL-SOC-01,personal_disclaimer_required,"Personal blogs, websites, and social media profiles must carry a clear disclaimer that views expressed are the author's alone and do not represent the Company's views (e.g., 'The opinions and positions expressed are my own and don't necessarily reflect those of Dayjoy Marketing Pvt Ltd.').",Social_Media_Policy_Dayjoy.pdf,N/A (PDF has no printed page numbers)
POL-SOC-02,accurate_representation,"Direct Sellers/Distributors must represent themselves accurately and clearly state their relationship with the Company as Direct Sellers/Distributors. No claims may be made as employee, agent, or otherwise.",Social_Media_Policy_Dayjoy.pdf,N/A
POL-SOC-03,trademark_restriction,"Direct Sellers/Distributors may not use the Company's trademarks or brands in any username or handle on any social media platform, and may not register or use Dayjoy's trade names/trademarks/service names as an internet domain name or email address.",Social_Media_Policy_Dayjoy.pdf,N/A
POL-SOC-04,content_standards,"All online content must use only text found on the Company's official website, must be spell-checked, must avoid misleading or deceptive activity, must respect copyright and cite sources, and must not include abusive language or personal attacks.",Social_Media_Policy_Dayjoy.pdf,N/A
POL-SOC-05,disclosure_requirement,Direct Sellers/Distributors must always disclose their relationship or identify themselves as a Dayjoy Direct Seller/Distributor when commenting about Dayjoy Marketing Pvt Ltd and/or its products. Testimonials provided online must be truthful and subject to typical results.,Social_Media_Policy_Dayjoy.pdf,N/A
POL-SOC-06,paid_advertising_restriction,"For paid internet advertising (e.g., Facebook ads), the Company's logo or trademark may not be used. All links must direct to the Distributor's Personal Website, not the Company's official site.",Social_Media_Policy_Dayjoy.pdf,N/A
POL-GAP-01,shipping_returns_cancellations,NULL,"NONE — 'Shipping/Refund Policy' is cited as source_reference in 03_AI_DATASETS/intents/dayjoy_intents_CANONICAL.csv (rows 12, 26, 54, 114, 122, 139, 188, 222: refunds, returns, cancellations, damaged-product handling, delivery time, return-shipping cost) but no such document exists anywhere in this repository (confirmed by full-repo search for 'shipping'/'refund' filenames and content). Do not quote the specific figures from those intent rows (e.g. 30-day return window, 5% handling charge, 24-hour damage-notification window, 2-7 day delivery) as verified Dayjoy policy — they are unsourced within this repo. Flagged for the Dayjoy team to supply the actual policy document. [FIX2 RE-CHECK]: Dayjoy_Online_Shopping.pdf (full text extracted via pdftotext, 84 lines) was examined and confirmed to be ONLY a step-by-step UI walkthrough for placing an online order (website + user-panel quick-buy flows); it contains zero occurrences of refund/return/cancel/delivery/damage keywords — it is NOT the missing Shipping/Refund Policy document. The two 'Dayjoy AI Ecosystem' docx files (Enterprise Knowledge Repository & Systems Architecture; Master Knowledge Base Generation) were also examined — they DO contain specific shipping/return/refund figures (e.g. 30-day retail cooling-off, 180-day distributor buyback with 10% restocking fee, 24-48hr order processing, 3-7 day delivery, 48hr damage-claim window), but these are assessed as unreliable: their own 'Works cited' sections trace to secondary/tertiary web sources (a Scribd PDF-viewer link, a YouTube video, a third-party 'Strikingly' fan site, a tradeindia.com supplier listing) rather than any primary Dayjoy document, the figures are not corroborated by any primary policy PDF in this repo (PaymentGatewayPolicy_Dayjoy.pdf / Social_Media_Policy_Dayjoy.pdf / Income_Disclaimer_Dayjoy.pdf / Dayjoy_Online_Shopping.pdf all contain zero return/refund/delivery-time content), and source_registry.csv itself already classifies both docx files as tier-4 internal architecture documents, not primary fact sources. Do NOT use those figures as verified Dayjoy policy. Gap remains OPEN.",N/A
