product_id,sku,product_name,brand,category,sub_category,manufacturer,country,pack_size,pack_size_alt_formatting,unit,mrp,dp,bv,pv,currency,price_effective_date,pricing_confidence,ingredients,benefits,features,usage,dosage,warnings,storage,target_customer,related_products,alternative_products,cross_sell_products,frequently_bought_together,certifications,search_keywords,faqs,contraindications,description,faq_ids,image_ids,similar_product_ids,related_product_ids,source_document_id,content_source_document,source_version,approval_status,effective_from,effective_to,content_extraction_status,content_confidence,missing_pricing_governance_fields_count,missing_content_fields_count,pricing_risk_level,content_risk_level,verification_status,confidence,last_verified
DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),Aayushmaan / YumDum / Total Joy,FOOD PRODUCTS,,Adila Biotech / Dayjoy Marketing Pvt. Ltd.,India,200g,200g,,59.0,49.0,10.0,10.0,INR,2026-05-05,verified_price_list,Black Salt,"Mineral-rich, naturally sourced, and free from chemicals and additives. Support digestion, hydration, and overall wellness.",,,Culinary use,,,,,,,,,,,,,,,,,India-BV-Price-May-2026 + approved Dayjoy sources,"Dayjoy Product Brochure - English July2026_11zon_2.pdf + Dayjoy_Products_Catalog.csv (86-item, user-confirmed 2026-08-09) + Dayjoy_Products_Catalog.csv (86-item, user-confirmed 2026-08-09)",2026-05-05,approved,2026-05-05,,Extracted,High,0,4,low,high,approved,verified_price_list | High,2026-05-05
DJP1001,DJ-FOO-0002,Chaat Masala (100g),Aayushmaan / YumDum / Total Joy,FOOD PRODUCTS,,Adila Biotech / Dayjoy Marketing Pvt. Ltd.,India,100g,100g,,75.0,56.0,10.0,10.0,INR,2026-05-05,verified_price_list,,"Crafted from premium, organically sourced spices, free from chemicals and additives. Enhances your dishes with rich aroma.",,,,,,,,,,,,,,,,,,,,India-BV-Price-May-2026 + approved Dayjoy sources,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-05-05,approved,2026-05-05,,Extracted,High,0,4,low,high,approved,verified_price_list | High,2026-05-05
DJP1002,DJ-FOO-0003,Chicken Masala (100g),Aayushmaan / YumDum / Total Joy,FOOD PRODUCTS,,Adila Biotech / Dayjoy Marketing Pvt. Ltd.,India,100g,100g,,110.0,90.0,15.0,15.0,INR,2026-05-05,verified_price_list,,"Crafted from premium, organically sourced spices, free from chemicals and additives. Enhances your dishes with rich aroma.",,,,,,,,,,,,,,,,,,,,India-BV-Price-May-2026 + approved Dayjoy sources,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-05-05,approved,2026-05-05,,Extracted,High,0,4,low,high,approved,verified_price_list | High,2026-05-05
DJP1003,DJ-FOO-0004,Daily Tea (250g),Aayushmaan / YumDum / Total Joy,FOOD PRODUCTS,,Adila Biotech / Dayjoy Marketing Pvt. Ltd.,India,250g,250g,,169.0,125.0,20.0,20.0,INR,2026-05-05,verified_price_list,,Antioxidant-rich tea supports a healthy lifestyle while delivering a natural caffeine boost. Free from additives and preservatives.,,,,,,,,,,,,,,,,,,,,India-BV-Price-May-2026 + approved Dayjoy sources,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-05-05,approved,2026-05-05,,Extracted,High,0,4,low,high,approved,verified_price_list | High,2026-05-05
DJP1004,DJ-FOO-0005,Daily Tea (500g),Aayushmaan / YumDum / Total Joy,FOOD PRODUCTS,,Adila Biotech / Dayjoy Marketing Pvt. Ltd.,India,500g,500g,,329.0,245.0,39.0,39.0,INR,2026-05-05,verified_price_list,,Antioxidant-rich tea supports a healthy lifestyle while delivering a natural caffeine boost. Free from additives and preservatives.,,,,,,,,,,,,,,,,,,,,India-BV-Price-May-2026 + approved Dayjoy sources,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-05-05,approved,2026-05-05,,Extracted,High,0,4,low,high,approved,verified_price_list | High,2026-05-05
DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),Aayushmaan / YumDum / Total Joy,FOOD PRODUCTS,,Adila Biotech / Dayjoy Marketing Pvt. Ltd.,India,25g,25g,,20.0,15.0,1.0,1.0,INR,2026-05-05,verified_price_list,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,,,,,,India-BV-Price-May-2026 + approved Dayjoy sources,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-05-05,approved,2026-05-05,,Extracted,High,0,4,low,high,approved,verified_price_list | High,2026-05-05
DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),Aayushmaan / YumDum / Total Joy,FOOD PRODUCTS,,Adila Biotech / Dayjoy Marketing Pvt. Ltd.,India,200g,200g,,95.0,75.0,14.0,14.0,INR,2026-05-05,verified_price_list,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,,,,,,India-BV-Price-May-2026 + approved Dayjoy sources,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-05-05,approved,2026-05-05,,Extracted,High,0,4,low,high,approved,verified_price_list | High,2026-05-05
DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),Aayushmaan / YumDum / Total Joy,FOOD PRODUCTS,,Adila Biotech / Dayjoy Marketing Pvt. Ltd.,India,500g,500g,,210.0,170.0,30.0,30.0,INR,2026-05-05,verified_price_list,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,,,,,,India-BV-Price-May-2026 + approved Dayjoy sources,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-05-05,approved,2026-05-05,,Extracted,High,0,4,low,high,approved,verified_price_list | High,2026-05-05
DJP1008,DJ-FOO-0009,Garam Masala (100g),Aayushmaan / YumDum / Total Joy,FOOD PRODUCTS,,Adila Biotech / Dayjoy Marketing Pvt. Ltd.,India,100g,100g,,110.0,99.0,20.0,20.0,INR,2026-05-05,verified_price_list,,"Crafted from premium, organically sourced spices, free from chemicals and additives. Enhances your dishes with rich aroma.",,,,,,,,,,,,,,,,,,,,India-BV-Price-May-2026 + approved Dayjoy sources,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-05-05,approved,2026-05-05,,Extracted,High,0,4,low,high,approved,verified_price_list | High,2026-05-05
DJP1009,DJ-FOO-0010,Haldi Powder (25g),Aayushmaan / YumDum / Total Joy,FOOD PRODUCTS,,Adila Biotech / Dayjoy Marketing Pvt. Ltd.,India,25g,25g,,20.0,15.0,1.0,1.0,INR,2026-05-05,verified_price_list,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,,,,,,India-BV-Price-May-2026 + approved Dayjoy sources,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-05-05,approved,2026-05-05,,Extracted,High,0,4,low,high,approved,verified_price_list | High,2026-05-05
DJP1010,DJ-FOO-0011,Haldi Powder (200g),Aayushmaan / YumDum / Total Joy,FOOD PRODUCTS,,Adila Biotech / Dayjoy Marketing Pvt. Ltd.,India,200g,200g,,135.0,80.0,12.0,12.0,INR,2026-05-05,verified_price_list,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,,,,,,India-BV-Price-May-2026 + approved Dayjoy sources,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-05-05,approved,2026-05-05,,Extracted,High,0,4,low,high,approved,verified_price_list | High,2026-05-05
DJP1011,DJ-FOO-0012,Haldi Powder (500g),Aayushmaan / YumDum / Total Joy,FOOD PRODUCTS,,Adila Biotech / Dayjoy Marketing Pvt. Ltd.,India,500g,500g,,320.0,200.0,28.0,28.0,INR,2026-05-05,verified_price_list,,"Add rich color, aroma, and flavor to your dishes while supporting digestion and overall wellness. Free from chemicals and additives.",,,,,,,,,,,,,,,,,,,,India-BV-Price-May-2026 + approved Dayjoy sources,Dayjoy Product Brochure - English July2026_11zon_2.pdf,2026-05-05,approved,2026-05-05,,Extracted,High,0,4,low,high,approved,verified_price_list | High,2026-05-05
DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),Aayushmaan / YumDum / Total Joy,FOOD PRODUCTS,,Adila Biotech / Dayjoy Marketing Pvt. Ltd.,India,200g,200g,,75.0,60.0,13.0,13.0,INR,2026-05-05,verified_price_list,Himalayan Pink Salt,"Mineral-rich, naturally sourced, and free from chemicals and additives. Support digestion, hydration, and overall wellness.",,,Culinary use,,,,,,,,,,,,,,,,,India-BV-Price-May-2026 + approved Dayjoy sources,"Dayjoy Product Brochure - English July2026_11zon_2.pdf + Dayjoy_Products_Catalog.csv (86-item, user-confirmed 2026-08-09)",2026-05-05,approved,2026-05-05,,Extracted,High,0,4,low,high,approved,verified_price_list | High,2026-05-05
