category,tier,benefit,source_page
Preferred Customer Club (Cashback Wallet),"1,000 - 2,499 BV",5% of BV as Cashback Wallet,31
Preferred Customer Club (Cashback Wallet),"2,500 - 4,999 BV",8% of BV as Cashback Wallet,31
Preferred Retailer Club (Cashback Wallet),"5,000 - 9,999 BV",10% of BV as Cashback Wallet,32
Preferred Retailer Club (Cashback Wallet),"10,000 BV & Above",12% of BV as Cashback Wallet,32
Cashback Wallet T&C,all tiers,Valid 6 months from credit date; cannot be used on Aayushmaan/Total Joy/YumDum brand products; calculated weekly Thursday-Wednesday,31-32
Distributor Loyalty Program,"4-month consistency, min Rs 2,500/month self-purchase (2500 BV ID activation required)","Free products worth 4-month average in month 5, capped at Rs 7,500",28
Super Retailer Loyalty Program,"4-month consistency, min Rs 25,000/month self-purchase","Free products worth Rs 25,000 after month 5 billing; repeatable each 4-month cycle",29
Business & Income Eligibility (self-purchase BV),Distributor - Silver Executive,250 BV,52
Business & Income Eligibility (self-purchase BV),Gold Director,500 BV,52
Business & Income Eligibility (self-purchase BV),Ruby Director - Diamond President,1000 BV,52
Business & Income Eligibility (self-purchase BV),Blue Diamond - Dayjoy Ambassador,2000 BV,52
