source_product_no,product_name,category,mrp_inr,dp_inr,bv,pv,pack_size,product_id,sku,ingredients,benefits,usage,dosage,warnings,certifications,product_image_url,source_file,source_page,effective_date,confidence,data_status
1,Black Salt Sprinkler 200g,Food Products,59,49,10,10.0,200g,DJP1000,DJ-FOO-0001,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
2,Chaat Masala 100g,Food Products,75,56,10,10.0,100g,DJP1001,DJ-FOO-0002,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
3,Chicken Masala 100g,Food Products,110,90,15,15.0,100g,DJP1002,DJ-FOO-0003,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
4,Daily Tea 250g,Food Products,169,125,20,20.0,250g,DJP1003,DJ-FOO-0004,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
5,Daily Tea 500g,Food Products,329,245,39,39.0,500g,DJP1004,DJ-FOO-0005,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
6,Dhaniya Powder 25g,Food Products,20,15,1,1.0,25g,DJP1005,DJ-FOO-0006,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
7,Dhaniya Powder 200g,Food Products,95,75,14,14.0,200g,DJP1006,DJ-FOO-0007,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
8,Dhaniya Powder 500g,Food Products,210,170,30,30.0,500g,DJP1007,DJ-FOO-0008,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
9,Garam Masala 100g,Food Products,110,99,20,20.0,100g,DJP1008,DJ-FOO-0009,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
10,Haldi Powder 25g,Food Products,20,15,1,1.0,25g,DJP1009,DJ-FOO-0010,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
