chunk_id,chunk_type,document_id,source_page,product_code,sku,category,role_scope,risk_level,confidence,effective_from,approval_status,text
product_core::DJP1000::DJ-FOO-0001,product_core,dayjoy-canonical-product-master-final,,DJP1000,DJ-FOO-0001,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Black Salt Sprinkler (200g). Code: DJP1000. SKU: DJ-FOO-0001. Pack size: 200g. MRP: 59.0. DP: 49.0. BV: 10.0.
pricing_row::DJP1000::DJ-FOO-0001,pricing_row,India-BV-Price-May-2026,,DJP1000,DJ-FOO-0001,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Black Salt Sprinkler (200g): MRP INR 59; DP INR 49; BV 10; pack size 200g.
product_core::DJP1001::DJ-FOO-0002,product_core,dayjoy-canonical-product-master-final,,DJP1001,DJ-FOO-0002,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Chaat Masala (100g). Code: DJP1001. SKU: DJ-FOO-0002. Pack size: 100g. MRP: 75.0. DP: 56.0. BV: 10.0.
pricing_row::DJP1001::DJ-FOO-0002,pricing_row,India-BV-Price-May-2026,,DJP1001,DJ-FOO-0002,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Chaat Masala (100g): MRP INR 75; DP INR 56; BV 10; pack size 100g.
product_core::DJP1002::DJ-FOO-0003,product_core,dayjoy-canonical-product-master-final,,DJP1002,DJ-FOO-0003,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Chicken Masala (100g). Code: DJP1002. SKU: DJ-FOO-0003. Pack size: 100g. MRP: 110.0. DP: 90.0. BV: 15.0.
pricing_row::DJP1002::DJ-FOO-0003,pricing_row,India-BV-Price-May-2026,,DJP1002,DJ-FOO-0003,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Chicken Masala (100g): MRP INR 110; DP INR 90; BV 15; pack size 100g.
product_core::DJP1003::DJ-FOO-0004,product_core,dayjoy-canonical-product-master-final,,DJP1003,DJ-FOO-0004,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Daily Tea (250g). Code: DJP1003. SKU: DJ-FOO-0004. Pack size: 250g. MRP: 169.0. DP: 125.0. BV: 20.0.
pricing_row::DJP1003::DJ-FOO-0004,pricing_row,India-BV-Price-May-2026,,DJP1003,DJ-FOO-0004,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Daily Tea (250g): MRP INR 169; DP INR 125; BV 20; pack size 250g.
product_core::DJP1004::DJ-FOO-0005,product_core,dayjoy-canonical-product-master-final,,DJP1004,DJ-FOO-0005,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Daily Tea (500g). Code: DJP1004. SKU: DJ-FOO-0005. Pack size: 500g. MRP: 329.0. DP: 245.0. BV: 39.0.
pricing_row::DJP1004::DJ-FOO-0005,pricing_row,India-BV-Price-May-2026,,DJP1004,DJ-FOO-0005,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Daily Tea (500g): MRP INR 329; DP INR 245; BV 39; pack size 500g.
product_core::DJP1005::DJ-FOO-0006,product_core,dayjoy-canonical-product-master-final,,DJP1005,DJ-FOO-0006,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Dhaniya Powder (25g). Code: DJP1005. SKU: DJ-FOO-0006. Pack size: 25g. MRP: 20.0. DP: 15.0. BV: 1.0.
pricing_row::DJP1005::DJ-FOO-0006,pricing_row,India-BV-Price-May-2026,,DJP1005,DJ-FOO-0006,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Dhaniya Powder (25g): MRP INR 20; DP INR 15; BV 1; pack size 25g.
product_core::DJP1006::DJ-FOO-0007,product_core,dayjoy-canonical-product-master-final,,DJP1006,DJ-FOO-0007,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Dhaniya Powder (200g). Code: DJP1006. SKU: DJ-FOO-0007. Pack size: 200g. MRP: 95.0. DP: 75.0. BV: 14.0.
pricing_row::DJP1006::DJ-FOO-0007,pricing_row,India-BV-Price-May-2026,,DJP1006,DJ-FOO-0007,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Dhaniya Powder (200g): MRP INR 95; DP INR 75; BV 14; pack size 200g.
product_core::DJP1007::DJ-FOO-0008,product_core,dayjoy-canonical-product-master-final,,DJP1007,DJ-FOO-0008,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Dhaniya Powder (500g). Code: DJP1007. SKU: DJ-FOO-0008. Pack size: 500g. MRP: 210.0. DP: 170.0. BV: 30.0.
pricing_row::DJP1007::DJ-FOO-0008,pricing_row,India-BV-Price-May-2026,,DJP1007,DJ-FOO-0008,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Dhaniya Powder (500g): MRP INR 210; DP INR 170; BV 30; pack size 500g.
product_core::DJP1008::DJ-FOO-0009,product_core,dayjoy-canonical-product-master-final,,DJP1008,DJ-FOO-0009,,"public, distributor, internal",low,high,2026-05-05,approved,Product: Garam Masala (100g). Code: DJP1008. SKU: DJ-FOO-0009. Pack size: 100g. MRP: 110.0. DP: 99.0. BV: 20.0.
pricing_row::DJP1008::DJ-FOO-0009,pricing_row,India-BV-Price-May-2026,,DJP1008,DJ-FOO-0009,,"public, distributor, internal",safe_general,high,2026-05-05,approved,Pricing for Garam Masala (100g): MRP INR 110; DP INR 99; BV 20; pack size 100g.
