Question,Answer
What is Dayjoy?,"Dayjoy Marketing Private Limited is a wellness and direct selling company founded in 2018, based in Kota, Rajasthan, India. It offers health, beauty, personal care, food, home care, and agricultural products through a direct selling model."
Who founded Dayjoy?,"Dayjoy is part of the Adila Group, which was founded by Shambhu Kumar Agarwal in 2009. Dayjoy Marketing Private Limited was incorporated in 2018 and is led by directors Anmol Agarwal and Divyansh Agarwal."
Where is Dayjoy headquartered?,"Dayjoy's registered office is at A-780, Indra Vihar, Kota, Rajasthan - 324005, India."
What products does Dayjoy sell?,"Dayjoy sells 150+ products across categories: Health Care (Asthprash, juices, tablets, teas), Personal Care (Wild Muse brand - face wash, shampoo, creams), Food Products (spices, oils), Home Care (cleaning products), Textiles, and Agriculture (Happy Grow)."
What is the Dayjoy business plan?,"Dayjoy uses a Hybrid Compensation Plan combining Binary Income (10%), Generation Income, Mentorship Bonus, Performance Incentive (5-21%), and multiple rank-based bonuses including Gold Director, Platinum Director, Emerald VP, Sapphire VP, and Diamond President bonuses."
How do I join Dayjoy?,"Registration is free. After registration, purchase products worth Rs 2,500-3,000 (1000 BV) to activate your account. Joining packages are Rs 7,600 or Rs 7,700 (5000 PV). Visit dayjoy.in to register."
What is the minimum purchase to start earning?,"You need to shop for Rs 2,500-3,000 worth of products to earn 1000 BV points and start earning from the compensation plan."
What is BV in Dayjoy?,BV stands for Business Volume. It is the point value assigned to products. 1 BV = Rs 2 (max). BV is used to calculate all income and bonuses in the compensation plan.
How does the Binary Income work?,"Binary Income is 10% matching. You need 2 direct referrals (1 left, 1 right). Per pair earns Rs 500. Daily capping is Rs 2,500 and monthly capping is Rs 75,000."
What are the ranks in Dayjoy?,"Ranks from lowest to highest: Distributor, Gold Director (1,60,000+ BV), Platinum Director (7,50,000 BV), Emerald VP (30 Lakh BV), Sapphire VP (1 Crore BV), Diamond President (2.25 Crore BV)."
What is Asthprash?,"Asthprash is Dayjoy's flagship health product - a herbal formulation (300g, Rs 2,999) that protects lungs from pollution and promotes respiratory health."
Is Dayjoy a legitimate company?,"Yes, Dayjoy Marketing Private Limited is registered with the Ministry of Corporate Affairs (CIN: U52600RJ2018PTC062258), incorporated under the Companies Act 2013. It is an Active private limited company registered with ROC Jaipur."
How many states does Dayjoy operate in?,"Dayjoy has a presence in 24 states across India with over 1,000 franchise outlets and 4 regional offices in Jharkhand, Odisha, Delhi, and Hyderabad."
What is the loyalty program?,"If you purchase minimum Rs 3,000 worth of products every month for 5 consecutive months, you get free products worth your 5-month average in the 6th month. Amounts scale from Rs 3,000 to Rs 6,000 per month."
What is the parent company of Dayjoy?,"Dayjoy operates under the Adila Group, founded by Shambhu Kumar Agarwal in August 2009. Adila Group is dedicated to creating world-class products."
What payment methods does Dayjoy accept?,"NEFT, IMPS, Cheque, Debit Card, Credit Card, UPI, Net Banking, and PayTM."
How can I contact Dayjoy?,"Email: support@dayjoy.in, Phone: +91 74120 34387, Website: dayjoy.in, Address: A-780, Indra Vihar, Kota, Rajasthan - 324005."
What is the Mentorship Bonus?,Mentorship Bonus is 100% of the Business Matching Incentive earned by your directly sponsored distributors. You must have personally referred 2 teams to qualify.
How many products does DayJoy sell in total?,"As per the verified price list effective 5 May 2026, DayJoy sells 170 products/packages across 12 categories: Food Products, Personal Care, Skin Care, Color Cosmetics, Health Care, Home Care, Clothing, Agriculture & Veterinary, Germanium Magnetic, Aqua Essentials, Promotion Tools, and Combo Packages."
What is the price of Asthprash?,"Asthprash (300 grams) has an MRP of Rs 2,999, Distributor Price (DP) of Rs 1,499, and carries 720 BV, as per the price list effective 5 May 2026."
What are the DayJoy combo/joining packages?,"DayJoy offers 6 combo packages: Standard (MRP Rs 10,997 / DP Rs 5,499 / 2,500 BV, Direct Income Rs 250), Premium (MRP Rs 17,592 / DP Rs 10,499 / 5,000 BV, Direct Income Rs 500), Elite (MRP Rs 28,286 / DP Rs 15,999 / 7,500 BV, Direct Income Rs 750), Agri Pro, Agri Starter, and Legend."
What is DP in DayJoy pricing?,"DP stands for Distributor Price - the price at which a DayJoy distributor purchases a product, which is lower than the MRP (Maximum Retail Price)."
Does DayJoy sell aqua/water products?,"Yes. DayJoy's Aqua Essentials category includes Aqua Energiser (Single and Pack of 3), Perfect-Ion water ionizer devices, Perfect-Ion Testing Solutions, and N-SF 9.5/10.5 Mineralisers."
Does DayJoy sell agriculture products?,"Yes, under Agriculture & Veterinary: Happy Soil-Humic, Nano Tech-19/46/50/52, Prosperous (liquid and tablets), Joy-O-Zyme, JoySpread 80 Gold, JoyGrow 2X Granules, JoyProtect, and JoyCalcium."
What skin care products does DayJoy offer?,"DayJoy's Skin Care range includes Face Serum, Gold Facial Kit, Sunscreen SPF 50, Hydra Max Moisturizer, AgeX Anti-Ageing Night Cream, and AcneX Anti-Acne Foaming Cleanser."
Does DayJoy have magnetic therapy products?,"Yes, DayJoy sells the Bio-Germanium Magnetic Mattress (Single, MRP Rs 15,000; and Pack of 2, MRP Rs 30,000) under the Germanium Magnetic category."
What is the BV of the Standard joining package?,"The Standard Package carries 2,500 BV with an MRP of Rs 10,997 and DP of Rs 5,499, plus Rs 250 direct income on introduction."
Are DayJoy prices inclusive of tax?,"Yes, per the official price list effective 5 May 2026, all listed MRP and DP figures are inclusive of tax."
