intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,normalized_question,normalized_symptom,recommended_product,intent_bucket
5,DP of DJP1158,The Distributor Price (DP) is ₹75.0.,pricing,dp,Hindi One-Page Compensation Plan (Set of 25 Leaflets),DJP1158,DJ-PRO-0159,high,Price List,,dp djp1158,dp djp1158,Hindi One-Page Compensation Plan (Set of 25 Leaflets),internal_distributor_intent
9,How much is in one pack of Haldi Powder (500g)?,The pack size is 500g.,informational,pack_size,Haldi Powder (500g),DJP1011,DJ-FOO-0012,high,Products Master,,how much one pack haldi powder 500g,how much one pack haldi powder 500g,Haldi Powder (500g),internal_distributor_intent
17,How much is in one pack of Sandalwood & Shahi Gulab Body Lotion (150ml)?,The pack size is 150ml.,informational,pack_size,Sandalwood & Shahi Gulab Body Lotion (150ml),DJP1042,DJ-PER-0043,high,Products Master,,how much one pack sandalwood shahi gulab body lotion 150ml,how much one pack sandalwood shahi gulab body lotion 150ml,Sandalwood & Shahi Gulab Body Lotion (150ml),internal_distributor_intent
20,What is the Loyalty Offer?,Distributors buying Rs. 2500+ from 2nd-15th for 4 months get free products in the 5th month.,business,joining,,,,high,Dayjoy Brochure / Loyalty Program,,loyalty offer,loyalty offer,nan,internal_distributor_intent
25,What is the Super Retailer Loyalty Program?,"Purchasing Rs. 25,000 for 4 consecutive months between the 2nd and 15th gives Rs. 25,000 worth of free products.",business,joining,,,,high,Dayjoy Brochure / Loyalty Program,,super retailer loyalty program,super retailer loyalty program,nan,internal_distributor_intent
34,How much BV for New Total Joy Rice Bran Oil (1 Litre)?,The Business Volume (BV) is 24.0.,pricing,bv,New Total Joy Rice Bran Oil (1 Litre),DJP1021,DJ-FOO-0022,high,Price List,,how much bv new total joy rice bran oil 1 litre,how much bv new total joy rice bran oil 1 litre,New Total Joy Rice Bran Oil (1 Litre),internal_distributor_intent
35,How much is in one pack of Dayjoy Backpack Bag?,The pack size is nan.,informational,pack_size,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,high,Products Master,,how much one pack dayjoy backpack bag,how much one pack dayjoy backpack bag,Dayjoy Backpack Bag,internal_distributor_intent
39,How much is in one pack of Deep Cleansing Facewash (60ml)?,The pack size is 60ml.,informational,pack_size,Deep Cleansing Facewash (60ml),DJP1053,DJ-PER-0054,high,Products Master,,how much one pack deep cleansing facewash 60ml,how much one pack deep cleansing facewash 60ml,Deep Cleansing Facewash (60ml),internal_distributor_intent
45,How much is in one pack of Perfect-Ion Leaflets (Set of 25)?,The pack size is Set of 25.,informational,pack_size,Perfect-Ion Leaflets (Set of 25),DJP1142,DJ-AQU-0143,high,Products Master,,how much one pack perfect ion leaflets set 25,how much one pack perfect ion leaflets set 25,Perfect-Ion Leaflets (Set of 25),internal_distributor_intent
50,How much is in one pack of Daily Care Cream (60g)?,The pack size is 60g.,informational,pack_size,Daily Care Cream (60g),DJP1030,DJ-PER-0031,high,Products Master,,how much one pack daily care cream 60g,how much one pack daily care cream 60g,Daily Care Cream (60g),internal_distributor_intent
59,How much BV for Garam Masala (100g)?,The Business Volume (BV) is 20.0.,pricing,bv,Garam Masala (100g),DJP1008,DJ-FOO-0009,high,Price List,,how much bv garam masala 100g,how much bv garam masala 100g,Garam Masala (100g),internal_distributor_intent
60,How much BV for HB+ (200ml)?,The Business Volume (BV) is 160.0.,pricing,bv,HB+ (200ml),DJP1088,DJ-HEA-0089,high,Price List,,how much bv hb 200ml,how much bv hb 200ml,HB+ (200ml),internal_distributor_intent
68,How much is in one pack of Shatavari Extract (60 Veg Capsules)?,The pack size is 60 Veg Capsules.,informational,pack_size,Shatavari Extract (60 Veg Capsules),DJP1104,DJ-HEA-0105,high,Products Master,,how much one pack shatavari extract 60 veg capsules,how much one pack shatavari extract 60 veg capsules,Shatavari Extract (60 Veg Capsules),internal_distributor_intent
70,DP of DJP1024,The Distributor Price (DP) is ₹67.0.,pricing,dp,Poha with Bhujia,DJP1024,DJ-FOO-0025,high,Price List,,dp djp1024,dp djp1024,Poha with Bhujia,internal_distributor_intent
75,DP of DJP1035,The Distributor Price (DP) is ₹91.0.,pricing,dp,Kesham (100ml),DJP1035,DJ-PER-0036,high,Price List,,dp djp1035,dp djp1035,Kesham (100ml),internal_distributor_intent
79,How much is in one pack of Daily Tea (500g)?,The pack size is 500g.,informational,pack_size,Daily Tea (500g),DJP1004,DJ-FOO-0005,high,Products Master,,how much one pack daily tea 500g,how much one pack daily tea 500g,Daily Tea (500g),internal_distributor_intent
85,How do I join Dayjoy?,You can join by purchasing products through an existing Independent Distributor or via the official website.,business,joining,,,,high,Dayjoy Brochure / Loyalty Program,,how do join dayjoy,how do join dayjoy,nan,internal_distributor_intent
87,How much BV for Dhaniya Powder (500g)?,The Business Volume (BV) is 30.0.,pricing,bv,Dhaniya Powder (500g),DJP1007,DJ-FOO-0008,high,Price List,,how much bv dhaniya powder 500g,how much bv dhaniya powder 500g,Dhaniya Powder (500g),internal_distributor_intent
90,DP of DJP1074,The Distributor Price (DP) is ₹99.0.,pricing,dp,Astheal Cough Syrup (100ml),DJP1074,DJ-HEA-0075,high,Price List,,dp djp1074,dp djp1074,Astheal Cough Syrup (100ml),internal_distributor_intent
95,How much is in one pack of N-SF 10.5 Mineraliser?,The pack size is nan.,informational,pack_size,N-SF 10.5 Mineraliser,DJP1145,DJ-AQU-0146,high,Products Master,,how much one pack n sf 10 5 mineraliser,how much one pack n sf 10 5 mineraliser,N-SF 10.5 Mineraliser,internal_distributor_intent
96,DP of DJP1127,The Distributor Price (DP) is ₹949.0.,pricing,dp,Nano Tech-52 (500ml),DJP1127,DJ-AGR-0128,high,Price List,,dp djp1127,dp djp1127,Nano Tech-52 (500ml),internal_distributor_intent
99,How much BV for Face Serum (30ml)?,The Business Volume (BV) is 170.0.,pricing,bv,Face Serum (30ml),DJP1057,DJ-SKI-0058,high,Price List,,how much bv face serum 30ml,how much bv face serum 30ml,Face Serum (30ml),internal_distributor_intent
