gap_id,phase,category,description,affected_files,requires_human_decision,fix_type,status
G001,Phase1,source_registry,No file named source_registry.csv exists; file_inventory.csv covers only 2/12 requested columns,08_GOVERNANCE/source_registry/file_inventory.csv,No,structural_fix,"FIXED — source_registry.csv built, 11 rows, 08_GOVERNANCE/source_registry/"
G002,Phase1,source_registry,"8 of 12 requested columns (source_type, source_url, date_obtained, document_date, version, authority, status, supersedes) do not exist as structured data anywhere",08_GOVERNANCE/source_registry/,No,structural_fix,"FIXED — source_type/authority/status/checksum/notes/document_date(where evidenced) now populated; source_url/date_obtained/version/supersedes left empty, not invented"
G003,Phase1,source_registry,date_obtained is not recoverable from any existing repo content for any of the 11 source documents,new source_registry.csv,Yes,cannot_fix_mark_null,remains_open
G004,Phase1,source_registry,3 website_snapshots governance/template files are not represented in file_inventory.csv,00_SOURCE_DOCUMENTS/website_snapshots/,No,documentation_only,remains_open_by_design
G005,Phase1,source_registry,extracted_path values in file_inventory.csv are absolute sandbox paths not portable across environments,08_GOVERNANCE/source_registry/file_inventory.csv,No,not_fixed_low_priority,remains_open
G006,Phase2,product_master,"faq_ids, image_ids, similar_product_ids, related_product_ids, description, unit, sub_category are 0/170 populated",01_CANONICAL/products/dayjoy_product_master_canonical.csv,No,structural_fix,"PARTIALLY FIXED — faq_ids 170/170, similar_product_ids 170/170, image_ids 108/170 (62 have no photo), related_product_ids 46/170 (only where relationships file had usable data); description/unit/sub_category still empty, not fixed (would require new content, not just linking)"
G007,Phase2,product_master,T001_CATALOG_MERGE_SUMMARY.md cited as evidence but does not exist in the repository,01_CANONICAL/products/,No,structural_fix,FIXED — T001_CATALOG_MERGE_SUMMARY.md reconstructed from existing verified audit CSVs
G008,Phase2,product_master,90/120 (75%) rows in image metadata have an image_path that does not resolve to a real file on disk,06_IMAGES/metadata/dayjoy_image_metadata_CANONICAL.csv,No,structural_fix,"FIXED — image metadata rebuilt from the 126 real files on disk, 0/126 broken paths now"
G009,Phase2,product_master,61/170 SKUs have no image record at all - no source photo was ever supplied,06_IMAGES/products/,Yes,needs_new_source_material,"PARTIALLY FIXED 2026-08-10 (T002B rematch) — DJ-AGR-0135 JoyProtect (500ml) recovered from the previously-declined generic-filename image Joy_1.jpg (visual label match); 61 SKUs remain genuinely photo-less, see 06_IMAGES/T002B_REMATCH_SUMMARY.md"
G010,Phase2,product_master,content_source_document citation references a filename with a _2 suffix that does not exist on disk (real file has no suffix),01_CANONICAL/products/dayjoy_product_master_canonical.csv,No,structural_fix,FIXED — 130/130 citation typos corrected (_11zon_2.pdf -> _11zon.pdf)
G011,Phase2,product_master,"verification_status, approval_status, content_risk_level, pricing_risk_level, missing_content_fields_count are uniform across all 170 rows and carry no row-level discriminating signal",01_CANONICAL/products/dayjoy_product_master_canonical.csv,Yes,needs_redesign_not_a_data_fix,remains_open
G012,Phase2,product_master,confidence column is a compound string not a numeric/graded score,01_CANONICAL/products/dayjoy_product_master_canonical.csv,Yes,needs_redesign_not_a_data_fix,remains_open
