test_id,question,expected_intent,expected_source,expected_answer,required_tool,must_cite,must_abstain,category,difficulty,notes
PR0001,How much does Black Salt Sprinkler (200g) cost at MRP?,price_lookup,01_CANONICAL/products/dayjoy_product_master_canonical.csv,Rs 59.0,product_db_lookup,true,false,pricing,easy,sku=DJ-FOO-0001; product_id=DJP1000; field=mrp
PR0002,What price does a Dayjoy distributor pay for Black Salt Sprinkler (200g) (DP)?,price_lookup,01_CANONICAL/products/dayjoy_product_master_canonical.csv,Rs 49.0,product_db_lookup,true,false,pricing,easy,sku=DJ-FOO-0001; product_id=DJP1000; field=dp
PR0003,How much does Chaat Masala (100g) cost at MRP?,price_lookup,01_CANONICAL/products/dayjoy_product_master_canonical.csv,Rs 75.0,product_db_lookup,true,false,pricing,easy,sku=DJ-FOO-0002; product_id=DJP1001; field=mrp
PR0004,What price does a Dayjoy distributor pay for Chaat Masala (100g) (DP)?,price_lookup,01_CANONICAL/products/dayjoy_product_master_canonical.csv,Rs 56.0,product_db_lookup,true,false,pricing,easy,sku=DJ-FOO-0002; product_id=DJP1001; field=dp
PR0005,How much does Chicken Masala (100g) cost at MRP?,price_lookup,01_CANONICAL/products/dayjoy_product_master_canonical.csv,Rs 110.0,product_db_lookup,true,false,pricing,easy,sku=DJ-FOO-0003; product_id=DJP1002; field=mrp
PR0006,What price does a Dayjoy distributor pay for Chicken Masala (100g) (DP)?,price_lookup,01_CANONICAL/products/dayjoy_product_master_canonical.csv,Rs 90.0,product_db_lookup,true,false,pricing,easy,sku=DJ-FOO-0003; product_id=DJP1002; field=dp
PR0007,How much does Daily Tea (250g) cost at MRP?,price_lookup,01_CANONICAL/products/dayjoy_product_master_canonical.csv,Rs 169.0,product_db_lookup,true,false,pricing,easy,sku=DJ-FOO-0004; product_id=DJP1003; field=mrp
PR0008,What price does a Dayjoy distributor pay for Daily Tea (250g) (DP)?,price_lookup,01_CANONICAL/products/dayjoy_product_master_canonical.csv,Rs 125.0,product_db_lookup,true,false,pricing,easy,sku=DJ-FOO-0004; product_id=DJP1003; field=dp
PR0009,How much does Daily Tea (500g) cost at MRP?,price_lookup,01_CANONICAL/products/dayjoy_product_master_canonical.csv,Rs 329.0,product_db_lookup,true,false,pricing,easy,sku=DJ-FOO-0005; product_id=DJP1004; field=mrp
PR0010,What price does a Dayjoy distributor pay for Daily Tea (500g) (DP)?,price_lookup,01_CANONICAL/products/dayjoy_product_master_canonical.csv,Rs 245.0,product_db_lookup,true,false,pricing,easy,sku=DJ-FOO-0005; product_id=DJP1004; field=dp
