Product Name,Sub-Brand,Category/Type,Key Benefits,Ingredients,How to Consume/Use,Pack Size,MRP (INR)
ASTHPRASH,Asthprash,Herbal lung/respiratory support powder,"Cleans lungs of tar & pollution; controls asthma/allergy; strengthens lung tissue; helps pneumonia, cold, cough, bronchitis; boosts immunity; improves digestion","Tulsi, Mulethi, Kali Mirch, Adusa (Vasa Patra), Honey",Adults: 1 tbsp (15-20g) before sleeping; Children: 1/2 tbsp morning,Pack of 300g,2999
Kidney Kawach,Curind,Kidney & urinary wellness blend,Healthy urine flow; kidney/urinary tract health; eases urinary discomfort; detox; antioxidant immunity boost,"Safed Punarnava, Varuna, Gokhru, Giloe, Amla",5-15g twice a day,Pack of 300g,2999
AdilaForte Tablet,Curind,Men's vitality formula,"Stamina, strength, energy; male vitality; mood/performance; testosterone maintenance; fatigue management","Kaunch Beej, Ashwagandha, Shatavari, Gokshura, Shuddha Shilajit",1 tablet with milk 2 hrs before activity,Pack of 30/60 tablets,1499 / 2999
Orthofix Tablet & Oil,Curind,Joint & muscle health,Relieves joint stiffness/swelling; flexibility; soothes muscles; blood flow to joints; warming relief,"Tablet: Ashwagandha, Guggulu, Rasna, Sonth, Punarnava; Oil: Camphor, Peppermint, Eucalyptus, Clove, Sesame Oil",Tablet: 1-2 twice daily; Oil: apply 3-5ml twice daily,Tablet 60N / Oil 100ml,1199 / 525
Hi-Energy Tablet,Curind,Energy & stress adaptogen,Increases energy/stamina; immune response; reduces fatigue; stress management; vitality,"Amaltas, Mulethi, Akarakara, Utangan, Kalaunji",2 tablets twice daily,Pack of 60 tablets,1199
Adilipo Tablet,Curind,Heart health supplement,Cardiovascular wellness; cholesterol/lipid management; blood circulation; heart muscle strength; antioxidants/Omega-3,"Arjuna, Guggulu, Lahasun, Pushkarmula, Atasi",1-2 tablets twice daily empty stomach morning,Pack of 60/120 tablets,1499 / 2699
Di-Beat Tablet,Curind,Blood sugar support,Regulates blood sugar; supports insulin function; reduces frequent urination/fatigue; pancreatic health,"Jamun, Karela, Gudmaar, Vijayasara, Methi",2 tablets twice daily,Pack of 60 tablets,1199
N-Astheal Tablet,Curind,Bronchial/respiratory support,Relieves chest congestion; easier breathing; manages cough/bronchitis/asthma; reduces allergic inflammation; respiratory immunity,"Aragvadha, Mulethi, Akarakara, Utangan, Kalaunji",1-2 tablets twice daily,Pack of 60/120 tablets,1499 / 2699
Astheal Cough Syrup,Curind,Cough & congestion relief,Clears chest congestion/phlegm; relief from cough/cold/throat irritation; easier breathing; reduces allergy symptoms,"Tulsi, Mulethi, Banafsha, Vasaka, Pippali, Pudina Satva",Adults 10-15ml every 4-6 hrs; Children 5-10ml every 4-6 hrs,100ml Bottle,199
Adiliv Tablet / LivEase Syrup,Curind,Liver care,Healthy liver function/metabolism; detoxification; digestion/appetite; protects liver cells; hepatic regeneration,"Himsra, Kasani, Arjuna, Punarnava, Bhringaraja, Guduchi",Tablet: 1-2 twice daily empty stomach morning; Syrup: 5-10ml twice daily after meals,Tablet 60N / Syrup 200-500ml,1199 / 599-1399
HB+ Syrup,Curind,Hemoglobin & energy booster,Manages iron deficiency/anemia; RBC production; circulation; vitamins/minerals/antioxidants; liver health,"Amla, Anar, Shilajit, Mulethi, Bhui Amla",5-10ml twice daily after meals,200/500ml Bottle,599 / 1399
Gas-O-Free Syrup,Curind,Digestive relief,Relieves indigestion/bloating/flatulence; stimulates gastric juice; intestinal motility; eases constipation,"Amla, Mulethi, Saunf, Nishoth, Giloe, Satavari",5-10ml twice daily after meals,200/500ml Bottle,599 / 1399
Adicardial Tablet & Syrup,Curind,Women's reproductive health,Regulates menstrual cycles; eases cramps/pain; reproductive detox; boosts immunity; reduces stress/anxiety,"Ashok, Satavari, Lodhra, Guduchi, Punarnava, Ashvagandha",Tablet 1-2 twice daily after meal; Syrup 10-15ml twice daily,Tablet 120N / Syrup 500ml,2099 / 1399
Go Piles Tablet & Syrup,Curind,Piles/hemorrhoid relief,Reduces pain/inflammation; controls bleeding/shrinks pile mass; alleviates itching; digestive/bowel regularity,"Bakain, Chavya, Nagkesar, Daruhaldi, Harad",Tablet: 2 tabs 2-3x/day before meals; Syrup: 10-15ml twice daily,Tablet 60N / Syrup 500ml,1199 / 1399
Arogya Churn,Curind,Constipation & digestion,Improves digestion/nutrient absorption; reduces bloating; relieves constipation,"Harad, Baheda, Amla, Kali Mirch, Pipul",8-10g with lukewarm water at bedtime,Pack of 100g,189
Giloe Extract Capsules,Curind,Immunity booster,Boosts immunity; digestion; toxin removal; blood formation; skin health,Giloe (Tinospora cordifolia),1 capsule twice daily,Pack of 60 veg capsules,499
Shatavari Extract Capsules,Curind,Female vitality,Tones female reproductive system; immunity; menstrual/menopausal health; rejuvenation,Shatavari,1-2 tablets twice daily,Pack of 60 veg capsules,499
Amla Extract Capsules,Curind,Immunity & skin/hair,Immune support; digestion/metabolism; hair growth; antioxidant skin health,Amla,1-2 capsules twice daily before meals,Pack of 60 veg capsules,499
Ashvagandha Extract Capsules,Curind,Stress & vitality,Reduces stress/anxiety; combats fatigue; mental clarity; revitalizes body/mind,Ashwagandha,1-2 capsules twice daily with meals,Pack of 60 veg capsules,499
Premium Tulsi Max,Curind,Immunomodulatory tonic,Reduces cold/cough/respiratory issues; cardiovascular health; detox/gout relief; digestion; skin/hair health,5 Tulsi species blend,"3 drops in hot water/tea, 4-5x daily",30ml Bottle,299
Quick 6 Pain Relief Gel,Curind,Topical pain relief,Relieves joint/muscle pain; back/knee pain; stiffness relief; safe for all family,NA,Apply thin film & massage,Pack of 30g,149
Super Rich Berries Juice,Curind,Multi-fruit wellness juice,Enhances immunity; cardiovascular/liver/kidney health; antioxidant/anti-inflammatory; digestion; memory/sleep,"Aloe Vera, Ashwagandha, Moringa, Triphala, Turmeric, Amla, Spirulina",Adults 30ml 2x/day; Children 5-10ml 2x/day,1000ml Bottle,2999
Sea Buckthorn Juice,Curind,Heart/skin/immunity tonic,Improves cholesterol; liver detox; skin hydration/elasticity; fat loss/mood/brain; insulin sensitivity; bone health,Sea Buckthorn (Hippophae rhamnoides),Adults 30ml 2x/day; Children 5-10ml 2x/day,1000ml Bottle,2999
Nonima,Curind,Immunity & energy drink,Strengthens immunity; metabolism/weight; skin repair; energy/mental clarity,"Amlaki, Noni, Guduchi, Manduki, Garcinia",Adults 5-15ml with 300ml water (escalating); Children 2.5-7ml,500ml Bottle,1499
Aloe Vera Guava Juice,Curind,Digestive & immunity juice,Digestive health/heartburn relief; liver detox; immunity; vitamins/nutrients,Aloe Vera (Aloe barbadensis),1 cup (200-250ml) daily,1L Bottle,1499
Super Food Capsule,Curind,Multivitamin (31 nutrients),Heart health/stamina/immunity; bone strength/skin; antioxidants; superfoods,"Turmeric Root, Whole Foods Blend, Fruit & Vegetable Blend, Calcium",2 capsules daily (breakfast & dinner),Pack of 60 capsules,1999
Omega 3-6-9 Softgel Capsules,Curind,Brain/heart supplement,Brain/heart health; healthy weight/liver fat; nutrient absorption; anti-inflammatory/immunity,"EPA, DHA, GLA, Oleic Acid, Olive Oil, Vitamin E",1 capsule daily,Pack of 30 softgels,999
Advanced Calcium Tablets,Curind,Bone health,Bone density/joint strength; calcium absorption (D3&K2); RBC/DNA formation (B12&Folic Acid); immunity,"Calcium Citrate, Magnesium, Alfalfa, Moringa Bark Extract",2 tablets twice daily with meals,Pack of 30 tablets,999
Multi Vitamins Tablets,Curind,Daily multivitamin,Energy/immunity/focus; athletic performance/metabolism; skin/vision,"Ginseng Extract, Taurine, Soya Protein Hydrolysate, Amino Acids",1 tablet daily with meal,Pack of 30 tablets,999
JuniorJoy,Curind,Children's nutrition drink,Muscle growth; brain development/learning; heart health; energy for growing children,"Brahmi, Punarnava, Makoy","1 scoop (10g) in 100ml lukewarm milk, 1-2x/day (not under age 5)",Pack of 300g,1499
Vital Protein,Curind,Plant protein blend,Lean muscle development/recovery; healthy weight; bone/joint strength; stamina/endurance,"Pea Protein Isolate, Brown Rice Protein, DigeZyme, Electrolytes, 9 Essential Amino Acids",1 scoop (10g) up to 3x/day adults; 1x/day children 5-12,Pack of 300g,1999
Ample Meal,Curind,Meal replacement shake,Weight management/fat control; reduces cholesterol; satiety; sustained energy,"Whey Protein Concentrate, Skimmed Milk Powder, MCTs, FOS, Sunflower Oil Powder, Vitamins & Minerals, Sucralose",1 scoop (25g) in 300ml lukewarm skimmed milk; replace 1-2 meals,Pack of 500g,2699
Golden Elixir Nano Curcumin Drops,Curind,Curcumin supplement,Brain function/heart health/digestion; anti-inflammatory/liver detox; immunity; mental health; diabetes support,Nano Curcumin (SNEC30 patented),Adults 1ml/day; Children/infants smaller doses per age,25ml Bottle (Pack of 2),4999
Eye Elixir Drops & Eye Health++ Capsule,Curind,Eye care,Clear vision/eye health; reduces fatigue/dryness; protects against blue light/macular degeneration; night vision,"Grape Seed Extract, Bilberry Extract, Lutein, Zeaxanthin, Glycyrrhiza Glabra",Drops: 1-2 drops 3-4x/day; Capsule: 1 twice daily,Tablets 60N; Drops 10ml,1799 / 149
Kahwa Masala Chai,Curind,Herbal wellness tea,General wellbeing; antioxidants; detoxification; digestion,"Pepper, Ginger, Green Tea, Tulsi, Cloves, Cardamom, Cinnamon, Almonds, Saffron",1 sachet brewed 2-3 min,25 sachets (2.5g each),399
Apple Cider Vinegar Effervescent Tablets,Curind,Digestive fizzy tablets,Healthy digestion; weight management; gut health; metabolism/energy,"Apple Cider Vinegar, Probiotics, Vitamin B6, B12","1 tablet in 200ml water, twice daily before meals",Pack of 3x20 tablets,1425
Marine Collagen,Curind,Skin/hair/joint supplement,Skin firmness/hydration; joint flexibility; hair/nail strength; anti-aging; antioxidant protection,"Marine Collagen Type I&III, Astaxanthin, Resveratrol, Hyaluronic Acid, Vit C&E, Biotin, Zinc, Selenium",1 scoop (8g) in 150ml water daily,Pack of 200g,1799
Shilajit Gummies,Curind,Energy & stamina gummies,Strength/stamina; energy levels; fatigue relief; overall vitality,"Shilajit, Fulvic Acid, Essential Minerals",2 gummies daily (breakfast & dinner),Pack of 60 gummies,1499
Aloe Vera Shampoo,Wild Muse,Hair care,Reduces hair fall; balances scalp oil; hair growth; strengthens follicles,Aloe Vera,Regular use,300ml Bottle,349
Hydra Aloe Vera Body Lotion,Wild Muse,Body moisturizer,Soothes irritated skin; softness; refreshed skin; moisture; environmental protection,Aloe Vera,Regular use,300ml Bottle,349
Anti-Pollution Aloe Vera Face Wash,Wild Muse,Face cleanser,Hydrates; soothes; fights pollution damage; restores glow; removes impurities,Aloe Vera,Regular use,100ml Bottle,135
LuxWash Handwash,Wild Muse,Handwash,Nourishes/hydrates; refreshing; long-lasting freshness; germ-free,NA,Regular use,250ml Bottle,150
Milk Bath Soap,Wild Muse,Bath soap,Anti-aging; non-irritating; deep moisture; nutrients; restores glow,Milk (78% TFM),Regular use,100g,75
Neem & Aloevera Herbal Soap,Wild Muse,Herbal soap,Natural detox; fights acne; moisturizes; gentle; soothes irritation,"Neem, Aloe Vera",Regular use,Pack of 3 (100g each),147
Luxury Saffron Soap,Wild Muse,Premium soap,Revitalizes dull skin; brightness; suitable all skin types; eco-friendly,Saffron,Regular use,100g,125
WildMuse Premium Loofah,Wild Muse,Bath accessory,Detoxifying; eco-friendly; hypoallergenic; enhances lathering; improves skin tone/texture,NA,Regular use,NA,125
Ecofriendly Bamboo Toothbrush,Wild Muse,Oral care,Biodegradable; gentle on gums; non-toxic; reduces plastic waste,Bamboo,Daily use,Pack of 2 (4 colours),149
Herbosmile Herbal Toothpaste,Wild Muse,Oral care,Supports gum health; safe for sensitive teeth; whitens naturally; fluoride-free,Herbal blend,Daily use,100g,125
Amla Reetha Shikakai Bhringraj Shampoo,Wild Muse,Hair care,Strengthens hair roots; healthy growth; reduces hair fall; gentle cleansing,"Amla, Reetha, Shikakai, Bhringraj",Regular use,100ml,130
Milk and Keratin Extracts Shampoo,Wild Muse,Hair care,Smoothens hair; reduces frizz/breakage; nourishment/hydration; strength/elasticity,"Milk, Keratin (paraben-free)",Regular use,100ml,175
Aloe Vera Gel,Wild Muse,Skin gel,Reduces acne/pimples; heals burns/wounds; soothes sunburn; antioxidant/anti-inflammatory; reduces wrinkles,Aloe Vera,Regular use,100ml,150
Deep Cleansing Face Wash,Wild Muse,Face wash,Improves texture; soothes/refreshes; exfoliates; removes dirt; prevents acne,NA,Regular use,60ml,125
Daily Care Cream,Wild Muse,Face cream,Evens skin tone; soothes; prevents premature aging; non-greasy; environmental protection,NA,Regular use,60ml,149
Haldi Chandan Face Wash,Wild Muse,Face wash,Reduces acne spots; cleanses impurities; brightens; soft/smooth skin,"Haldi (Turmeric), Chandan (Sandalwood)",Regular use,75ml,85
BR Rich Oil,Wild Muse,Hair oil,Detangles hair; improves scalp health; promotes growth; shine/luster,NA,Regular use,200ml Bottle,249
Kesham,Wild Muse,Hair treatment,Reduces frizz; restores scalp pH; healthy texture/follicles; dry/damaged hair care,NA,Regular use,100ml Bottle,149
Premium Sanitary Pads,Wild Muse,Feminine hygiene,8-layer protection; irritation/leakage-free; odor neutralizing; secure fit,"Organic cotton, biodegradable gel core",As needed,"Pack of 10, Sizes XL/XXL",249 / 275
Sea Buckthorn Facial Kit (6 products),Wild Muse,Facial kit,Soothes/calms; hydrates; repairs/rejuvenates; brightens; environmental protection,Sea Buckthorn,6-step routine,Kit of 6 products,1349
Face Serum (Niacinamide & Hyaluronic Acid),Amara Beauty,Face serum,Hydrates/plumps skin; fades dark spots; refines pores; strengthens barrier; reduces fine lines,"Niacinamide, Hyaluronic Acid, Aloe Vera, Vitamin B5, Green Tea Extract",2-3 drops twice daily,30ml,699
Hydra Max Gel Moisturizer,Amara Beauty,Moisturizer,Hydrates/refreshes; soothes/cools; balances oil; elasticity/texture,"Hyaluronic Acid, Glycerin, Aloe Vera, Panthenol",Apply morning & night,50g,449
Sunscreen SPF 50+ & PA++++,Amara Beauty,Sun protection,Protects/hydrates/brightens skin daily,Vitamins blend,Daily application,NA,NA
