product_id,product_code,sku,product_name,base_name,slug,pack_size,category_id,category,brand_id,brand,mrp,dp,bv,pv,currency,price_effective_date,status,country,manufacturer
1,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),Black Salt Sprinkler,black-salt-sprinkler-200g,200g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,59.0,49.0,10.0,10.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
2,DJP1001,DJ-FOO-0002,Chaat Masala (100g),Chaat Masala,chaat-masala-100g,100g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,75.0,56.0,10.0,10.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
3,DJP1002,DJ-FOO-0003,Chicken Masala (100g),Chicken Masala,chicken-masala-100g,100g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,110.0,90.0,15.0,15.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
4,DJP1003,DJ-FOO-0004,Daily Tea (250g),Daily Tea,daily-tea-250g,250g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,169.0,125.0,20.0,20.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
5,DJP1004,DJ-FOO-0005,Daily Tea (500g),Daily Tea,daily-tea-500g,500g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,329.0,245.0,39.0,39.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
6,DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),Dhaniya Powder,dhaniya-powder-25g,25g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,20.0,15.0,1.0,1.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
7,DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),Dhaniya Powder,dhaniya-powder-200g,200g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,95.0,75.0,14.0,14.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
8,DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),Dhaniya Powder,dhaniya-powder-500g,500g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,210.0,170.0,30.0,30.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
9,DJP1008,DJ-FOO-0009,Garam Masala (100g),Garam Masala,garam-masala-100g,100g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,110.0,99.0,20.0,20.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
10,DJP1009,DJ-FOO-0010,Haldi Powder (25g),Haldi Powder,haldi-powder-25g,25g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,20.0,15.0,1.0,1.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
11,DJP1010,DJ-FOO-0011,Haldi Powder (200g),Haldi Powder,haldi-powder-200g,200g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,135.0,80.0,12.0,12.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
12,DJP1011,DJ-FOO-0012,Haldi Powder (500g),Haldi Powder,haldi-powder-500g,500g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,320.0,200.0,28.0,28.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
13,DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),Himalayan Pink Salt Sprinkler,himalayan-pink-salt-sprinkler-200g,200g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,75.0,60.0,13.0,13.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
14,DJP1013,DJ-FOO-0014,Jaljeera (100g),Jaljeera,jaljeera-100g,100g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,65.0,55.0,15.0,15.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
15,DJP1014,DJ-FOO-0015,Organic Jeera (250g),Organic Jeera,organic-jeera-250g,250g,1,FOOD PRODUCTS,1,Aayushmaan / YumDum / Total Joy,199.0,165.0,33.0,33.0,INR,2026-05-05,active,India,Adila Biotech / Dayjoy Marketing Pvt. Ltd.
