intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,normalized_question,normalized_symptom,recommended_product,intent_bucket,approved_by,governance_reviewed,entities,required_tool,answer_source
1,What is Multivitamins Tablets?,Multivitamins Tablets is a HEALTH CARE product by Dayjoy.,informational,product_info,Multivitamins Tablets,DJP1094,DJ-HEA-0095,high,Products Master,,multivitamins tablets,multivitamins tablets,Multivitamins Tablets,customer_safe_intent,,False,product_name=Multivitamins Tablets; product_code=DJP1094; sku=DJ-HEA-0095; recommended_product=Multivitamins Tablets,product_database,canonical_product
2,What is Perfect-Ion Testing Solutions?,Perfect-Ion Testing Solutions is a AQUA ESSENTIALS product by Dayjoy.,informational,product_info,Perfect-Ion Testing Solutions,DJP1141,DJ-AQU-0142,high,Products Master,,perfect ion testing solutions,perfect ion testing solutions,Perfect-Ion Testing Solutions,customer_safe_intent,,False,product_name=Perfect-Ion Testing Solutions; product_code=DJP1141; sku=DJ-AQU-0142; recommended_product=Perfect-Ion Testing Solutions,product_database,canonical_product
3,"I have Irregular Heartbeats, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Irregular Heartbeats. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have irregular heartbeats,have irregular heartbeats,,customer_safe_intent,,False,symptom=have irregular heartbeats,rag_retrieval,rag_chunk
4,Which product is good for Mental Disorder?,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,mental disorder,mental disorder,,customer_safe_intent,,False,symptom=mental disorder,rag_retrieval,rag_chunk
5,DP of DJP1158,The Distributor Price (DP) is ₹75.0.,pricing,dp,Hindi One-Page Compensation Plan (Set of 25 Leaflets),DJP1158,DJ-PRO-0159,high,Price List,,dp djp1158,dp djp1158,Hindi One-Page Compensation Plan (Set of 25 Leaflets),internal_distributor_intent,,False,product_name=Hindi One-Page Compensation Plan (Set of 25 Leaflets); product_code=DJP1158; sku=DJ-PRO-0159; recommended_product=Hindi One-Page Compensation Plan (Set of 25 Leaflets),pricing_database,canonical_pricing
6,Is Kasuri Methi (50g) a food product?,It is categorized under FOOD PRODUCTS.,informational,product_category,Kasuri Methi (50g),DJP1015,DJ-FOO-0016,high,Products Master,,kasuri methi 50g food,kasuri methi 50g food,Kasuri Methi (50g),customer_safe_intent,,False,product_name=Kasuri Methi (50g); product_code=DJP1015; sku=DJ-FOO-0016; recommended_product=Kasuri Methi (50g),product_database,canonical_product
7,What awards has Dayjoy won?,"Dayjoy won Startup of the Year (2020), 4th Annual Direct Selling Today Award (2021), and Entrepreneurship Excellence Award (2023).",company,info,,,,high,Dayjoy Brochure,,awards has dayjoy won,awards has dayjoy won,,customer_safe_intent,,False,,faq_lookup,faq
8,Which product is good for Difficulty in Planning and Carrying out tasks?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,difficulty planning and carrying out tasks,difficulty planning and carrying out tasks,,customer_safe_intent,,False,symptom=difficulty planning and carrying out tasks,rag_retrieval,rag_chunk
9,How much is in one pack of Haldi Powder (500g)?,The pack size is 500g.,informational,pack_size,Haldi Powder (500g),DJP1011,DJ-FOO-0012,high,Products Master,,how much one pack haldi powder 500g,how much one pack haldi powder 500g,Haldi Powder (500g),internal_distributor_intent,,False,product_name=Haldi Powder (500g); product_code=DJP1011; sku=DJ-FOO-0012; recommended_product=Haldi Powder (500g),product_database,canonical_product
10,"I have Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom, what should I take?","Dayjoy suggests GO PILES TABLETS for Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have slimy mucus your underwear or on toilet paper after wiping your bottom,have slimy mucus your underwear or on toilet paper after wiping your bottom,,customer_safe_intent,,False,symptom=have slimy mucus your underwear or on toilet paper after wiping your bottom,rag_retrieval,rag_chunk
