voice_id,persona,topic,user_utterance,assistant_spoken_response,tts_notes,data_type,notes
voice_001,Customer,pricing_inquiry,"Hey, what's the price of Seabuckthron Scrub?","The M R P for Seabuckthron Scrub, the 30 gram pack, is 225 rupees.","Spell out MRP as 'M R P' for clarity in speech; read currency as 'rupees' after the number, not the symbol.","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",MRP matches dayjoy_intents_CANONICAL.csv row exactly (Seabuckthron Scrub 30g).
voice_002,Customer,product_info,What is Multivitamins Tablets?,Multivitamins Tablets is a health care product by Dayjoy.,"Category name read naturally, not in all-caps emphasis.","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","Matches dayjoy_intents_CANONICAL.csv product_info row verbatim, adapted for spoken delivery."
voice_003,Customer,health_condition_consultation,"I've been having irregular heartbeats, what should I take?","Dayjoy suggests Multi Vitamins Tablets for irregular heartbeats. That's a supplement, not a cure, and I'd really recommend checking with a doctor about the heartbeat issue itself.",Disclaimer shortened for natural speech cadence while preserving the required UNVERIFIED-health warning meaning.,"TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","Grounded in dayjoy_intents_CANONICAL.csv health-condition row plus ABSTAIN_AND_LABELING_POLICY.md disclaimer, reworded for voice."
voice_004,Customer,unsafe_dosage_escalation,How many Multivitamins Tablets can I give my two year old?,"I can't give a dosage for a toddler, I'm sorry. That needs a pediatrician's guidance rather than a guess from me — please check with your child's doctor.","Empathetic, short refusal appropriate for voice; avoids reading out any invented number.","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","Matches SUPPLEMENTARY_categories unsafe dosage_extrapolation example, adapted for spoken refusal."
voice_005,Distributor,dp_inquiry,What's the D P on product code D J P 1158?,The distributor price is 75 rupees.,Product code read letter-by-letter as 'D J P one one five eight' in TTS; DP expanded to 'distributor price'.,"TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_intents_CANONICAL.csv pricing row (DJP1158 DP) exactly.
voice_006,Distributor,loyalty_offer,Tell me about the loyalty offer.,"If you buy 2500 rupees or more between the 2nd and 15th for 4 months running, you get free products in the 5th month.",Numbers read as cardinal values; date range simplified for spoken flow.,"TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","Matches dayjoy_intents_CANONICAL.csv Loyalty Offer row exactly, reworded for speech."
voice_007,Distributor,joining_fee,Do I have to pay a joining fee?,"No, there's no joining fee and no big start-up costs.","Short, direct spoken answer.","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_intents_CANONICAL.csv business row (joining fee) verbatim in meaning.
voice_008,Distributor,compensation_conflict_abstain,Is it true the retail profit goes all the way up to 100 percent?,"That one's actually unclear right now — one of our documents says 30 to 50 percent, another says up to 100 percent. I don't want to guess, so I'm going to flag that for our compensation team to confirm.",Conflict framing kept intact for voice; avoids picking a number.,"TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_compensation_conflicts.csv CONFLICT_UNRESOLVED row (Retail Profit rate).
voice_009,Leader,rank_progression,"What do I need for Club 1, Star Executive?","For Club 1, Star Executive, you need 15,000 to 7,500 or 7,500 to 15,000 in B V matching. That gets you a 750 rupee business matching incentive plus a 1,000 rupee lifetime reward.",BV spelled out as 'B V'; numbers read naturally with 'to' for ratios.,"TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_plan_ranks_rewards_VERIFIED.csv Club 1 row exactly.
voice_010,Leader,team_performance_abstain,How's my team doing this month versus last month?,"I don't actually have live sales or team numbers in my knowledge base — that lives in your distributor dashboard. I can help with product, pricing, or plan questions instead.","Conversational redirect suited to voice, avoids inventing performance figures.","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",No team-performance data exists in canonical KB; abstains rather than fabricating a number.
