Health Condition,Symptoms,Recommended Products
General Health & Well-being,"Physical retardation, reduced cognitive ability, weakness, tiredness, decreased immunity","Multivitamin Tablets, HB+ Syrup, Calcium Tablet, Golden Elixir/Sea Buckthorn Juice/Super Rich Berry Juice/Super Food Capsule, BR Rich Oil, Vital Protein, L-Arginine"
Diabetes,"Increased thirst, frequent urination, weight loss, extreme hunger, fatigue, blurred vision, slow healing sores, numbness","DiBeat Tablets, Golden Elixir/Sea Buckthorn Juice/Super Food Capsule, Aloe Vera Guava Juice/Nonima Juice, LivEase Syrup"
Heart Diseases,"Abnormal heart rhythm, high BP, chest pain, breathlessness, swollen ankles, fatigue, dizziness, palpitations","Adilipo Tablet, Golden Elixir/Sea Buckthorn Juice/Super Food Capsule/Super Rich Berry Juice, Omega 3-6-9 Softgel Capsules, Gas-O-Free Syrup"
Bone & Joint Problems,"Back/joint pain, stiffness, inflammation, tenderness, fatigue","Orthofix Tablet, Orthofix Oil, Calcium Tablet, Golden Elixir/Sea Buckthorn Juice/Super Food Capsule/Omega 3-6-9 Softgel Capsules"
Liver Diseases,"Yellow skin/eyes, dark urine, pale/black stool, swollen abdomen, nausea, decreased appetite, fatigue, itchy skin, easy bruising, indigestion","Adiliv Tablets, LivEase Syrup, Golden Elixir/Super Rich Berry Juice/Sea Buckthorn Juice/Aloe Vera Guava Juice/Nonima Juice/Gas-O-Free Syrup"
Male Health (Sexual Wellness),"Hypoactive sexual desire, erectile dysfunction, premature ejaculation, low libido","AdilaForte Tablet, Super Food Capsule, Golden Elixir/Super Rich Berry Juice/Sea Buckthorn Juice, Omega 3-6-9 Softgel Capsules"
Female Health (Hormonal Imbalance),"Stress, menstrual problems, depression/anxiety, hormonal imbalance","Adicardial Tablet, Adicardial Syrup, Golden Elixir/Sea Buckthorn Juice/Super Rich Berry Juice, Super Food Capsule"
Female Health (Weakness),"Fatigue, pale/yellow skin, irregular heartbeat, breathlessness, dizziness, weakness, chest pain, cold hands/feet","Multivitamin Tablets, HB+ Syrup, Adicardial Syrup, Golden Elixir/Sea Buckthorn Juice/Super Rich Berry Juice/Super Food Capsule, Omega 3-6-9 Softgel Capsules"
Weight Management,"Skin sensitivity, breathlessness, heart palpitations, sweating, vision changes, rapid weight gain","Ample Meal, Vital Protein, L-Arginine, Sea Buckthorn Juice/Super Food Capsule/Super Rich Berry Juice/Aloe Vera Guava Juice/Nonima Juice"
Skin Problems,"Photo damage, dry skin, slow wound healing, aging, acne, psoriasis","Golden Elixir/Sea Buckthorn Juice/Super Food Capsule, Aloe Vera Guava Juice/Nonima Juice/LivEase Syrup, Aloe Vera Gel, Premium Tulsi Max"
