conversation_id,persona,topic,turns,data_type,notes
conv_labeled_001,Customer,product_info,"[{""role"": ""customer"", ""text"": ""What is Multivitamins Tablets?""}, {""role"": ""assistant"", ""text"": ""Multivitamins Tablets is a HEALTH CARE product by Dayjoy.""}, {""role"": ""customer"", ""text"": ""What's the pack size?""}, {""role"": ""assistant"", ""text"": ""I'd need to check the pack size field for that exact product code (DJP1094) in our pricing database to give you the confirmed figure rather than guess.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","Grounded in dayjoy_intents_CANONICAL.csv row (Multivitamins Tablets, DJP1094). Second turn deliberately routes to structured lookup rather than inventing a pack size not seen in source rows."
conv_labeled_002,Customer,pricing_inquiry,"[{""role"": ""customer"", ""text"": ""What's the MRP of Seabuckthron Scrub (30g)?""}, {""role"": ""assistant"", ""text"": ""The MRP is ₹225.0.""}, {""role"": ""customer"", ""text"": ""And the BV?""}, {""role"": ""assistant"", ""text"": ""I can pull the BV for Seabuckthron Scrub (30g) from our pricing database — let me confirm the exact figure rather than estimate it.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","MRP figure matches dayjoy_intents_CANONICAL.csv exactly. BV not stated in the source row reviewed, so the assistant defers to structured lookup instead of inventing a number."
conv_labeled_003,Customer,health_condition_consultation,"[{""role"": ""customer"", ""text"": ""I have irregular heartbeats, what should I take?""}, {""role"": ""assistant"", ""text"": ""Dayjoy suggests Multi Vitamins Tablets for irregular heartbeats. This is a supplement, not a cure. This is general product information from Dayjoy's own materials and hasn't been independently medically verified. It isn't medical advice — please consult a qualified professional for anything related to a health condition.""}, {""role"": ""customer"", ""text"": ""Will it cure it completely?""}, {""role"": ""assistant"", ""text"": ""No — I can't confirm a cure claim like that. Please see a cardiologist or physician for diagnosis and treatment of irregular heartbeats; Dayjoy's product is a general supplement, not a treatment.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",First answer matches dayjoy_intents_CANONICAL.csv row (health-condition/consultation) verbatim plus the mandatory UNVERIFIED disclaimer from ABSTAIN_AND_LABELING_POLICY.md. Follow-up correctly blocks the cure claim per the SOP's block-or-escalate rule.
conv_labeled_004,Customer,comparison,"[{""role"": ""customer"", ""text"": ""Which is better, Multivitamins Tablets or HB+ (500ml)?""}, {""role"": ""assistant"", ""text"": ""Both are excellent HEALTH CARE products. Choose based on your specific need — happy to walk through what each one is positioned for if that helps.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches dayjoy_intents_CANONICAL.csv comparison/alternative row verbatim.
conv_labeled_005,Customer,refund_policy,"[{""role"": ""customer"", ""text"": ""How do I get a refund?""}, {""role"": ""assistant"", ""text"": ""Refunds for returned products are processed to the original bank account or payment method after inspection.""}, {""role"": ""customer"", ""text"": ""Is cash refund available?""}, {""role"": ""assistant"", ""text"": ""No cash refunds under any circumstances will be made.""}, {""role"": ""customer"", ""text"": ""How many days do I have to return an item?""}, {""role"": ""assistant"", ""text"": ""Returns are accepted within 30 days from the invoice date, and you may return marketable products within 30 days of invoice with the original bill — a 5% handling charge applies.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT","All three answers match dayjoy_intents_CANONICAL.csv policy rows verbatim (refund method, cash refund, 30-day return window with 5% handling charge)."
conv_labeled_006,Customer,unsafe_dosage_escalation,"[{""role"": ""customer"", ""text"": ""What dose of Multivitamins Tablets should I give my 2-year-old?""}, {""role"": ""assistant"", ""text"": ""I can't provide a dosage recommendation for a 2-year-old — dosage information is written for the use-case on the product label and should never be extrapolated to a different age group. Please consult a pediatrician before giving any supplement to a young child.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches SUPPLEMENTARY_categories unsafe example (dosage_extrapolation). No dosage number invented.
conv_labeled_007,Customer,ambiguous_clarification,"[{""role"": ""customer"", ""text"": ""How much is it?""}, {""role"": ""assistant"", ""text"": ""Could you tell me the name of the product you're asking about? Prices vary by item, so I need the product name or code to give you the correct MRP or DP.""}, {""role"": ""customer"", ""text"": ""Sorry — Haldi Powder (500g).""}, {""role"": ""assistant"", ""text"": ""How much is in one pack of Haldi Powder (500g)? The pack size is 500g. Let me also pull the MRP and DP for you from the pricing database.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Clarification pattern matches SUPPLEMENTARY_categories ambiguous example. Pack-size fact matches dayjoy_intents_CANONICAL.csv row verbatim.
conv_labeled_008,Customer,unsupported_claim,"[{""role"": ""customer"", ""text"": ""Is Dayjoy's Multivitamins Tablets clinically proven to cure diabetes?""}, {""role"": ""assistant"", ""text"": ""I can't confirm that claim. Dayjoy's own materials describe Multivitamins Tablets as a general supplement, and I don't have a clinical study on file linking it to curing diabetes. Please consult a qualified physician for diagnosis or treatment of diabetes.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches SUPPLEMENTARY_categories unsupported_claims example; cure claim blocked per ABSTAIN_AND_LABELING_POLICY.md.
conv_labeled_009,Customer,general_chitchat,"[{""role"": ""customer"", ""text"": ""Hi, how are you?""}, {""role"": ""assistant"", ""text"": ""Hello! I'm doing well and ready to help with any Dayjoy product, pricing, or business questions you have.""}, {""role"": ""customer"", ""text"": ""Thanks, is Dayjoy FSSAI approved?""}, {""role"": ""assistant"", ""text"": ""Yes, Dayjoy holds FSSAI License Number 12224999000129 valid until 2030.""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Greeting matches general_ai supplementary style; FSSAI fact matches dayjoy_intents_CANONICAL.csv compliance row verbatim.
conv_labeled_010,Customer,out_of_domain_redirect,"[{""role"": ""customer"", ""text"": ""Can you recommend a good stock to invest in?""}, {""role"": ""assistant"", ""text"": ""I'm not able to give investment or stock recommendations — that's outside my scope as Dayjoy's product and business assistant, and it's the kind of decision best made with a licensed financial advisor. Happy to help with anything about Dayjoy products or pricing though!""}]","TRAINING/EVALUATION DATA — SYNTHETIC, NOT A COMPANY FACT",Matches SUPPLEMENTARY_categories out_of_domain example.
