file,category,sub_category,product_name,caption,alt_text,seo_title,description,slug,width,height
Sunscreen.jpg,skin care,sunscreen,AMARA Super Bright Sunscreen SPF 50+,AMARA Super Bright Sunscreen SPF 50+ for sunscreen.,AMARA Super Bright Sunscreen SPF 50+ product image.,AMARA Super Bright Sunscreen SPF 50+ | Dayjoy,AMARA Super Bright Sunscreen SPF 50+ product image for skin care collection.,amara-super-bright-sunscreen-spf-50plus,1080.0,1172.0
hydra.jpg,skin care,moisturizer,AMARA Hydra Max Water Gel Moisturizer,AMARA Hydra Max Water Gel Moisturizer for moisturizer.,AMARA Hydra Max Water Gel Moisturizer product image.,AMARA Hydra Max Water Gel Moisturizer | Dayjoy,AMARA Hydra Max Water Gel Moisturizer product image for skin care collection.,amara-hydra-max-water-gel-moisturizer,1080.0,1172.0
face-serum.jpg,skin care,serum,AMARA Face Serum,AMARA Face Serum for serum.,AMARA Face Serum product image.,AMARA Face Serum | Dayjoy,AMARA Face Serum product image for skin care collection.,amara-face-serum,1080.0,1172.0
Anti_Aging_Night_Cream.jpg,skin care,night cream,AMARA Anti-Aging Night Cream,AMARA Anti-Aging Night Cream for night cream.,AMARA Anti-Aging Night Cream product image.,AMARA Anti-Aging Night Cream | Dayjoy,AMARA Anti-Aging Night Cream product image for skin care collection.,amara-anti-aging-night-cream,1350.0,1080.0
AMARA_AcneX.jpg,skin care,cleanser,AMARA AcneX Foaming Cleanser,AMARA AcneX Foaming Cleanser for cleanser.,AMARA AcneX Foaming Cleanser product image.,AMARA AcneX Foaming Cleanser | Dayjoy,AMARA AcneX Foaming Cleanser product image for skin care collection.,amara-acnex-foaming-cleanser,1080.0,1447.0
Dishwash.jpg,home care,dishwash,HomeShine Dishwash Liquid Gel,HomeShine Dishwash Liquid Gel for dishwash.,HomeShine Dishwash Liquid Gel product image.,HomeShine Dishwash Liquid Gel | Dayjoy,HomeShine Dishwash Liquid Gel product image for home care collection.,homeshine-dishwash-liquid-gel,1075.0,1166.0
liquid-detergent.jpg,home care,detergent,HomeShine Liquid Detergent,HomeShine Liquid Detergent for detergent.,HomeShine Liquid Detergent product image.,HomeShine Liquid Detergent | Dayjoy,HomeShine Liquid Detergent product image for home care collection.,homeshine-liquid-detergent,1075.0,1166.0
All-in-1-Surface-Cleaner.jpg,home care,surface cleaner,HomeShine All in 1 Surface Cleaner,HomeShine All in 1 Surface Cleaner for surface cleaner.,HomeShine All in 1 Surface Cleaner product image.,HomeShine All in 1 Surface Cleaner | Dayjoy,HomeShine All in 1 Surface Cleaner product image for home care collection.,homeshine-all-in-1-surface-cleaner,1075.0,1166.0
Toilet-Cleaner.jpg,home care,toilet cleaner,HomeShine Toilet Bowl Cleaner,HomeShine Toilet Bowl Cleaner for toilet cleaner.,HomeShine Toilet Bowl Cleaner product image.,HomeShine Toilet Bowl Cleaner | Dayjoy,HomeShine Toilet Bowl Cleaner product image for home care collection.,homeshine-toilet-bowl-cleaner,1075.0,1166.0
Magentic-Braslet.jpg,biogermanium and magnetic bracelet,magnetic bracelet,Magnetic Bracelet,Magnetic Bracelet for magnetic bracelet.,Magnetic Bracelet product image.,Magnetic Bracelet | Dayjoy,Magnetic Bracelet product image for biogermanium and magnetic bracelet collection.,magnetic-bracelet,1080.0,1440.0
Bio-GermaniumMattress_pack2.jpg,biogermanium and magnetic mattress,bio-germanium mattress,Bio-Germanium Mattress,Bio-Germanium Mattress for bio germanium mattress.,Bio-Germanium Mattress product image.,Bio-Germanium Mattress | Dayjoy,Bio-Germanium Mattress product image for biogermanium and magnetic mattress collection.,bio-germanium-mattress,1080.0,1172.0
AmaraBeauty_Eyeliner.jpg,cosmetics,eyeliner,Amara Beauty Eyeliner,Amara Beauty Eyeliner for eyeliner.,Amara Beauty Eyeliner product image.,Amara Beauty Eyeliner | Dayjoy,Amara Beauty Eyeliner product image for cosmetics collection.,amara-beauty-eyeliner,1075.0,1166.0
KAJAL.jpg,cosmetics,kajal,Amara Beauty Kajal,Amara Beauty Kajal for kajal.,Amara Beauty Kajal product image.,Amara Beauty Kajal | Dayjoy,Amara Beauty Kajal product image for cosmetics collection.,amara-beauty-kajal,1075.0,1166.0
AquaEnergiser-Mockup-1.jpg,aqua essential,aqua energiser,Aqua Energiser,Aqua Energiser for aqua energiser.,Aqua Energiser product image.,Aqua Energiser | Dayjoy,Aqua Energiser product image for aqua essential collection.,aqua-energiser,716.0,777.0
Perfect-ion-2.jpg,aqua essential,water purifier/ionizer,Perfect-ion,Perfect-ion for water purifier/ionizer.,Perfect-ion product image.,Perfect-ion | Dayjoy,Perfect-ion product image for aqua essential collection.,perfect-ion,1080.0,1080.0
Premiumsuitlengthblack.jpg,cloth,suit length,Domatti Premium Suit Length Black,Domatti Premium Suit Length Black for suit length.,Domatti Premium Suit Length Black product image.,Domatti Premium Suit Length Black | Dayjoy,Domatti Premium Suit Length Black product image for cloth collection.,domatti-premium-suit-length-black,830.0,926.0
Mask.jpg,cloth,designer mask,Domatti Designer Masks,Domatti Designer Masks for designer mask.,Domatti Designer Masks product image.,Domatti Designer Masks | Dayjoy,Domatti Designer Masks product image for cloth collection.,domatti-designer-masks,901.0,901.0
DayjoyNecktie.jpg,cloth,necktie,Dayjoy Necktie,Dayjoy Necktie for necktie.,Dayjoy Necktie product image.,Dayjoy Necktie | Dayjoy,Dayjoy Necktie product image for cloth collection.,dayjoy-necktie,1075.0,1166.0
NanoTech46_500ml.jpg,agriculture,plant growth regulator,HappyGrow Nano-Tech 46,HappyGrow Nano-Tech 46 product image.,HappyGrow Nano-Tech 46 product image.,HappyGrow Nano-Tech 46 | Dayjoy,HappyGrow Nano-Tech 46 product image for agriculture.,happygrow-nano-tech-46,,
Joy_1.jpg,agriculture,agriculture input,Joy agricultural product,Joy agricultural product product image.,Joy agricultural product product image.,Joy agricultural product | Dayjoy,Joy agricultural product product image for agriculture.,joy-agricultural-product,,
NanoTech19_500ml.jpg,agriculture,plant growth regulator,HappyGrow Nano-Tech 19,HappyGrow Nano-Tech 19 product image.,HappyGrow Nano-Tech 19 product image.,HappyGrow Nano-Tech 19 | Dayjoy,HappyGrow Nano-Tech 19 product image for agriculture.,happygrow-nano-tech-19,,
Prosperous1ltr.jpg,agriculture,crop nutrition,HappyGrow Prosperous,HappyGrow Prosperous product image.,HappyGrow Prosperous product image.,HappyGrow Prosperous | Dayjoy,HappyGrow Prosperous product image for agriculture.,happygrow-prosperous,,
Joygrow-2x.jpg,agriculture,organic matter,HappyGrow JoyGrow 2X,HappyGrow JoyGrow 2X product image.,HappyGrow JoyGrow 2X product image.,HappyGrow JoyGrow 2X | Dayjoy,HappyGrow JoyGrow 2X product image for agriculture.,happygrow-joygrow-2x,,
Joyspread_80l.jpg,agriculture,activator spreader,HappyGrow JoySpread 80+,HappyGrow JoySpread 80+ product image.,HappyGrow JoySpread 80+ product image.,HappyGrow JoySpread 80+ | Dayjoy,HappyGrow JoySpread 80+ product image for agriculture.,happygrow-joyspread-80plus,,
Joy_o_zyme_1.jpg,agriculture,organic plant extract,HappyGrow Joy-O-Zyme,HappyGrow Joy-O-Zyme product image.,HappyGrow Joy-O-Zyme product image.,HappyGrow Joy-O-Zyme | Dayjoy,HappyGrow Joy-O-Zyme product image for agriculture.,happygrow-joy-o-zyme,,
Joycalcium.jpg,agriculture,calcium supplement,HappyGrow Joy Calcium,HappyGrow Joy Calcium product image.,HappyGrow Joy Calcium product image.,HappyGrow Joy Calcium | Dayjoy,HappyGrow Joy Calcium product image for agriculture.,happygrow-joy-calcium,,
Happy_Soil_Humic_500ml.jpg,agriculture,humic acid,HappyGrow Happy Soil Humic,HappyGrow Happy Soil Humic product image.,HappyGrow Happy Soil Humic product image.,HappyGrow Happy Soil Humic | Dayjoy,HappyGrow Happy Soil Humic product image for agriculture.,happygrow-happy-soil-humic,,
Udaan.jpg,agriculture,combo package,Udaan Combo,Udaan Combo product image.,Udaan Combo product image.,Udaan Combo | Dayjoy,Udaan Combo product image for agriculture.,udaan-combo,,
Raftar-package.jpg,agriculture,combo package,Raftaar Package,Raftaar Package product image.,Raftaar Package product image.,Raftaar Package | Dayjoy,Raftaar Package product image for agriculture.,raftaar-package,,
Suit-lenght-Combo.jpg,cloth,combo package,Suit Length Combo,Suit Length Combo product image.,Suit Length Combo product image.,Suit Length Combo | Dayjoy,Suit Length Combo product image for cloth.,suit-length-combo,,
Master-package.jpg,mixed bundle,combo package,Master Package,Master Package product image.,Master Package product image.,Master Package | Dayjoy,Master Package product image for mixed bundle.,master-package,,
Tez-combo.jpg,mixed bundle,combo package,Tez Combo,Tez Combo product image.,Tez Combo product image.,Tez Combo | Dayjoy,Tez Combo product image for mixed bundle.,tez-combo,,
Diva-Basic.jpg,mixed bundle,combo package,Diva Basic Combo,Diva Basic Combo product image.,Diva Basic Combo product image.,Diva Basic Combo | Dayjoy,Diva Basic Combo product image for mixed bundle.,diva-basic-combo,,
Diva-Super.jpg,mixed bundle,combo package,Diva Super Combo,Diva Super Combo product image.,Diva Super Combo product image.,Diva Super Combo | Dayjoy,Diva Super Combo product image for mixed bundle.,diva-super-combo,,
Agni-Combo.jpg,mixed bundle,combo package,Agni Combo,Agni Combo product image.,Agni Combo product image.,Agni Combo | Dayjoy,Agni Combo product image for mixed bundle.,agni-combo,,
Haldi200gm.jpg,food products,haldi powder,Aayushmaan Haldi Powder 200g,Aayushmaan Haldi Powder 200g product image.,Aayushmaan Haldi Powder 200g product image.,Aayushmaan Haldi Powder 200g | Dayjoy,Aayushmaan Haldi Powder 200g product image for food products.,aayushmaan-haldi-powder-200g,,
