product_name,mention_count,insight_type,basis
Regain Aloevera Shampoo (300ml),23,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Seabuckthron Cleanser (30g),18,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Nano Tech-52 (500ml),17,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Shilajit Gummies (60 Gummies),17,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Vital Protein Powder (300gm),17,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Seabuckthron Face Pack (30g),16,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Hydra Aloevera Body Lotion (300ml),16,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Perfect-Ion Testing Solutions,16,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
New Dayjoy Product Brochure (English),16,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
"T-shirt New Design (L, M, XL)",16,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Milk Bath Soap (Pack of 3) (100g),16,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Mirchi Powder (500g),16,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Premium Suit Length (Black),16,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Dayjoy Backpack Bag,16,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
WildMuse Premium Loofah,16,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Nano Tech-19 (500ml),16,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Dhaniya Powder (25g),15,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Anti Pollution Aloevera Face Wash (100ml),15,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Adicardial Syrup (500ml),15,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Seabuckthron Facial Fluid (10ml),15,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Premium Tulsi Max (30ml),15,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Amla Reetha Sikakai Shampoo (100ml),15,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Adicardial (120 Tab),15,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
JoySpread 80+ Gold (100ml),15,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
Dayjoy Cap,14,best_selling_proxy,"Ranked by frequency of product mentions across unified corpus; proxy only, not actual sales."
