Recommendation_ID,Category,Category_Slug,Problem_or_Condition,Condition_Slug,Subcondition,Recommended_Product_1,Recommended_Product_2,Recommended_Product_3,Recommended_Product_4,All_Recommended_Products,Usage_or_Notes,Priority,Source_Page,Confidence,Original_Text_Snippet
REC-0001,GENERAL HEALTH & WELL-BEING,general-health-well-being,Physical Retardation,physical-retardation,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX,,,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX,Golden Elixir: 1-2 times daily before meals. Sea Buckthorn: 20-30 ml twice daily.,High,60,High,Physical Retardation
REC-0002,GENERAL HEALTH & WELL-BEING,general-health-well-being,Reduced Cognitive abilities,reduced-cognitive-abilities,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX,,,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX,Golden Elixir: 1-2 times daily before meals. Sea Buckthorn: 20-30 ml twice daily.,High,60,High,Reduced Cognitive abilities
REC-0003,GENERAL HEALTH & WELL-BEING,general-health-well-being,Weakness OR Tiredness,weakness-or-tiredness,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX,,,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX,Golden Elixir: 1-2 times daily before meals. Sea Buckthorn: 20-30 ml twice daily.,High,60,High,Weakness OR Tiredness
REC-0004,GENERAL HEALTH & WELL-BEING,general-health-well-being,Decreased Immunity,decreased-immunity,,ALOE VERA GUAVA JUICE OR NONIMA JUICE,MULTI VITAMINS TABLETS,,,ALOE VERA GUAVA JUICE | NONIMA JUICE | MULTI VITAMINS TABLETS,Aloe Vera Guava: 20-30 ml twice daily. Multi Vitamins: 1 tablet daily.,High,60,High,Decreased Immunity
REC-0005,DIABETES,diabetes,Increased Thirst,increased-thirst,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,DIBEAT TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Increased Thirst
REC-0006,DIABETES,diabetes,Frequent Urination,frequent-urination,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,DIBEAT TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Frequent Urination
REC-0007,DIABETES,diabetes,Unexplained Weight loss,unexplained-weight-loss,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,DIBEAT TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Unexplained Weight loss
REC-0008,DIABETES,diabetes,Extreme Hunger,extreme-hunger,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,DIBEAT TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Extreme Hunger
REC-0009,DIABETES,diabetes,Fatigue,fatigue,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,DIBEAT TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Fatigue
REC-0010,DIABETES,diabetes,Blurred Vision,blurred-vision,,DIBEAT TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,LIVEASE SYRUP,DIBEAT TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP,"Dibeat Tablets: 1-2 tablets twice daily. Consume high fiber fruits, replace normal wheat roti with Multigrain.",High,61,High,Blurred Vision
