Product_Name,Mentioned_For,Category,Source_Page,Recommendation_ID
ADICARDIAL SYRUP,Depression & Anxiety,FEMALE HEALTH (HORMONAL IMBALANCE),70,REC-0070
ADICARDIAL SYRUP,Hormonal Imbalance,FEMALE HEALTH (HORMONAL IMBALANCE),70,REC-0071
ADICARDIAL SYRUP,"Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)",FEMALE HEALTH (HORMONAL IMBALANCE),70,REC-0069
ADICARDIAL SYRUP,Stress,FEMALE HEALTH (HORMONAL IMBALANCE),70,REC-0068
ADICARDIAL SYRUP,Chest Pain,FEMALE HEALTH (WEAKNESS),71,REC-0078
ADICARDIAL SYRUP,Cold Hands and Feet,FEMALE HEALTH (WEAKNESS),71,REC-0079
ADICARDIAL SYRUP,Dizziness or Light Headedness,FEMALE HEALTH (WEAKNESS),71,REC-0076
ADICARDIAL SYRUP,Fatigue,FEMALE HEALTH (WEAKNESS),71,REC-0072
ADICARDIAL SYRUP,Irregular Heartbeats,FEMALE HEALTH (WEAKNESS),71,REC-0074
ADICARDIAL SYRUP,Pale or Yellowish Skin,FEMALE HEALTH (WEAKNESS),71,REC-0073
ADICARDIAL SYRUP,Shortness of Breath,FEMALE HEALTH (WEAKNESS),71,REC-0075
ADICARDIAL SYRUP,Weakness,FEMALE HEALTH (WEAKNESS),71,REC-0077
ADICARDIAL SYRUP,Anxiety,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0117
ADICARDIAL SYRUP,Difficulty concentrating,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0118
ADICARDIAL SYRUP,Disturbed bowel movements,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0120
ADICARDIAL SYRUP,Fatigue,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0119
ADICARDIAL SYRUP,Hair loss,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0122
ADICARDIAL SYRUP,Hand tremor,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0123
ADICARDIAL SYRUP,Heat intolerance,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0124
ADICARDIAL SYRUP,Weight Gain,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0121
ADICARDIAL TABLET,Depression & Anxiety,FEMALE HEALTH (HORMONAL IMBALANCE),70,REC-0070
ADICARDIAL TABLET,Hormonal Imbalance,FEMALE HEALTH (HORMONAL IMBALANCE),70,REC-0071
ADICARDIAL TABLET,"Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)",FEMALE HEALTH (HORMONAL IMBALANCE),70,REC-0069
ADICARDIAL TABLET,Stress,FEMALE HEALTH (HORMONAL IMBALANCE),70,REC-0068
ADICARDIAL TABLET,Anxiety,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0117
ADICARDIAL TABLET,Difficulty concentrating,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0118
ADICARDIAL TABLET,Disturbed bowel movements,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0120
ADICARDIAL TABLET,Fatigue,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0119
ADICARDIAL TABLET,Hair loss,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0122
ADICARDIAL TABLET,Hand tremor,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0123
ADICARDIAL TABLET,Heat intolerance,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0124
ADICARDIAL TABLET,Weight Gain,THYROID PREFERABLY (HYPOTHYROIDISM),78,REC-0121
ADILAFORTE TABLET,Erectile Dysfunction,MALE HEALTH ISSUES,69,REC-0065
ADILAFORTE TABLET,Hypoactive Sexual Desire Disorder,MALE HEALTH ISSUES,69,REC-0064
ADILAFORTE TABLET,Lack of libido,MALE HEALTH ISSUES,69,REC-0067
ADILAFORTE TABLET,Premature Ejaculation,MALE HEALTH ISSUES,69,REC-0066
ADILIPO TABLET,Difficulty in Planning and Carrying out tasks,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),74,REC-0097
ADILIPO TABLET,Disturbed Concentration,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),74,REC-0093
ADILIPO TABLET,Memory loss,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),74,REC-0095
ADILIPO TABLET,Sleeplessness,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),74,REC-0094
ADILIPO TABLET,Trouble in Exercising Judgment,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),74,REC-0096
ADILIPO TABLET,Abnormal Heart Rhythms,HEART DISEASES,62,REC-0013
ADILIPO TABLET,Chest Pain,HEART DISEASES,62,REC-0015
ADILIPO TABLET,Dizziness or Fainting,HEART DISEASES,62,REC-0019
ADILIPO TABLET,Fatigue,HEART DISEASES,62,REC-0018
ADILIPO TABLET,High Blood Pressure,HEART DISEASES,62,REC-0014
ADILIPO TABLET,Palpitations,HEART DISEASES,62,REC-0020
ADILIPO TABLET,Shortness of Breath,HEART DISEASES,62,REC-0016
ADILIPO TABLET,Swollen Ankles,HEART DISEASES,62,REC-0017
ADILIPO TABLET,Abnormal or weak reflexes,SCIATICA,76,REC-0106
ADILIPO TABLET,Difficulty bending the foot,SCIATICA,76,REC-0104
ADILIPO TABLET,Difficulty walking on your toes,SCIATICA,76,REC-0105
ADILIPO TABLET,Loss of sensation or numbness,SCIATICA,76,REC-0107
ADILIPO TABLET,Pain when lifting the leg,SCIATICA,76,REC-0108
ADILIPO TABLET,Weakness when bending the knee,SCIATICA,76,REC-0103
ADILIPO TABLET,An achy or heavy feeling in the legs,"VARICOSE VEINS (TWISTED, ENLARGED VEINS)",75,REC-0098
ADILIPO TABLET,"Burning, throbbing, muscle cramping and swelling in the lower legs","VARICOSE VEINS (TWISTED, ENLARGED VEINS)",75,REC-0099
ADILIPO TABLET,Change Skin Color around a varicose vein,"VARICOSE VEINS (TWISTED, ENLARGED VEINS)",75,REC-0102
ADILIPO TABLET,Itching around one or more of the veins,"VARICOSE VEINS (TWISTED, ENLARGED VEINS)",75,REC-0101
ADILIPO TABLET,Worsened pain after sitting or standing for a long time,"VARICOSE VEINS (TWISTED, ENLARGED VEINS)",75,REC-0100
ADILIV TABLETS,Abdominal Pain,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0042
ADILIV TABLETS,Bloating,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0037
ADILIV TABLETS,Constipation,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0043
ADILIV TABLETS,Excessive Production of Gastric Acid,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0036
ADILIV TABLETS,Gas,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0038
ADILIV TABLETS,Heartburn,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0041
ADILIV TABLETS,Loss of Appetite,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0040
ADILIV TABLETS,Vomiting,DIGESTION PROBLEMS (INDIGESTION & ACIDITY),65,REC-0039
ADILIV TABLETS,Continuous Fatigue,LIVER DISEASES,64,REC-0032
ADILIV TABLETS,Dark Urine,LIVER DISEASES,64,REC-0027
ADILIV TABLETS,Decreased Appetite,LIVER DISEASES,64,REC-0031
ADILIV TABLETS,Easy Bruising,LIVER DISEASES,64,REC-0034
ADILIV TABLETS,Indigestion,LIVER DISEASES,64,REC-0035
ADILIV TABLETS,Itchy Skin,LIVER DISEASES,64,REC-0033
ADILIV TABLETS,Nausea/Vomiting,LIVER DISEASES,64,REC-0030
ADILIV TABLETS,"Pale, Bloody, or Black Stool",LIVER DISEASES,64,REC-0028
ADILIV TABLETS,"Swollen Ankles, Legs or Abdomen",LIVER DISEASES,64,REC-0029
ADILIV TABLETS,Yellow Skin and Eyes,LIVER DISEASES,64,REC-0026
ADILIV TABLETS,Bright Red Blood in Stools an Itchy Anus,PILES/FISSURE,66,REC-0044
ADILIV TABLETS,Feeling Like You Still Need To Poo After going to the Toilet,PILES/FISSURE,66,REC-0045
ADILIV TABLETS,Pain Around Your Anus,PILES/FISSURE,66,REC-0047
ADILIV TABLETS,Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom,PILES/FISSURE,66,REC-0046
ALOE VERA GEL,"Acne, Psoriasis",SKIN PROBLEMS,73,REC-0092
ALOE VERA GEL,Aging,SKIN PROBLEMS,73,REC-0090
ALOE VERA GEL,Dry Skin,SKIN PROBLEMS,73,REC-0088
ALOE VERA GEL,Photo Damage (UV Rays),SKIN PROBLEMS,73,REC-0087
ALOE VERA GEL,Skin Disorders,SKIN PROBLEMS,73,REC-0091
ALOE VERA GEL,Slow Wound Healing,SKIN PROBLEMS,73,REC-0089
ALOE VERA GUAVA JUICE,Blurred Vision,DIABETES,61,REC-0010
ALOE VERA GUAVA JUICE,Extreme Hunger,DIABETES,61,REC-0008
ALOE VERA GUAVA JUICE,Fatigue,DIABETES,61,REC-0009
