gap_id,entity_type,product_code,sku,product_name,field_name,current_value,required_from_team,owner,priority,source_document,status,deadline
GAP-00001,faq,DJP1000,DJ-FOO-0001,,target_customer,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",Approved target customer / usage guidance,Dayjoy QA / Regulatory / Product Content,P2,Various Documents,needs_review,
GAP-00002,faq,DJP1000,DJ-FOO-0001,,shelf_life,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,Approved shelf life / expiry statement,Dayjoy QA / Regulatory / Product Content,P2,Various Documents,missing,
GAP-00003,faq,DJP1000,DJ-FOO-0001,,ingredients,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,Approved ingredient statement or label copy,Dayjoy QA / Regulatory / Product Content,P1,Various Documents,missing,
GAP-00004,faq,DJP1000,DJ-FOO-0001,,contraindications,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,Approved contraindications / who should avoid,Dayjoy QA / Regulatory / Product Content,P1,Various Documents,missing,
GAP-00005,faq,DJP1000,DJ-FOO-0001,,dosage,This specific item comes in a 200g pack size.,Approved dosage / pack-size statement,Dayjoy QA / Regulatory / Product Content,P2,Various Documents,needs_review,
GAP-00006,faq,DJP1001,DJ-FOO-0002,,target_customer,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",Approved target customer / usage guidance,Dayjoy QA / Regulatory / Product Content,P2,Various Documents,needs_review,
GAP-00007,faq,DJP1001,DJ-FOO-0002,,shelf_life,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,Approved shelf life / expiry statement,Dayjoy QA / Regulatory / Product Content,P2,Various Documents,missing,
GAP-00008,faq,DJP1001,DJ-FOO-0002,,ingredients,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,Approved ingredient statement or label copy,Dayjoy QA / Regulatory / Product Content,P1,Various Documents,missing,
GAP-00009,faq,DJP1001,DJ-FOO-0002,,contraindications,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,Approved contraindications / who should avoid,Dayjoy QA / Regulatory / Product Content,P1,Various Documents,missing,
GAP-00010,faq,DJP1001,DJ-FOO-0002,,dosage,This specific item comes in a 100g pack size.,Approved dosage / pack-size statement,Dayjoy QA / Regulatory / Product Content,P2,Various Documents,needs_review,
