task_id,category,missing_information,why_needed,preferred_source,priority,status
T001,products,Confirm whether Dayjoy_Products_Catalog.csv (86 items) is the same catalog as the 170-SKU DJP line or a separate line,Determines whether canonical product master is complete or missing 86 products,You / Dayjoy product team confirmation,CRITICAL,"RESOLVED 2026-08-09 — user confirmed same catalog; 85/86 items merged into canonical product master (1 declined, no confident match). See 01_CANONICAL/products/T001_CATALOG_MERGE_SUMMARY.md"
T002,images,Actual product image files (png/jpg) for all 170 SKUs,Metadata references images that don't exist; AI cannot show/confirm product appearance,Dayjoy marketing/product team image library,CRITICAL,"PARTIALLY RESOLVED 2026-08-09 — 120/170 products now have a real image (uploaded set covered 108 unique SKUs, some with multiple photos). 62 products still have no image; 8 uploaded images could not be confidently matched. See 06_IMAGES/T002_IMAGE_INTEGRATION_SUMMARY.md"
T003,compensation,Structured compensation plan: joining requirements/rank structure/binary tree rules/bonus formulas/royalty rules/reward tiers/eligibility/promotion criteria/commission rates with definitions,Only a 1-2KB stub exists; real detail is buried in an unstructured 73KB narrative doc,Official Dayjoy compensation plan document (not the narrative doc alone -- needs official source verification),CRITICAL,"RESOLVED 2026-08-09 — GrowthX Plan Presentation PDF OCR'd and cross-verified against existing compensation data. Rank/reward table 100% verified accurate. 3 real conflicts found (retail profit %, mentorship bonus %, business matching structure) -- flagged, not silently resolved. New verified data added (cashback clubs, loyalty programs, eligibility, T&Cs). See 01_CANONICAL/compensation/dayjoy_compensation_conflicts.csv"
T004,qa,Golden question set with expected answers (min. 100-200 real customer/distributor questions with verified correct answers),No way to evaluate whether the AI answers correctly before/after launch,Dayjoy support team + product team collaboration,CRITICAL,"PARTIALLY RESOLVED 2026-08-09 — 169-question golden set built from verified canonical sources only (pricing, compensation ranks, company, FAQ). Covers factual/retrieval accuracy only, not conversational quality or edge cases -- see 09_QA/golden_questions/README.md for scope limits."
T005,support,Refund policy (structured),Zero support content exists,Official Dayjoy refund policy document,HIGH,open
T006,support,Replacement/return policy (structured),Zero support content exists,Official Dayjoy policy document,HIGH,open
T007,support,Shipping and delivery SLA/TAT by region,Zero support content exists,Official Dayjoy logistics/ops team,HIGH,open
T008,support,Complaint and escalation process with contacts,Zero support content exists,Official Dayjoy support team,HIGH,open
T009,training,Onboarding / beginner training material for new distributors,Zero training content exists,Official Dayjoy training team,HIGH,open
T010,training,Sales scripts and objection handling guide,Zero training content exists,Official Dayjoy training team,HIGH,open
T011,training,Follow-up and retention playbook,Zero training content exists,Official Dayjoy training team,HIGH,open
T012,company,Structured mission/vision/history/leadership/manufacturing/certifications fields,Only thin CSVs + one narrative doc exist; no structured fields for these attributes,Official Dayjoy company profile / About Us document,HIGH,open
T013,ai_datasets,Reconcile or deliberately keep separate: pipeline A (1527-row) vs pipeline B (4000-row) intent datasets,Retrieval could return conflicting answers to the same question from two different sets,Decision by you / AI team on retrieval strategy,HIGH,RESOLVED 2026-08-09 — pipeline B found to be pipeline A padded with duplicate rows (4000 rows / 1531 unique). Deduplicated and merged into dayjoy_intents_CANONICAL.csv. See 03_AI_DATASETS/intents/T013_RECONCILIATION_NOTE.md
T014,rag,Reconcile or deliberately keep separate: pipeline A (2242-row) vs pipeline B (4000-row) RAG chunk sets,Same risk as T013 for RAG retrieval,Decision by you / AI team on retrieval strategy,HIGH,RESOLVED 2026-08-09 — pipeline A found to be the real sourced RAG corpus (chunked from canonical FAQ/product/pricing/policy); pipeline B found 100% redundant with the intent dataset. Pipeline A adopted as sole canonical RAG corpus. See 04_RAG/chunks/T014_RECONCILIATION_NOTE.md
T015,database,Diff dayjoy_database_schema.sql against dayjoy_postgresql_schema.sql for conflicting table definitions,Two schema files never verified consistent,Engineering review,HIGH,"RESOLVED 2026-08-09 — the two schema files were never actually in conflict (supplement is purely additive). One real overlap found (two competing chunk-storage table designs) and resolved by recommendation, justified by the T014 finding. See 05_DATABASE/schema/T015_SCHEMA_RECONCILIATION.md"
T016,relationships,Close out open items in dayjoy_product_relationships_OPEN_REVIEW_ITEMS.csv (62KB of flagged items),Unclear how many relationships are still provisional,Dayjoy product team review,MEDIUM,open
T017,relationships,Build queryable knowledge graph from flat relationship CSV,02_RELATIONSHIPS/knowledge_graph/ is empty,Engineering build task once relationships are finalized,MEDIUM,open
T018,database,Establish migration history/versioning for schema changes,05_DATABASE/migrations/ is empty; schema is a single undated snapshot,Engineering process going forward,MEDIUM,open
T019,rag,Tune/expand search ranking rules (currently 579 bytes -- likely a stub),Retrieval quality depends on this,AI/RAG engineer,MEDIUM,open
T020,ai_datasets,Voice AI conversation examples,Architecture docs describe a Voice AI Architecture with no matching dataset,Product team decision on whether voice channel is in scope yet,LOW,open
T021,ai_datasets,Customer support conversation examples (distinct from general memory examples),03_AI_DATASETS/support/ is empty,Real support transcripts (anonymized) or team-authored examples,LOW,open
T022,analytics,Define refresh cadence / source query for analytics exports,Current exports are point-in-time with no pipeline described,Engineering/analytics team,LOW,open
