club_no,club_name,rank,bv_matching_criteria,business_matching_incentive_rs,mentorship_incentive_rs,lifetime_reward_rs,reward_description,total_income_base_rs,source_file_id,source_page,content_type,for_use,verification_status,authoritative_source
1,Club 1,Star Executive,"15,000:7,500 or 7,500:15,000",750,,"1,000",Lifetime Reward,"1,750",file:124,36,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
2,Club 2,Super Star Executive,"22,500:22,500","2,250","1,125","3,000",Lifetime Reward,"6,375",file:124,36,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
3,Club 3,Silver Executive,"45,000:45,000","4,500","2,250","6,000",Lifetime Reward,"12,750",file:124,36,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
4,Club 4,Gold Director,"1,12,500:1,12,500","11,250","5,625","15,000",Lifetime Reward,"31,875",file:124,36,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
5,Club 5,Ruby Director,"2,25,000:2,25,000","22,500","11,250","30,000",Lifetime Reward,"63,750",file:124,37,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
6,Club 6,Platinum Director,"5,62,500:5,62,500","56,250","28,125","75,000",For Bike or iPhone,"1,54,375",file:124,38,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
7,Club 7,Emerald Vice President,"15,00,000:15,00,000","1,50,000","75,000","2,00,000",For Hatchback Car,"4,25,000",file:124,39,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
8,Club 8,Sapphire Vice President,"37,50,000:37,50,000","3,75,000","1,87,500","5,00,000",For SUV Car,"10,37,500",file:124,40,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
9,Club 9,Diamond President,"93,75,000:93,75,000","9,37,500","4,68,750","10,00,000",For Gold; Mumbai-Goa Cruise Trip (2N/3D | Couple Tour),"25,06,250",file:124,41,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
10,Club 10,Blue Diamond,"2,25,00,000:2,25,00,000","22,50,000","11,25,000","25,00,000",For Luxury Car; Dubai Trip (4N/5D | Couple Tour),"60,25,000",file:124,42,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
11,Club 11,Black Diamond,"5,62,50,000:5,62,50,000","56,25,000","28,12,500","60,00,000",For Flat; Singapore Trip (5N/6D | Family Tour: 2 Adults & 2 Children),"1,47,37,500",file:124,43,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
12,Club 12,Crown,"11,25,00,000:11,25,00,000","1,12,50,000","56,25,000","1,00,00,000",Dream Villa; Hongkong & Macau Trip (6N/7D | Family Tour: 2 Adults & 2 Children),"2,73,75,000",file:124,44,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
13,Club 13,Royal Crown,"22,50,00,000:22,50,00,000","2,25,00,000","1,12,50,000","2,00,00,000",For Ferrari Car; Switzerland & Paris Trip (6N/7D | Couple Tour),"5,42,50,000",file:124,45,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
14,Club 14,Universal Crown,"56,25,00,000:56,25,00,000","5,62,50,000","2,81,25,000","4,25,00,000",South Africa Tour (7N/8D | Couple Tour),"12,73,75,000",file:124,46,plan_rank,dayjoy_gpt_search,"VERIFIED — every field cross-checked against OCR of Dayjoy GrowthX Plan Presentation_choladeck.pdf pages 36-51 on 2026-08-09, exact match",Dayjoy GrowthX Plan Presentation_choladeck.pdf
