conversation_id,turn_id,role,message,channel,scenario,category,subcategory,locale,sentiment,status,priority,source,message_clean,memory_type,tags,keywords,confidence,source_reference,notes
conv_1,1,customer,What is Multivitamins Tablets?,chat,support_ticket,informational,product_info,en-IN,neutral,open,medium,intent_dataset,What is Multivitamins Tablets?,ticket_memory,informational;product_info,what is multivitamins tablets,high,intent_dataset,synthetic or source-backed conversation example
conv_1,2,agent,Multivitamins Tablets is a HEALTH CARE product by Dayjoy.,chat,support_ticket,informational,product_info,en-IN,positive,resolved,medium,intent_dataset,Multivitamins Tablets is a HEALTH CARE product by Dayjoy.,ticket_memory,informational;product_info,multivitamins tablets is a health care product by,high,intent_dataset,synthetic or source-backed conversation example
conv_2,1,customer,What is Perfect-Ion Testing Solutions?,chat,support_ticket,informational,product_info,en-IN,neutral,open,medium,intent_dataset,What is Perfect-Ion Testing Solutions?,ticket_memory,informational;product_info,what is perfect ion testing solutions,high,intent_dataset,synthetic or source-backed conversation example
conv_2,2,agent,Perfect-Ion Testing Solutions is a AQUA ESSENTIALS product by Dayjoy.,chat,support_ticket,informational,product_info,en-IN,positive,resolved,medium,intent_dataset,Perfect-Ion Testing Solutions is a AQUA ESSENTIALS product by Dayjoy.,ticket_memory,informational;product_info,perfect ion testing solutions is a aqua essentials,high,intent_dataset,synthetic or source-backed conversation example
conv_3,1,customer,"I have Irregular Heartbeats, what should I take?",chat,support_ticket,health-condition,consultation,en-IN,neutral,open,medium,intent_dataset,"I have Irregular Heartbeats, what should I take?",ticket_memory,health-condition;consultation,i have irregular heartbeats what should i take,high,intent_dataset,synthetic or source-backed conversation example
conv_3,2,agent,"Dayjoy suggests MULTI VITAMINS TABLETS for Irregular Heartbeats. This is a supplement, not a cure.",chat,support_ticket,health-condition,consultation,en-IN,positive,resolved,medium,intent_dataset,"Dayjoy suggests MULTI VITAMINS TABLETS for Irregular Heartbeats. This is a supplement, not a cure.",ticket_memory,health-condition;consultation,dayjoy suggests multi vitamins tablets for irregular heartbeats,high,intent_dataset,synthetic or source-backed conversation example
conv_4,1,customer,Which product is good for Mental Disorder?,chat,support_ticket,recommendation,health_need,en-IN,neutral,open,medium,intent_dataset,Which product is good for Mental Disorder?,ticket_memory,recommendation;health_need,which product is good for mental disorder,high,intent_dataset,synthetic or source-backed conversation example
conv_4,2,agent,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",chat,support_ticket,recommendation,health_need,en-IN,positive,resolved,medium,intent_dataset,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",ticket_memory,recommendation;health_need,based on dayjoy recommendations you may consider multi,high,intent_dataset,synthetic or source-backed conversation example
conv_5,1,customer,DP of DJP1158,chat,support_ticket,pricing,dp,en-IN,neutral,open,medium,intent_dataset,DP of DJP1158,ticket_memory,pricing;dp,dp of djp1158,high,intent_dataset,synthetic or source-backed conversation example
conv_5,2,agent,The Distributor Price (DP) is ₹75.0.,chat,support_ticket,pricing,dp,en-IN,positive,resolved,medium,intent_dataset,The Distributor Price (DP) is ₹75.0.,ticket_memory,pricing;dp,the distributor price dp is 75 0,high,intent_dataset,synthetic or source-backed conversation example
conv_6,1,customer,Is Kasuri Methi (50g) a food product?,chat,support_ticket,informational,product_category,en-IN,neutral,open,medium,intent_dataset,Is Kasuri Methi (50g) a food product?,ticket_memory,informational;product_category,is kasuri methi 50g a food product,high,intent_dataset,synthetic or source-backed conversation example
