category,folder,file_count,contents_summary,production_status
Source documents,00_SOURCE_DOCUMENTS,14,"11 genuine source PDFs/docx (brochures/price lists/policies/compensation/company) + 3 website-snapshot governance templates (deliberately empty)",READY
Canonical knowledge,01_CANONICAL,222,"Products (170 SKUs, +16 content cells from full brochure re-OCR this pass), pricing (3 catalog pricing conflicts resolved), company knowledge (69 facts, +4 incl. real FSSAI license/manufacturer data), compensation (81 rules, second-document risk downgraded), training (30 lessons), support (9 files, Shipping/Refund gap exhaustively re-confirmed absent), faq (1897 rows v2), policies, plus raw policy/pricing PDFs",READY WITH FIXES
Relationships,02_RELATIONSHIPS,9,"Product relationship edges (4119, wired into product master), knowledge graph (2434 nodes / 3977 edges, built this pass); category_graph deliberately empty",PARTIAL
AI datasets,03_AI_DATASETS,16,"Intents (1531 structured + 95 supplementary synthetic), conversations (36 labeled examples), voice (17 examples), customer journeys",PARTIAL
RAG data layer,04_RAG,14,"882 canonical chunks after this pass's deduplication (down from 2242; 1360 redundant placeholder rows removed, 0 content lost), enriched metadata registry updated to match, retrieval strategy doc, RAG_DEDUP_SUMMARY.md; embeddings deliberately not generated (gated)",READY (chunks/metadata) / GATED (embeddings)
SQL,05_SQL,13,"Reconciled base schema (12 tables) + full production schema (27 new tables: profiles/roles/business-data/memory/conversations), relationships/indexes/RLS (draft), 1 migration",READY
Images,06_IMAGES,135,"127 real product photos covering 109/170 SKUs (+1 this pass, DJ-AGR-0135 JoyProtect); metadata rebuilt (0 broken paths) + full-schema variant with product_id/source_id/image_type/verified; T002B_REMATCH_SUMMARY.md documents the re-check",PARTIAL
Analytics,07_ANALYTICS,10,"6 metrics files (INFERRED tier, labeled proxy data) + business analytics entity schemas (schema-only, no fabricated figures)",READY (as labeled proxy/schema)
Governance,08_GOVERNANCE,30,"Source registry (11 docs), verification standard, safety classes, 8 new claim/policy docs, answer/abstain policy, audit trail",READY
QA,09_QA,10,"220 golden test questions (169+51 new), 1060-row evaluation dataset across 8 categories, regression tests, retrieval tests",READY WITH FIXES
Memory (NEW),10_MEMORY,9,"7 memory schema docs (user profile/conversation/long-term/business context/preferences/goals/recent activity) + isolation policy - schema only, no real user data",READY (as schema)
Web knowledge (NEW),14_WEB,2,"Web-search-vs-canonical-knowledge separation policy - policy only, no web content fetched or stored",READY (as policy)
Archive,99_ARCHIVE,131,"Superseded files including pre-fix archived copies from every editing pass (this pass added RAG pre-dedup, product master pre-OCR, image metadata pre-rematch); nothing deleted",READY (as archive)
Engineering architecture,00_PROJECT_ARCHITECTURE,62,"System/database/API/security architecture docs for building the AI Assist app itself - not customer-facing knowledge",N/A (reference only)
Root documentation,.,20,"README/VERSION/CHANGELOG/KNOWLEDGE_MAP/LICENSE + Phase 1-3 audit (01-06, untouched this pass per instruction) + reports (CROSS_DATA_VALIDATION_REPORT/DATA_QUALITY_SCORING/PRODUCTION_READINESS/RELEASE_NOTES, all updated this pass) + FILE_MANIFEST/RELEASE_MANIFEST/DATA_QUALITY_REPORT",READY
