intent_id,intent_name,category,description,example_question,source_document,verification_status,notes
SI001,order_cancellation,shipping_returns,User wants to cancel an order they placed.,Can I cancel my order?,"dayjoy_intents_CANONICAL.csv (id 188; cat=policy/shipping_refund; source_reference field says ""Shipping/Refund Policy"")",UNVERIFIED,"Question/answer pattern exists in the intents dataset, but the underlying 'Shipping/Refund Policy' document it cites is NOT present anywhere in this repository (confirmed by full-repo search). Treat the specific answer text as an unverified internal claim, not a sourced Dayjoy policy, until that document is located or supplied. See support_policies.csv POL-GAP-01. [FIX2 RE-CHECK]: Dayjoy_Online_Shopping.pdf and the 2 'Dayjoy AI Ecosystem' docx files were examined this pass and do NOT resolve the gap (see support_policies.csv POL-GAP-01 for full detail) — gap remains OPEN."
SI002,product_return,shipping_returns,User wants to return a delivered product.,Can I return it? / How many days do I have to return an item?,"dayjoy_intents_CANONICAL.csv (ids 54, 139; source_reference = ""Shipping/Refund Policy"")",UNVERIFIED,Same gap as SI001 — source document not present in repo. Do not quote the specific day-count or handling-charge figures as confirmed Dayjoy policy without the underlying document. [FIX2 RE-CHECK]: Dayjoy_Online_Shopping.pdf and the 2 'Dayjoy AI Ecosystem' docx files were examined this pass and do NOT resolve the gap (see support_policies.csv POL-GAP-01 for full detail) — gap remains OPEN.
SI003,refund_request,shipping_returns,"User asks how/when a refund is processed, or whether cash refunds are available.",How do I get a refund? / Is cash refund available?,"dayjoy_intents_CANONICAL.csv (ids 12, 26; source_reference = ""Shipping/Refund Policy"")",UNVERIFIED,Same gap as SI001 — source document not present in repo. [FIX2 RE-CHECK]: Dayjoy_Online_Shopping.pdf and the 2 'Dayjoy AI Ecosystem' docx files were examined this pass and do NOT resolve the gap (see support_policies.csv POL-GAP-01 for full detail) — gap remains OPEN.
SI004,damaged_product,shipping_returns,User reports a product arrived damaged.,What if my product arrives damaged?,"dayjoy_intents_CANONICAL.csv (id 114; source_reference = ""Shipping/Refund Policy"")",UNVERIFIED,Same gap as SI001 — source document not present in repo. [FIX2 RE-CHECK]: Dayjoy_Online_Shopping.pdf and the 2 'Dayjoy AI Ecosystem' docx files were examined this pass and do NOT resolve the gap (see support_policies.csv POL-GAP-01 for full detail) — gap remains OPEN.
SI005,delivery_time_inquiry,shipping_returns,User asks how long delivery takes.,How long is delivery?,"dayjoy_intents_CANONICAL.csv (id 122; source_reference = ""Shipping/Refund Policy"")",UNVERIFIED,Same gap as SI001 — source document not present in repo. [FIX2 RE-CHECK]: Dayjoy_Online_Shopping.pdf and the 2 'Dayjoy AI Ecosystem' docx files were examined this pass and do NOT resolve the gap (see support_policies.csv POL-GAP-01 for full detail) — gap remains OPEN.
SI006,return_shipping_cost,shipping_returns,User asks who pays for return shipping.,Who pays for return shipping?,"dayjoy_intents_CANONICAL.csv (id 222; source_reference = ""Shipping/Refund Policy"")",UNVERIFIED,Same gap as SI001 — source document not present in repo. [FIX2 RE-CHECK]: Dayjoy_Online_Shopping.pdf and the 2 'Dayjoy AI Ecosystem' docx files were examined this pass and do NOT resolve the gap (see support_policies.csv POL-GAP-01 for full detail) — gap remains OPEN.
SI007,payment_issue,technical_payment,"User's payment failed, was double-charged, or they have a payment-gateway problem.","I paid but my order isn't showing / my payment failed, what do I do?",PaymentGatewayPolicy_Dayjoy.pdf,VERIFIED,"PDF directs the user to Customer Care (+91-7733990555 / support@dayjoy.in), quoting the order number. Fully sourced — see support_policies.csv POL-PAY-05."
SI008,payment_security_question,technical_payment,User asks how their card/payment details are protected.,How is my payment secured? / Do you store my card details?,PaymentGatewayPolicy_Dayjoy.pdf,VERIFIED,"PDF states Dayjoy does not store payment credentials and uses PayU/Razorpay with encryption, SSL, SET, and tokenization."
SI009,payment_method_inquiry,technical_payment,User asks what payment methods/gateways are available.,What payment methods can I use? / Which payment gateway does Dayjoy use?,PaymentGatewayPolicy_Dayjoy.pdf,VERIFIED,"PDF confirms Debit Card, Credit Card, UPI, Net-Banking via PayU or Razorpay."
SI010,income_guarantee_question,compliance_income,User asks if Dayjoy guarantees income or is a get-rich-quick scheme.,Do you guarantee income? / Is Dayjoy a get-rich-quick scheme?,Income_Disclaimer_Dayjoy.pdf,VERIFIED,"PDF explicitly states earnings are estimates only, not guaranteed, and Dayjoy does not present itself as a get-rich-quick scheme. Must always be answered per income_claim_policy.md."
