knowledge_type,title,content,source_file_id,source_pages,search_tags
faq,What is Dayjoy GrowthX Plan?,"The Dayjoy GrowthX Plan is presented as a gamified, step-by-step roadmap from first milestone to luxury, focused on clear goals, smart growth, and ultimate luxury.",file:124,1-2,plan_overview
faq,Why join direct selling?,"The plan says extra income can support a better house, better car, holidays, family time, own house, and quality life, and positions Dayjoy as a parallel source of income.",file:124,3,why_direct_selling
faq,How to start Dayjoy digital business?,"The plan shows four core steps: Register, Shop, Recommend, and Replicate, and says the basic requirements are a smartphone, internet, and big dreams.",file:124,4,how_to_start
faq,How to choose a good direct selling company?,"The plan lists five checkpoints: Profile, Promoter, Product, Plan, and People.",file:124,5,good_company_check
faq,How does Business Matching Incentive work?,"Business Matching Incentive is stated as 10% of BV matching. For 2500 BV activation, first incentive uses 2:1 or 1:2 ratio at 2500:5000 for Rs. 250, then 1:1 at 2500:2500 for Rs. 250. For 5000 BV activation, first ratio is 10000:5000 for Rs. 500, then 5000:5000 for Rs. 500. For 7500 BV activation, first ratio is 15000:7500 for Rs. 750, then 7500:7500 for Rs. 750. For 10000 BV activation, first ratio is 20000:10000 for Rs. 1000, then 10000:10000 for Rs. 1000. Weekly closing is every Wednesday and payout is every Friday.",file:124,33,business_matching
faq,How does Mentorship Incentive work?,"Mentorship Incentive is stated as 50% of direct introduced distributor business matching incentive. The plan example says 10 directs at weekly maximum threshold of Rs. 1,25,000 each would produce Rs. 6,25,000 mentorship income plus Rs. 1,25,000 own business matching incentive for Rs. 7,50,000 per week, and it also says mentorship income can be earned from a single business group.",file:124,34,mentorship
faq,How many lifetime reward clubs are in the plan?,The plan says there are 17 Lifetime Reward Clubs beyond standard commissions.,file:124,35,reward_clubs
faq,How many ranks are there?,"The rank and recognition table lists 17 clubs and ranks, from Star Executive through Universal Ambassador, each tied to BV matching criteria.",file:124,50,rank_table
faq,How does Dayjoy online shopping work?,"The shopping file shows users can browse brands, quick view products, add to cart, adjust quantity, checkout, log in, choose sale type, fill shipping details, choose payment method, and place orders. In the user panel flow, purchase can be from Company or Franchise, and sale type can be joining sale for PV or repurchase sale for BV.",file:123,2-13,online_shopping
faq,What is Dayjoy?,"The product brochure describes Dayjoy Marketing as a wellness brand focused on high-quality lifestyle products made from natural ingredients across wellness, beauty, agriculture, cloth, spices, and home care, and says it promotes entrepreneurship through a direct selling model.",file:44,2,company_story
faq,Who leads Dayjoy?,The brochure identifies Mr. Anmol Agarwal and Mr. Divyansh Agarwal as founders and managing directors of Dayjoy Marketing Pvt. Ltd.,file:44,3-4,leadership
faq,What are Dayjoy manufacturing strengths?,"The brochure says Dayjoy operates one of North India’s large manufacturing setups, with certifications including ISO, GMP, WHO-GMP, FSSAI, FDA, HALAL, and HACCP, daily capacities above 100,000 tablets, 20,000 liters of syrup, and 100,000 capsules, plus a 50,000 kg/day dehydration unit and 6,000 tons annual extraction capacity in Rajasthan.",file:44,5,manufacturing
faq,Does Dayjoy have product recommendation data?,"Yes. The uploaded cleaned recommendation chart contains structured symptom-to-product mappings across categories such as general health, diabetes, heart diseases, bone and joint problems, skin, eye health, elderly health, thyroid, sinusitis, and more.",file:126,Clean_Data,recommendation_chart
plan_rank,Club 1 - Star Executive,"BV matching criteria: 15,000:7,500 or 7,500:15,000; Business Matching Incentive: Rs. 750; Mentorship Incentive: N/A; Lifetime Reward: Lifetime Reward; Total Income Base: Rs. 1,750",file:124,36,club 1 Star Executive reward
plan_rank,Club 2 - Super Star Executive,"BV matching criteria: 22,500:22,500; Business Matching Incentive: Rs. 2,250; Mentorship Incentive: 1,125; Lifetime Reward: Lifetime Reward; Total Income Base: Rs. 6,375",file:124,36,club 2 Super Star Executive reward
plan_rank,Club 3 - Silver Executive,"BV matching criteria: 45,000:45,000; Business Matching Incentive: Rs. 4,500; Mentorship Incentive: 2,250; Lifetime Reward: Lifetime Reward; Total Income Base: Rs. 12,750",file:124,36,club 3 Silver Executive reward
plan_rank,Club 4 - Gold Director,"BV matching criteria: 1,12,500:1,12,500; Business Matching Incentive: Rs. 11,250; Mentorship Incentive: 5,625; Lifetime Reward: Lifetime Reward; Total Income Base: Rs. 31,875",file:124,36,club 4 Gold Director reward
plan_rank,Club 5 - Ruby Director,"BV matching criteria: 2,25,000:2,25,000; Business Matching Incentive: Rs. 22,500; Mentorship Incentive: 11,250; Lifetime Reward: Lifetime Reward; Total Income Base: Rs. 63,750",file:124,37,club 5 Ruby Director reward
plan_rank,Club 6 - Platinum Director,"BV matching criteria: 5,62,500:5,62,500; Business Matching Incentive: Rs. 56,250; Mentorship Incentive: 28,125; Lifetime Reward: For Bike or iPhone; Total Income Base: Rs. 1,54,375",file:124,38,club 6 Platinum Director reward
plan_rank,Club 7 - Emerald Vice President,"BV matching criteria: 15,00,000:15,00,000; Business Matching Incentive: Rs. 1,50,000; Mentorship Incentive: 75,000; Lifetime Reward: For Hatchback Car; Total Income Base: Rs. 4,25,000",file:124,39,club 7 Emerald Vice President reward
plan_rank,Club 8 - Sapphire Vice President,"BV matching criteria: 37,50,000:37,50,000; Business Matching Incentive: Rs. 3,75,000; Mentorship Incentive: 1,87,500; Lifetime Reward: For SUV Car; Total Income Base: Rs. 10,37,500",file:124,40,club 8 Sapphire Vice President reward
plan_rank,Club 9 - Diamond President,"BV matching criteria: 93,75,000:93,75,000; Business Matching Incentive: Rs. 9,37,500; Mentorship Incentive: 4,68,750; Lifetime Reward: For Gold; Mumbai-Goa Cruise Trip (2N/3D | Couple Tour); Total Income Base: Rs. 25,06,250",file:124,41,club 9 Diamond President reward
plan_rank,Club 10 - Blue Diamond,"BV matching criteria: 2,25,00,000:2,25,00,000; Business Matching Incentive: Rs. 22,50,000; Mentorship Incentive: 11,25,000; Lifetime Reward: For Luxury Car; Dubai Trip (4N/5D | Couple Tour); Total Income Base: Rs. 60,25,000",file:124,42,club 10 Blue Diamond reward
plan_rank,Club 11 - Black Diamond,"BV matching criteria: 5,62,50,000:5,62,50,000; Business Matching Incentive: Rs. 56,25,000; Mentorship Incentive: 28,12,500; Lifetime Reward: For Flat; Singapore Trip (5N/6D | Family Tour: 2 Adults & 2 Children); Total Income Base: Rs. 1,47,37,500",file:124,43,club 11 Black Diamond reward
plan_rank,Club 12 - Crown,"BV matching criteria: 11,25,00,000:11,25,00,000; Business Matching Incentive: Rs. 1,12,50,000; Mentorship Incentive: 56,25,000; Lifetime Reward: Dream Villa; Hongkong & Macau Trip (6N/7D | Family Tour: 2 Adults & 2 Children); Total Income Base: Rs. 2,73,75,000",file:124,44,club 12 Crown reward
plan_rank,Club 13 - Royal Crown,"BV matching criteria: 22,50,00,000:22,50,00,000; Business Matching Incentive: Rs. 2,25,00,000; Mentorship Incentive: 1,12,50,000; Lifetime Reward: For Ferrari Car; Switzerland & Paris Trip (6N/7D | Couple Tour); Total Income Base: Rs. 5,42,50,000",file:124,45,club 13 Royal Crown reward
plan_rank,Club 14 - Universal Crown,"BV matching criteria: 56,25,00,000:56,25,00,000; Business Matching Incentive: Rs. 5,62,50,000; Mentorship Incentive: 2,81,25,000; Lifetime Reward: South Africa Tour (7N/8D | Couple Tour); Total Income Base: Rs. 12,73,75,000",file:124,46,club 14 Universal Crown reward
plan_rank,Club 15 - Ambassador,"BV matching criteria: 112,50,00,000:112,50,00,000; Business Matching Incentive: Rs. 11,25,00,000; Mentorship Incentive: 5,62,50,000; Lifetime Reward: 5.5 Crore Cash + 2 Crore for Defender Car; United Kingdom Trip (5N/6D | Family Tour: 2 Adults & 2 Children); Total Income Base: Rs. 24,45,00,000",file:124,47,club 15 Ambassador reward
plan_rank,Club 16 - Global Ambassador,"BV matching criteria: 225,00,00,000:225,00,00,000; Business Matching Incentive: Rs. 22,50,00,000; Mentorship Incentive: 11,25,00,000; Lifetime Reward: 10 Crore Cash + 5 Crore for Rolls Royce Car; United States Trip (9N/10D | Family Tour: 2 Adults & 2 Children); Total Income Base: Rs. 48,85,00,000",file:124,48,club 16 Global Ambassador reward
plan_rank,Club 17 - Universal Ambassador,"BV matching criteria: 450,00,00,000:450,00,00,000; Business Matching Incentive: Rs. 45,00,00,000; Mentorship Incentive: 22,50,00,000; Lifetime Reward: 20 Crore Cash + 7 Crore for Helicopter + 3 Crore for Farm House; Europe Trip (14N/15D | Family Tour: 2 Adults & 2 Children); Total Income Base: Rs. 97,65,00,000",file:124,49,club 17 Universal Ambassador reward
business_matching,Business Matching 2500 BV 1st Incentive,"Weekly maximum threshold Rs. 25,000; Ratio 2:1 or 1:2 with BV ratio 2500:5000; Income Rs. 250; Weekly closing Every Wednesday; Weekly payout Every Friday",file:124,33,business matching 2500 BV 2:1 or 1:2
business_matching,Business Matching 2500 BV 2nd Incentive Onwards,"Weekly maximum threshold Rs. 25,000; Ratio 1:1 with BV ratio 2500:2500; Income Rs. 250; Weekly closing Every Wednesday; Weekly payout Every Friday",file:124,33,business matching 2500 BV 1:1
business_matching,Business Matching 5000 BV 1st Incentive,"Weekly maximum threshold Rs. 50,000; Ratio 2:1 or 1:2 with BV ratio 10000:5000; Income Rs. 500; Weekly closing Every Wednesday; Weekly payout Every Friday",file:124,33,business matching 5000 BV 2:1 or 1:2
business_matching,Business Matching 5000 BV 2nd Incentive Onwards,"Weekly maximum threshold Rs. 50,000; Ratio 1:1 with BV ratio 5000:5000; Income Rs. 500; Weekly closing Every Wednesday; Weekly payout Every Friday",file:124,33,business matching 5000 BV 1:1
business_matching,Business Matching 7500 BV 1st Incentive,"Weekly maximum threshold Rs. 75,000; Ratio 2:1 or 1:2 with BV ratio 15000:7500; Income Rs. 750; Weekly closing Every Wednesday; Weekly payout Every Friday",file:124,33,business matching 7500 BV 2:1 or 1:2
business_matching,Business Matching 7500 BV 2nd Incentive Onwards,"Weekly maximum threshold Rs. 75,000; Ratio 1:1 with BV ratio 7500:7500; Income Rs. 750; Weekly closing Every Wednesday; Weekly payout Every Friday",file:124,33,business matching 7500 BV 1:1
business_matching,Business Matching 10000 BV 1st Incentive,"Weekly maximum threshold Rs. 1,25,000; Ratio 2:1 or 1:2 with BV ratio 20000:10000; Income Rs. 1000; Weekly closing Every Wednesday; Weekly payout Every Friday",file:124,33,business matching 10000 BV 2:1 or 1:2
business_matching,Business Matching 10000 BV 2nd Incentive Onwards,"Weekly maximum threshold Rs. 1,25,000; Ratio 1:1 with BV ratio 10000:10000; Income Rs. 1000; Weekly closing Every Wednesday; Weekly payout Every Friday",file:124,33,business matching 10000 BV 1:1
dataset,Recommendation chart dataset updated and saved for AI retrieval use.,"Contains 158 recommendation rows, 24 categories, 148 conditions, and 41 indexed products.",code_file:130,csv/xlsx,recommendation dataset
dataset,Product index dataset updated and saved.,Maps products to conditions and categories for search and retrieval.,code_file:128,csv,product index
