search_type,query,answer,product_id,confidence
product,Black Salt Sprinkler (200g) price,"MRP 59.0, DP 49.0, BV 10.0",1.0,high
product,Black Salt Sprinkler (200g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",1.0,high
product,Chaat Masala (100g) price,"MRP 75.0, DP 56.0, BV 10.0",2.0,high
product,Chaat Masala (100g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",2.0,high
product,Chicken Masala (100g) price,"MRP 110.0, DP 90.0, BV 15.0",3.0,high
product,Chicken Masala (100g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",3.0,high
product,Daily Tea (250g) price,"MRP 169.0, DP 125.0, BV 20.0",4.0,high
product,Daily Tea (250g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",4.0,high
product,Daily Tea (500g) price,"MRP 329.0, DP 245.0, BV 39.0",5.0,high
product,Daily Tea (500g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",5.0,high
product,Dhaniya Powder (25g) price,"MRP 20.0, DP 15.0, BV 1.0",6.0,high
product,Dhaniya Powder (25g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",6.0,high
product,Dhaniya Powder (200g) price,"MRP 95.0, DP 75.0, BV 14.0",7.0,high
product,Dhaniya Powder (200g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",7.0,high
product,Dhaniya Powder (500g) price,"MRP 210.0, DP 170.0, BV 30.0",8.0,high
product,Dhaniya Powder (500g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",8.0,high
product,Garam Masala (100g) price,"MRP 110.0, DP 99.0, BV 20.0",9.0,high
product,Garam Masala (100g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",9.0,high
product,Haldi Powder (25g) price,"MRP 20.0, DP 15.0, BV 1.0",10.0,high
product,Haldi Powder (25g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",10.0,high
product,Haldi Powder (200g) price,"MRP 135.0, DP 80.0, BV 12.0",11.0,high
product,Haldi Powder (200g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",11.0,high
product,Haldi Powder (500g) price,"MRP 320.0, DP 200.0, BV 28.0",12.0,high
product,Haldi Powder (500g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",12.0,high
product,Himalayan Pink Salt Sprinkler (200g) price,"MRP 75.0, DP 60.0, BV 13.0",13.0,high
product,Himalayan Pink Salt Sprinkler (200g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",13.0,high
product,Jaljeera (100g) price,"MRP 65.0, DP 55.0, BV 15.0",14.0,high
product,Jaljeera (100g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",14.0,high
product,Organic Jeera (250g) price,"MRP 199.0, DP 165.0, BV 33.0",15.0,high
product,Organic Jeera (250g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",15.0,high
product,Kasuri Methi (50g) price,"MRP 59.0, DP 45.0, BV 9.0",16.0,high
product,Kasuri Methi (50g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",16.0,high
product,Mirchi Powder (25g) price,"MRP 20.0, DP 15.0, BV 1.0",17.0,high
product,Mirchi Powder (25g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",17.0,high
product,Mirchi Powder (200g) price,"MRP 145.0, DP 110.0, BV 18.0",18.0,high
product,Mirchi Powder (200g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",18.0,high
product,Mirchi Powder (500g) price,"MRP 335.0, DP 275.0, BV 50.0",19.0,high
product,Mirchi Powder (500g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",19.0,high
product,Rai (250g) price,"MRP 99.0, DP 80.0, BV 13.0",20.0,high
product,Rai (250g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",20.0,high
product,Sabji Masala (100g) price,"MRP 110.0, DP 99.0, BV 20.0",21.0,high
product,Sabji Masala (100g) category,"Category FOOD PRODUCTS, Brand Aayushmaan / YumDum / Total Joy",21.0,high
product,New Total Joy Rice Bran Oil (1 Litre) price,"MRP 299.0, DP 235.0, BV 24.0",22.0,high
product,New Total Joy Rice Bran Oil (1 Litre) category,"Category FOOD PRODUCTS, Brand Total Joy",22.0,high
product,Total Joy Rice Bran Oil (2 Litre) price,"MRP 599.0, DP 470.0, BV 40.0",23.0,high
product,Total Joy Rice Bran Oil (2 Litre) category,"Category FOOD PRODUCTS, Brand Total Joy",23.0,high
product,Veg Biryani with Shahi Gravy price,"MRP 199.0, DP 135.0, BV 17.0",24.0,high
