rule_id,rule_category,rule_text,source_id,source_version,effective_date,verified,verification_status,audience,confidence,notes
RANK-001,rank_structure,"Club 1 (Star Executive): BV Matching target 15,000:7,500 or 7,500:15,000 BV. Business Matching Incentive Rs 750. Mentorship Incentive Rs N/A (not eligible — see qualification rules). Lifetime Reward Rs 1,000 (Lifetime Reward). Total Income Base at this club = Rs 1,750. Distributor rank is determined by the highest Lifetime Reward Club achieved (see PROMO-001).",F00003 (Dayjoy GrowthX Plan Presentation_choladeck.pdf) via dayjoy_plan_ranks_rewards_VERIFIED.csv,dayjoy_plan_ranks_rewards_VERIFIED.csv,NULL,true,VERIFIED,distributor,high,"OCR-verified against Dayjoy GrowthX Plan Presentation, page 36, exact match confirmed 2026-08-09. This row states the fixed per-club Rupee amounts as printed in the PDF; it does NOT assert a general formula/rate (e.g. '10% BMI' or '50% mentorship') — those general rate claims are separately flagged CONFLICT (see CONF-001/CONF-002/CONF-003). Do not extrapolate a rate from these fixed figures for BV levels not shown in this table."
RANK-002,rank_structure,"Club 2 (Super Star Executive): BV Matching target 22,500:22,500 BV. Business Matching Incentive Rs 2,250. Mentorship Incentive Rs 1,125. Lifetime Reward Rs 3,000 (Lifetime Reward). Total Income Base at this club = Rs 6,375. Distributor rank is determined by the highest Lifetime Reward Club achieved (see PROMO-001).",F00003 (Dayjoy GrowthX Plan Presentation_choladeck.pdf) via dayjoy_plan_ranks_rewards_VERIFIED.csv,dayjoy_plan_ranks_rewards_VERIFIED.csv,NULL,true,VERIFIED,distributor,high,"OCR-verified against Dayjoy GrowthX Plan Presentation, page 36, exact match confirmed 2026-08-09. This row states the fixed per-club Rupee amounts as printed in the PDF; it does NOT assert a general formula/rate (e.g. '10% BMI' or '50% mentorship') — those general rate claims are separately flagged CONFLICT (see CONF-001/CONF-002/CONF-003). Do not extrapolate a rate from these fixed figures for BV levels not shown in this table."
RANK-003,rank_structure,"Club 3 (Silver Executive): BV Matching target 45,000:45,000 BV. Business Matching Incentive Rs 4,500. Mentorship Incentive Rs 2,250. Lifetime Reward Rs 6,000 (Lifetime Reward). Total Income Base at this club = Rs 12,750. Distributor rank is determined by the highest Lifetime Reward Club achieved (see PROMO-001).",F00003 (Dayjoy GrowthX Plan Presentation_choladeck.pdf) via dayjoy_plan_ranks_rewards_VERIFIED.csv,dayjoy_plan_ranks_rewards_VERIFIED.csv,NULL,true,VERIFIED,distributor,high,"OCR-verified against Dayjoy GrowthX Plan Presentation, page 36, exact match confirmed 2026-08-09. This row states the fixed per-club Rupee amounts as printed in the PDF; it does NOT assert a general formula/rate (e.g. '10% BMI' or '50% mentorship') — those general rate claims are separately flagged CONFLICT (see CONF-001/CONF-002/CONF-003). Do not extrapolate a rate from these fixed figures for BV levels not shown in this table."
RANK-004,rank_structure,"Club 4 (Gold Director): BV Matching target 1,12,500:1,12,500 BV. Business Matching Incentive Rs 11,250. Mentorship Incentive Rs 5,625. Lifetime Reward Rs 15,000 (Lifetime Reward). Total Income Base at this club = Rs 31,875. Distributor rank is determined by the highest Lifetime Reward Club achieved (see PROMO-001).",F00003 (Dayjoy GrowthX Plan Presentation_choladeck.pdf) via dayjoy_plan_ranks_rewards_VERIFIED.csv,dayjoy_plan_ranks_rewards_VERIFIED.csv,NULL,true,VERIFIED,distributor,high,"OCR-verified against Dayjoy GrowthX Plan Presentation, page 36, exact match confirmed 2026-08-09. This row states the fixed per-club Rupee amounts as printed in the PDF; it does NOT assert a general formula/rate (e.g. '10% BMI' or '50% mentorship') — those general rate claims are separately flagged CONFLICT (see CONF-001/CONF-002/CONF-003). Do not extrapolate a rate from these fixed figures for BV levels not shown in this table."
RANK-005,rank_structure,"Club 5 (Ruby Director): BV Matching target 2,25,000:2,25,000 BV. Business Matching Incentive Rs 22,500. Mentorship Incentive Rs 11,250. Lifetime Reward Rs 30,000 (Lifetime Reward). Total Income Base at this club = Rs 63,750. Distributor rank is determined by the highest Lifetime Reward Club achieved (see PROMO-001).",F00003 (Dayjoy GrowthX Plan Presentation_choladeck.pdf) via dayjoy_plan_ranks_rewards_VERIFIED.csv,dayjoy_plan_ranks_rewards_VERIFIED.csv,NULL,true,VERIFIED,distributor,high,"OCR-verified against Dayjoy GrowthX Plan Presentation, page 37, exact match confirmed 2026-08-09. This row states the fixed per-club Rupee amounts as printed in the PDF; it does NOT assert a general formula/rate (e.g. '10% BMI' or '50% mentorship') — those general rate claims are separately flagged CONFLICT (see CONF-001/CONF-002/CONF-003). Do not extrapolate a rate from these fixed figures for BV levels not shown in this table."
RANK-006,rank_structure,"Club 6 (Platinum Director): BV Matching target 5,62,500:5,62,500 BV. Business Matching Incentive Rs 56,250. Mentorship Incentive Rs 28,125. Lifetime Reward Rs 75,000 (For Bike or iPhone). Total Income Base at this club = Rs 1,54,375. Distributor rank is determined by the highest Lifetime Reward Club achieved (see PROMO-001).",F00003 (Dayjoy GrowthX Plan Presentation_choladeck.pdf) via dayjoy_plan_ranks_rewards_VERIFIED.csv,dayjoy_plan_ranks_rewards_VERIFIED.csv,NULL,true,VERIFIED,distributor,high,"OCR-verified against Dayjoy GrowthX Plan Presentation, page 38, exact match confirmed 2026-08-09. This row states the fixed per-club Rupee amounts as printed in the PDF; it does NOT assert a general formula/rate (e.g. '10% BMI' or '50% mentorship') — those general rate claims are separately flagged CONFLICT (see CONF-001/CONF-002/CONF-003). Do not extrapolate a rate from these fixed figures for BV levels not shown in this table."
RANK-007,rank_structure,"Club 7 (Emerald Vice President): BV Matching target 15,00,000:15,00,000 BV. Business Matching Incentive Rs 1,50,000. Mentorship Incentive Rs 75,000. Lifetime Reward Rs 2,00,000 (For Hatchback Car). Total Income Base at this club = Rs 4,25,000. Distributor rank is determined by the highest Lifetime Reward Club achieved (see PROMO-001).",F00003 (Dayjoy GrowthX Plan Presentation_choladeck.pdf) via dayjoy_plan_ranks_rewards_VERIFIED.csv,dayjoy_plan_ranks_rewards_VERIFIED.csv,NULL,true,VERIFIED,distributor,high,"OCR-verified against Dayjoy GrowthX Plan Presentation, page 39, exact match confirmed 2026-08-09. This row states the fixed per-club Rupee amounts as printed in the PDF; it does NOT assert a general formula/rate (e.g. '10% BMI' or '50% mentorship') — those general rate claims are separately flagged CONFLICT (see CONF-001/CONF-002/CONF-003). Do not extrapolate a rate from these fixed figures for BV levels not shown in this table."
RANK-008,rank_structure,"Club 8 (Sapphire Vice President): BV Matching target 37,50,000:37,50,000 BV. Business Matching Incentive Rs 3,75,000. Mentorship Incentive Rs 1,87,500. Lifetime Reward Rs 5,00,000 (For SUV Car). Total Income Base at this club = Rs 10,37,500. Distributor rank is determined by the highest Lifetime Reward Club achieved (see PROMO-001).",F00003 (Dayjoy GrowthX Plan Presentation_choladeck.pdf) via dayjoy_plan_ranks_rewards_VERIFIED.csv,dayjoy_plan_ranks_rewards_VERIFIED.csv,NULL,true,VERIFIED,distributor,high,"OCR-verified against Dayjoy GrowthX Plan Presentation, page 40, exact match confirmed 2026-08-09. This row states the fixed per-club Rupee amounts as printed in the PDF; it does NOT assert a general formula/rate (e.g. '10% BMI' or '50% mentorship') — those general rate claims are separately flagged CONFLICT (see CONF-001/CONF-002/CONF-003). Do not extrapolate a rate from these fixed figures for BV levels not shown in this table."
RANK-009,rank_structure,"Club 9 (Diamond President): BV Matching target 93,75,000:93,75,000 BV. Business Matching Incentive Rs 9,37,500. Mentorship Incentive Rs 4,68,750. Lifetime Reward Rs 10,00,000 (For Gold; Mumbai-Goa Cruise Trip (2N/3D | Couple Tour)). Total Income Base at this club = Rs 25,06,250. Distributor rank is determined by the highest Lifetime Reward Club achieved (see PROMO-001).",F00003 (Dayjoy GrowthX Plan Presentation_choladeck.pdf) via dayjoy_plan_ranks_rewards_VERIFIED.csv,dayjoy_plan_ranks_rewards_VERIFIED.csv,NULL,true,VERIFIED,distributor,high,"OCR-verified against Dayjoy GrowthX Plan Presentation, page 41, exact match confirmed 2026-08-09. This row states the fixed per-club Rupee amounts as printed in the PDF; it does NOT assert a general formula/rate (e.g. '10% BMI' or '50% mentorship') — those general rate claims are separately flagged CONFLICT (see CONF-001/CONF-002/CONF-003). Do not extrapolate a rate from these fixed figures for BV levels not shown in this table."
RANK-010,rank_structure,"Club 10 (Blue Diamond): BV Matching target 2,25,00,000:2,25,00,000 BV. Business Matching Incentive Rs 22,50,000. Mentorship Incentive Rs 11,25,000. Lifetime Reward Rs 25,00,000 (For Luxury Car; Dubai Trip (4N/5D | Couple Tour)). Total Income Base at this club = Rs 60,25,000. Distributor rank is determined by the highest Lifetime Reward Club achieved (see PROMO-001).",F00003 (Dayjoy GrowthX Plan Presentation_choladeck.pdf) via dayjoy_plan_ranks_rewards_VERIFIED.csv,dayjoy_plan_ranks_rewards_VERIFIED.csv,NULL,true,VERIFIED,distributor,high,"OCR-verified against Dayjoy GrowthX Plan Presentation, page 42, exact match confirmed 2026-08-09. This row states the fixed per-club Rupee amounts as printed in the PDF; it does NOT assert a general formula/rate (e.g. '10% BMI' or '50% mentorship') — those general rate claims are separately flagged CONFLICT (see CONF-001/CONF-002/CONF-003). Do not extrapolate a rate from these fixed figures for BV levels not shown in this table."
