intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,normalized_question,normalized_symptom,recommended_product,intent_bucket,approved_by
1,What is Multivitamins Tablets?,Multivitamins Tablets is a HEALTH CARE product by Dayjoy.,informational,product_info,Multivitamins Tablets,DJP1094,DJ-HEA-0095,high,Products Master,,multivitamins tablets,multivitamins tablets,Multivitamins Tablets,customer_safe_intent,
2,What is Perfect-Ion Testing Solutions?,Perfect-Ion Testing Solutions is a AQUA ESSENTIALS product by Dayjoy.,informational,product_info,Perfect-Ion Testing Solutions,DJP1141,DJ-AQU-0142,high,Products Master,,perfect ion testing solutions,perfect ion testing solutions,Perfect-Ion Testing Solutions,customer_safe_intent,
3,"I have Irregular Heartbeats, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Irregular Heartbeats. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have irregular heartbeats,have irregular heartbeats,,customer_safe_intent,
4,Which product is good for Mental Disorder?,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,mental disorder,mental disorder,,customer_safe_intent,
6,Is Kasuri Methi (50g) a food product?,It is categorized under FOOD PRODUCTS.,informational,product_category,Kasuri Methi (50g),DJP1015,DJ-FOO-0016,high,Products Master,,kasuri methi 50g food,kasuri methi 50g food,Kasuri Methi (50g),customer_safe_intent,
7,What awards has Dayjoy won?,"Dayjoy won Startup of the Year (2020), 4th Annual Direct Selling Today Award (2021), and Entrepreneurship Excellence Award (2023).",company,info,,,,high,Dayjoy Brochure,,awards has dayjoy won,awards has dayjoy won,,customer_safe_intent,
8,Which product is good for Difficulty in Planning and Carrying out tasks?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,difficulty planning and carrying out tasks,difficulty planning and carrying out tasks,,customer_safe_intent,
10,"I have Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom, what should I take?","Dayjoy suggests GO PILES TABLETS for Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have slimy mucus your underwear or on toilet paper after wiping your bottom,have slimy mucus your underwear or on toilet paper after wiping your bottom,,customer_safe_intent,
11,Which product is good for Itchy Skin?,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,itchy skin,itchy skin,,customer_safe_intent,
12,How do I get a refund?,Refunds for returned products are processed to the original bank account or payment method after inspection.,policy,shipping_refund,,,,high,Shipping/Refund Policy,,how do get refund,how do get refund,,customer_safe_intent,
13,Which product is good for Increased errors or accidents?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,increased errors or accidents,increased errors or accidents,,customer_safe_intent,
14,Which product is good for Yellow Skin and Eyes?,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,yellow skin and eyes,yellow skin and eyes,,customer_safe_intent,
15,What is Garam Masala (100g)?,Garam Masala (100g) is a FOOD PRODUCTS product by Dayjoy.,informational,product_info,Garam Masala (100g),DJP1008,DJ-FOO-0009,high,Products Master,,garam masala 100g,garam masala 100g,Garam Masala (100g),customer_safe_intent,
16,Which product is good for Pain?,"Based on Dayjoy recommendations, you may consider ASTHPRASH OR N-ASTHEAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,pain,pain,,customer_safe_intent,
19,Which product is good for Shortness of Breath?,"Based on Dayjoy recommendations, you may consider AMPLE MEAL. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,shortness breath,shortness breath,,customer_safe_intent,
21,"I have Constipation, what should I take?","Dayjoy suggests LIVEASE SYRUP OR GAS-O-FREE SYRUP for Constipation. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have constipation,have constipation,,customer_safe_intent,
22,Can I sell Dayjoy products part-time?,"Yes, you can set your own work hours and commitment levels, full-time or part-time.",business,joining,,,,high,Dayjoy Brochure / Loyalty Program,,can sell dayjoy products part time,can sell dayjoy products part time,,customer_safe_intent,
23,Do you have Sanitary Pad (XXL) (Pack of 10)?,"Yes, Sanitary Pad (XXL) (Pack of 10) is available. Code: DJP1044",transactional,availability,Sanitary Pad (XXL) (Pack of 10),DJP1044,DJ-PER-0045,high,Products Master,,do you have sanitary pad xxl pack 10,do you have sanitary pad xxl pack 10,Sanitary Pad (XXL) (Pack of 10),customer_safe_intent,
24,"I have Focusing on tasks or remembering, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE for Focusing on tasks or remembering. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have focusing on tasks or remembering,have focusing on tasks or remembering,,customer_safe_intent,
26,Is cash refund available?,No cash refunds under any circumstances will be made.,policy,shipping_refund,,,,high,Shipping/Refund Policy,,cash refund available,cash refund available,,customer_safe_intent,
