rule_id,trigger_condition,escalate_to,reason,source_document
ESC-01,Question requests a diagnosis (naming/confirming a medical condition),Human support agent -> instruct user to consult a qualified medical professional,'diagnosis' is listed 'not allowed without escalation' in the canonical answer policy,dayjoy_canonical_answer_policy.csv; diagnosis_policy.md
ESC-02,Question requests or implies a cure claim for a product,Human support agent -> instruct user to consult a qualified medical professional,'cure claims' is listed 'not allowed without escalation',dayjoy_canonical_answer_policy.csv; medical_claim_policy.md
ESC-03,Two or more candidate answers conflict for the same symptom/product recommendation,Human support agent / content review team,'conflicting symptom-based recommendations' is listed 'not allowed without escalation',dayjoy_canonical_answer_policy.csv
ESC-04,User asks about a contraindication/drug interaction not covered by an approved medical/regulatory source,Human support agent -> instruct user to consult a qualified medical professional,'contraindication advice without approved medical/regulatory source' is listed 'not allowed without escalation',dayjoy_canonical_answer_policy.csv
ESC-05,User asks for disease-specific treatment guidance,Human support agent -> instruct user to consult a qualified medical professional,'disease-specific treatment language' is listed 'not allowed without escalation',dayjoy_canonical_answer_policy.csv
ESC-06,"User asks for a definitive retail profit %, mentorship bonus %, or business matching structure figure",Dayjoy compensation / distributor-support team,These 3 fields are CONFLICT_UNRESOLVED between the old KB and the GrowthX PDF; no human has picked a value yet,dayjoy_compensation_conflicts.csv; compensation_policy.md
ESC-07,"User reports a payment problem (failed payment, double charge, payment not reflected)",Dayjoy Customer Care (+91-7733990555 / support@dayjoy.in),quoting the order number,"""PaymentGatewayPolicy_Dayjoy.pdf explicitly directs payment issues to Customer Care with the order number"",PaymentGatewayPolicy_Dayjoy.pdf"
ESC-08,"User asks about order cancellation, return, refund, damaged product, delivery time, or return-shipping cost",Human support agent / Dayjoy operations team,The 'Shipping/Refund Policy' cited as the source for these answers in the intents dataset does not exist anywhere in this repo (POL-GAP-01) — cannot be confidently self-served,03_AI_DATASETS/intents/dayjoy_intents_CANONICAL.csv; support_policies.csv (POL-GAP-01)
ESC-09,Requested fact has no matching row in any canonical file in this repository,General human support queue,'No source found at all -> abstain' per the claim verification standard; in a live support context this means hand off rather than leave the user unanswered,CLAIM_VERIFICATION_STANDARD.md
ESC-10,"Requested Dayjoy fact is marked UNVERIFIED with a genuine cross-source conflict (e.g. incorporation date, phone number variant, manufacturing capacity figures)",Human support agent / company records team,dayjoy_company_knowledge.csv flags several fields as GENUINE CONFLICT between sources; do not pick one silently,dayjoy_company_knowledge.csv
