edge_id,from_type,from_id,relationship_type,to_type,to_id,evidence_source
E000001,Product,DJP1000,Category,Category,FOOD PRODUCTS,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000002,Product,DJP1000,Ingredient,Ingredient,Black Salt,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000003,Product,DJP1000,Benefit,Benefit,"Mineral-rich, naturally sourced, and free from chemicals and additives",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000004,Product,DJP1000,Benefit,Benefit,"Support digestion, hydration, and overall wellness",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000005,Product,DJP1000,FAQ,FAQ,1000,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000006,Product,DJP1000,FAQ,FAQ,1001,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000007,Product,DJP1000,FAQ,FAQ,1002,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000008,Product,DJP1000,FAQ,FAQ,1003,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000009,Product,DJP1000,FAQ,FAQ,1004,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000010,Product,DJP1000,FAQ,FAQ,1005,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000011,Product,DJP1000,FAQ,FAQ,1006,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000012,Product,DJP1000,FAQ,FAQ,1007,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000013,Product,DJP1000,FAQ,FAQ,1008,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000014,Product,DJP1000,FAQ,FAQ,1009,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000015,Product,DJP1000,FAQ,FAQ,1010,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000016,Product,DJP1000,SimilarProduct,Product,DJP1001,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000017,Product,DJP1000,SimilarProduct,Product,DJP1010,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000018,Product,DJP1000,Price,Price,MRP=59.0|DP=49.0|BV=10.0|PV=10.0|INR,01_CANONICAL/pricing/dayjoy_price_list_may2026.csv
E000019,Product,DJP1000,Source,Source,"Dayjoy Product Brochure - English July2026_11zon.pdf + Dayjoy_Products_Catalog.csv (86-item, user-confirmed 2026-08-09) + Dayjoy_Products_Catalog.csv (86-item, user-confirmed 2026-08-09)",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000020,Product,DJP1001,Category,Category,FOOD PRODUCTS,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000021,Product,DJP1001,Benefit,Benefit,"Crafted from premium, organically sourced spices, free from chemicals and additives",01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000022,Product,DJP1001,Benefit,Benefit,Enhances your dishes with rich aroma,01_CANONICAL/products/dayjoy_product_master_canonical.csv
E000023,Product,DJP1001,FAQ,FAQ,1011,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000024,Product,DJP1001,FAQ,FAQ,1012,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000025,Product,DJP1001,FAQ,FAQ,1013,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000026,Product,DJP1001,FAQ,FAQ,1014,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000027,Product,DJP1001,FAQ,FAQ,1015,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
E000028,Product,DJP1001,FAQ,FAQ,1016,01_CANONICAL/faq/dayjoy_faq_combined_canonical.csv
