Income Stream,Rate,Description
Retail Profit,Up to 30% / 50%,Difference between MRP and Distributor Price (DP)
Binary Income (Matching),10%,"Per pair = Rs 500; Daily capping Rs 2,500; Monthly capping Rs 75,000"
Mentorship Bonus,100% of binary,On business matching incentive of directly sponsored distributors
Generation Income (Repurchase),Up to 30%,Monthly repurchase based income
Performance Incentive,5% - 21%,5 levels based on accumulated BV
Gold Director Bonus,5%,On total monthly group BV
Royalty Income,5%,Gold Director to Gold Director
Platinum Director Bonus,5%,"On company turnover; Criteria 7,50,000 BV"
Travel Fund,2%,On company turnover for Platinum+
Emerald VP Bonus,4%,Criteria 30 Lakh BV
Car Fund,2%,For Emerald VP+
Sapphire VP Bonus,3%,Criteria 1 Crore BV
House Fund,2%,For Sapphire VP+
Diamond President Bonus,3%,Criteria 2.25 Crore BV
Lifestyle Fund,2%,For Diamond President+
Retailer Club Bonus,3%,Self purchase minimum 500 BV monthly

"--- Combo/Joining Packages (Verified, May 2026 Price List) ---",,
Package,DP / BV,Direct Income
STANDARD PACKAGE (MRP Rs 10997),DP Rs 5499 / 2500 BV,Rs 250
PREMIUM PACKAGE (MRP Rs 17592),DP Rs 10499 / 5000 BV,Rs 500
ELITE PACKAGE (MRP Rs 28286),DP Rs 15999 / 7500 BV,Rs 750
AGRI PRO PACKAGE (MRP Rs 29076),DP Rs 22650 / 10000 BV,Not specified
AGRI STARTER PACKAGE (MRP Rs 15587),DP Rs 11499 / 5000 BV,Not specified
LEGEND PACKAGE (MRP Rs 27687),DP Rs 18999 / 10000 BV,Not specified
