Product Name,Sub-Brand,Category/Type,Key Benefits,Ingredients,How to Consume/Use,Pack Size,MRP (INR)
ASTHPRASH,Asthprash,Herbal lung/respiratory support powder,"Cleans lungs of tar & pollution; controls asthma/allergy; strengthens lung tissue; helps pneumonia, cold, cough, bronchitis; boosts immunity; improves digestion","Tulsi, Mulethi, Kali Mirch, Adusa (Vasa Patra), Honey",Adults: 1 tbsp (15-20g) before sleeping; Children: 1/2 tbsp morning,Pack of 300g,2999
AdilaForte Tablet,Curind,Men's vitality formula,"Stamina, strength, energy; male vitality; mood/performance; testosterone maintenance; fatigue management","Kaunch Beej, Ashwagandha, Shatavari, Gokshura, Shuddha Shilajit",1 tablet with milk 2 hrs before activity,Pack of 30/60 tablets,1499 / 2999
Hi-Energy Tablet,Curind,Energy & stress adaptogen,Increases energy/stamina; immune response; reduces fatigue; stress management; vitality,"Amaltas, Mulethi, Akarakara, Utangan, Kalaunji",2 tablets twice daily,Pack of 60 tablets,1199
Adilipo Tablet,Curind,Heart health supplement,Cardiovascular wellness; cholesterol/lipid management; blood circulation; heart muscle strength; antioxidants/Omega-3,"Arjuna, Guggulu, Lahasun, Pushkarmula, Atasi",1-2 tablets twice daily empty stomach morning,Pack of 60/120 tablets,1499 / 2699
Di-Beat Tablet,Curind,Blood sugar support,Regulates blood sugar; supports insulin function; reduces frequent urination/fatigue; pancreatic health,"Jamun, Karela, Gudmaar, Vijayasara, Methi",2 tablets twice daily,Pack of 60 tablets,1199
N-Astheal Tablet,Curind,Bronchial/respiratory support,Relieves chest congestion; easier breathing; manages cough/bronchitis/asthma; reduces allergic inflammation; respiratory immunity,"Aragvadha, Mulethi, Akarakara, Utangan, Kalaunji",1-2 tablets twice daily,Pack of 60/120 tablets,1499 / 2699
Adiliv Tablet / LivEase Syrup,Curind,Liver care,Healthy liver function/metabolism; detoxification; digestion/appetite; protects liver cells; hepatic regeneration,"Himsra, Kasani, Arjuna, Punarnava, Bhringaraja, Guduchi",Tablet: 1-2 twice daily empty stomach morning; Syrup: 5-10ml twice daily after meals,Tablet 60N / Syrup 200-500ml,1199 / 599-1399
HB+ Syrup,Curind,Hemoglobin & energy booster,Manages iron deficiency/anemia; RBC production; circulation; vitamins/minerals/antioxidants; liver health,"Amla, Anar, Shilajit, Mulethi, Bhui Amla",5-10ml twice daily after meals,200/500ml Bottle,599 / 1399
Go Piles Tablet & Syrup,Curind,Piles/hemorrhoid relief,Reduces pain/inflammation; controls bleeding/shrinks pile mass; alleviates itching; digestive/bowel regularity,"Bakain, Chavya, Nagkesar, Daruhaldi, Harad",Tablet: 2 tabs 2-3x/day before meals; Syrup: 10-15ml twice daily,Tablet 60N / Syrup 500ml,1199 / 1399
Sea Buckthorn Juice,Curind,Heart/skin/immunity tonic,Improves cholesterol; liver detox; skin hydration/elasticity; fat loss/mood/brain; insulin sensitivity; bone health,Sea Buckthorn (Hippophae rhamnoides),Adults 30ml 2x/day; Children 5-10ml 2x/day,1000ml Bottle,2999
Aloe Vera Guava Juice,Curind,Digestive & immunity juice,Digestive health/heartburn relief; liver detox; immunity; vitamins/nutrients,Aloe Vera (Aloe barbadensis),1 cup (200-250ml) daily,1L Bottle,1499
Multi Vitamins Tablets,Curind,Daily multivitamin,Energy/immunity/focus; athletic performance/metabolism; skin/vision,"Ginseng Extract, Taurine, Soya Protein Hydrolysate, Amino Acids",1 tablet daily with meal,Pack of 30 tablets,999
JuniorJoy,Curind,Children's nutrition drink,Muscle growth; brain development/learning; heart health; energy for growing children,"Brahmi, Punarnava, Makoy","1 scoop (10g) in 100ml lukewarm milk, 1-2x/day (not under age 5)",Pack of 300g,1499
Ample Meal,Curind,Meal replacement shake,Weight management/fat control; reduces cholesterol; satiety; sustained energy,"Whey Protein Concentrate, Skimmed Milk Powder, MCTs, FOS, Sunflower Oil Powder, Vitamins & Minerals, Sucralose",1 scoop (25g) in 300ml lukewarm skimmed milk; replace 1-2 meals,Pack of 500g,2699
Aloe Vera Shampoo,Wild Muse,Hair care,Reduces hair fall; balances scalp oil; hair growth; strengthens follicles,Aloe Vera,Regular use,300ml Bottle,349
Neem & Aloevera Herbal Soap,Wild Muse,Herbal soap,Natural detox; fights acne; moisturizes; gentle; soothes irritation,"Neem, Aloe Vera",Regular use,Pack of 3 (100g each),147
Ecofriendly Bamboo Toothbrush,Wild Muse,Oral care,Biodegradable; gentle on gums; non-toxic; reduces plastic waste,Bamboo,Daily use,Pack of 2 (4 colours),149
Aloe Vera Gel,Wild Muse,Skin gel,Reduces acne/pimples; heals burns/wounds; soothes sunburn; antioxidant/anti-inflammatory; reduces wrinkles,Aloe Vera,Regular use,100ml,150
