product_code,sku,product_name,category,source_document,last_updated,status,subcategory,mrp,distributor_price,bv,pv,pack_size,ingredients,benefits,features,usage,dosage,warnings,storage,target_customer,related_products,alternative_products,cross_sell_products,frequently_bought_together,certifications,search_keywords,metadata,faqs
DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1001,DJ-FOO-0002,Chaat Masala (100g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1002,DJ-FOO-0003,Chicken Masala (100g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1003,DJ-FOO-0004,Daily Tea (250g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1004,DJ-FOO-0005,Daily Tea (500g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1008,DJ-FOO-0009,Garam Masala (100g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1009,DJ-FOO-0010,Haldi Powder (25g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1010,DJ-FOO-0011,Haldi Powder (200g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1011,DJ-FOO-0012,Haldi Powder (500g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1012,DJ-FOO-0013,Himalayan Pink Salt Sprinkler (200g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1013,DJ-FOO-0014,Jaljeera (100g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1014,DJ-FOO-0015,Organic Jeera (250g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1015,DJ-FOO-0016,Kasuri Methi (50g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1016,DJ-FOO-0017,Mirchi Powder (25g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1017,DJ-FOO-0018,Mirchi Powder (200g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1018,DJ-FOO-0019,Mirchi Powder (500g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1019,DJ-FOO-0020,Rai (250g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1020,DJ-FOO-0021,Sabji Masala (100g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1021,DJ-FOO-0022,New Total Joy Rice Bran Oil (1 Litre),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1022,DJ-FOO-0023,Total Joy Rice Bran Oil (2 Litre),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1023,DJ-FOO-0024,Veg Biryani with Shahi Gravy,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1024,DJ-FOO-0025,Poha with Bhujia,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1025,DJ-FOO-0026,Upma with Bhujia,,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1026,DJ-PER-0027,Anti Pollution Face Wash (150ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1027,DJ-PER-0028,Anti Pollution Aloevera Face Wash (100ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1028,DJ-PER-0029,Aloevera Gel (100g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1029,DJ-PER-0030,BR Rich Oil (200ml),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1030,DJ-PER-0031,Daily Care Cream (60g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1031,DJ-PER-0032,Luxury Saffron Soap (100g),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
DJP1032,DJ-PER-0033,Ecofriendly Toothbrush (Pack of 2),,,2026-08-04,needs_source_enrichment,,,,,,,,,,,,,,,,,,,,,,
